,siteID,projID,taxaID,sampleID,title,lat,long,title,sppcode,kingdom,phylum,class,order,family,genus,species,year,month,day,spt_rep1,spt_rep2,spt_rep3,spt_rep4,structure,indivID,unitobs,covariate,knbID,metalink
1,ABUR1,5,14,23,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,EJAC,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni,2023,5,8,ABUR1,1,NULL,NULL,18,NULL,1,"{'VIS': '3', 'OBS_CODE': '3', 'SURVEY_TIMING': 'A', 'AREA': '80'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
2,ABUR1,5,14,22,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,EJAC,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni,2023,5,8,ABUR1,1,NULL,NULL,15,NULL,1,"{'VIS': '3', 'OBS_CODE': '3', 'SURVEY_TIMING': 'A', 'AREA': '80'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
3,ABUR1,5,13,21,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,COTT,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottid,spp.,2023,5,8,ABUR1,1,40,NULL,5,NULL,1,"{'VIS': 'NULL', 'OBS_CODE': '6', 'SURVEY_TIMING': 'A', 'AREA': '20'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
4,ABUR1,5,12,20,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,CLIN,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Gibbonsia,spp.,2023,5,8,ABUR1,1,20,NULL,5,NULL,1,"{'VIS': 'NULL', 'OBS_CODE': '6', 'SURVEY_TIMING': 'A', 'AREA': '20'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
5,ABUR1,1,3,4,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,EJAC,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni,2023,5,8,ABUR1,1,NULL,NULL,18,NULL,1,"{'OBS_CODE': '3', 'AREA': '80', 'VIS': '3'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
6,ABUR1,1,3,3,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,EJAC,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni,2023,5,8,ABUR1,1,NULL,NULL,15,NULL,1,"{'OBS_CODE': '3', 'AREA': '80', 'VIS': '3'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
7,ABUR1,1,2,2,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,COTT,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottid,spp.,2023,5,8,ABUR1,1,40,NULL,5,NULL,1,"{'OBS_CODE': '6', 'AREA': '20', 'VIS': 'NULL'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
8,ABUR1,1,1,1,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,CLIN,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Gibbonsia,spp.,2023,5,8,ABUR1,1,20,NULL,5,NULL,1,"{'OBS_CODE': '6', 'AREA': '20', 'VIS': 'NULL'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
9,BRCD,6,17,28,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,OPIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,pictus,2023,5,8,BRCD,1,40,NULL,10,NULL,1,"{'VIS': 'NULL', 'OBS_CODE': '6', 'SURVEY_TIMING': 'A', 'AREA': '20'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
10,BRCD,6,17,27,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,OPIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,pictus,2023,5,8,BRCD,1,40,NULL,7,NULL,1,"{'VIS': 'NULL', 'OBS_CODE': '6', 'SURVEY_TIMING': 'A', 'AREA': '20'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
11,BRCD,6,16,26,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,OCAL,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Oxyjulis,californica,2023,5,8,BRCD,1,NULL,NULL,20,NULL,1,"{'VIS': '3', 'OBS_CODE': '3', 'SURVEY_TIMING': 'A', 'AREA': '80'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
12,BRCD,6,16,25,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,OCAL,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Oxyjulis,californica,2023,5,8,BRCD,1,NULL,NULL,15,NULL,1,"{'VIS': '3', 'OBS_CODE': '3', 'SURVEY_TIMING': 'A', 'AREA': '80'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
13,BRCD,6,15,24,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,EJAC,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni,2023,5,8,BRCD,1,NULL,NULL,20,NULL,4,"{'VIS': '3', 'OBS_CODE': '3', 'SURVEY_TIMING': 'A', 'AREA': '80'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
14,BRCD,2,6,9,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,OPIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,pictus,2023,5,8,BRCD,1,40,NULL,10,NULL,1,"{'OBS_CODE': '6', 'AREA': '20', 'VIS': 'NULL'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
15,BRCD,2,6,8,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,OPIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,pictus,2023,5,8,BRCD,1,40,NULL,7,NULL,1,"{'OBS_CODE': '6', 'AREA': '20', 'VIS': 'NULL'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
16,BRCD,2,5,7,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,OCAL,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Oxyjulis,californica,2023,5,8,BRCD,1,NULL,NULL,20,NULL,1,"{'OBS_CODE': '3', 'AREA': '80', 'VIS': '3'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
17,BRCD,2,5,6,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,OCAL,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Oxyjulis,californica,2023,5,8,BRCD,1,NULL,NULL,15,NULL,1,"{'OBS_CODE': '3', 'AREA': '80', 'VIS': '3'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
18,BRCD,2,4,5,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,EJAC,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni,2023,5,8,BRCD,1,NULL,NULL,20,NULL,4,"{'OBS_CODE': '3', 'AREA': '80', 'VIS': '3'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
19,AJFG,7,20,33,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2013,6,7,AJFG,1,NULL,NULL,NULL,NULL,NA,"{'VIS': 'NULL', 'OBS_CODE': '3', 'SURVEY_TIMING': 'S', 'AREA': '80'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
20,AJFG,7,19,32,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,PNEB,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Paralabrax,nebulifer,2023,5,8,AJFG,1,NULL,NULL,25,NULL,1,"{'VIS': '3', 'OBS_CODE': '3', 'SURVEY_TIMING': 'A', 'AREA': '80'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
21,AJFG,7,18,31,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,OPIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,pictus,2023,5,8,AJFG,1,40,NULL,19,NULL,1,"{'VIS': 'NULL', 'OBS_CODE': '6', 'SURVEY_TIMING': 'A', 'AREA': '20'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
22,AJFG,7,18,30,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,OPIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,pictus,2023,5,8,AJFG,1,40,NULL,14,NULL,1,"{'VIS': 'NULL', 'OBS_CODE': '6', 'SURVEY_TIMING': 'A', 'AREA': '20'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
23,AJFG,7,18,29,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,OPIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,pictus,2023,5,8,AJFG,1,40,NULL,11,NULL,1,"{'VIS': 'NULL', 'OBS_CODE': '6', 'SURVEY_TIMING': 'A', 'AREA': '20'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
24,AJFG,3,9,14,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2013,6,7,AJFG,1,NULL,NULL,NULL,NULL,NA,"{'OBS_CODE': '3', 'AREA': '80', 'VIS': 'NULL'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
25,AJFG,3,8,13,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,PNEB,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Paralabrax,nebulifer,2023,5,8,AJFG,1,NULL,NULL,25,NULL,1,"{'OBS_CODE': '3', 'AREA': '80', 'VIS': '3'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
