table_from,table_to,column_from,column_to
site_table,study_site_table,siteid,study_site_key
site_table,study_site_table,lterid,lter_table_fkey
site_table,study_site_table,lat,lat_study_site
site_table,study_site_table,lng,lng_study_site
site_table,study_site_table,descript,descript
main_table,project_table,metarecordid,proj_metadata_key
main_table,project_table,title,title
main_table,project_table,samplingunits,samplingunits
main_table,project_table,samplingprotocol,datatype
main_table,project_table,structured,structured_type_1
main_table,project_table,studystartyr,studystartyr
main_table,project_table,studyendyr,studyendyr
main_table,project_table,samplefreq,samplefreq
main_table,project_table,community,community
main_table,project_table,sp_rep1_ext,spatial_replication_level_1_extent
main_table,project_table,sp_rep1_ext_units,spatial_replication_level_1_extent_units
main_table,project_table,sp_rep1_label,spatial_replication_level_1_label
main_table,project_table,sp_rep1_uniquelevels,spatial_replication_level_1_number_of_unique_reps
main_table,project_table,sp_rep2_ext,spatial_replication_level_2_extent
main_table,project_table,sp_rep2_ext_units,spatial_replication_level_2_extent_units
main_table,project_table,sp_rep2_label,spatial_replication_level_2_label
main_table,project_table,sp_rep2_uniquelevels,spatial_replication_level_2_number_of_unique_reps
main_table,project_table,sp_rep3_ext,spatial_replication_level_3_extent
main_table,project_table,sp_rep3_ext_units,spatial_replication_level_3_extent_units
main_table,project_table,sp_rep3_label,spatial_replication_level_3_label
main_table,project_table,sp_rep3_uniquelevels,spatial_replication_level_3_number_of_unique_reps
main_table,project_table,sp_rep4_ext,spatial_replication_level_4_extent
main_table,project_table,sp_rep4_ext_units,spatial_replication_level_4_extent_units
main_table,project_table,sp_rep4_label,spatial_replication_level_4_label
main_table,project_table,sp_rep4_uniquelevels,spatial_replication_level_4_number_of_unique_reps
main_table,project_table,treatment_type,treatment_type_1
main_table,project_table,derived,derived
main_table,project_table,authors,authors
main_table,project_table,authors_contact,authors_contact
main_table,project_table,metalink,metalink
main_table,project_table,knbid,knbid
main_table,site_in_project_table,lter_proj_site,site_in_project_key
main_table,site_in_project_table,siteid,study_site_table_fkey
main_table,site_in_project_table,metarecordid,project_table_fkey
main_table,site_in_project_table,sitestartyr,sitestartyr
main_table,site_in_project_table,siteendyr,siteendyr
main_table,site_in_project_table,totalobs,totalobs
main_table,site_in_project_table,uniquetaxaunits,uniquetaxaunits
taxa_table,taxa_table,taxaid,taxa_table_key
taxa_table,taxa_table,lter_proj_site,site_in_project_taxa_key
taxa_table,taxa_table,sppcode,sppcode
taxa_table,taxa_table,kingdom,kingdom
taxa_table,taxa_table,phylum,phylum
taxa_table,taxa_table,clss,clss
taxa_table,taxa_table,ordr,ordr
taxa_table,taxa_table,family,family
taxa_table,taxa_table,genus,genus
taxa_table,taxa_table,species,species
taxa_table,taxa_table,authority,authority
raw_table,count_table,sampleid,count_table_key
raw_table,count_table,taxaid,taxa_count_fkey
raw_table,count_table,lter_proj_site,site_in_project_count_fkey
raw_table,count_table,spt_rep1,spatial_replication_level_1
raw_table,count_table,spt_rep2,spatial_replication_level_2
raw_table,count_table,spt_rep3,spatial_replication_level_3
raw_table,count_table,spt_rep4,spatial_replication_level_4
raw_table,count_table,structure,structure_type_1
raw_table,count_table,trt_label,treatment_type_1
raw_table,count_table,unitobs,count_observation
raw_table,biomass_table,sampleid,biomass_table_key
raw_table,biomass_table,taxaid,taxa_biomass_fkey
raw_table,biomass_table,lter_proj_site,site_in_project_biomass_fkey
raw_table,biomass_table,spt_rep1,spatial_replication_level_1
raw_table,biomass_table,spt_rep2,spatial_replication_level_2
raw_table,biomass_table,spt_rep3,spatial_replication_level_3
raw_table,biomass_table,spt_rep4,spatial_replication_level_4
raw_table,biomass_table,structure,structure_type_1
raw_table,biomass_table,trt_label,treatment_type_1
raw_table,biomass_table,unitobs,biomass_observation
raw_table,density_table,sampleid,density_table_key
raw_table,density_table,taxaid,taxa_density_fkey
raw_table,density_table,lter_proj_site,site_in_project_density_fkey
raw_table,density_table,spt_rep1,spatial_replication_level_1
raw_table,density_table,spt_rep2,spatial_replication_level_2
raw_table,density_table,spt_rep3,spatial_replication_level_3
raw_table,density_table,spt_rep4,spatial_replication_level_4
raw_table,density_table,structure,structure_type_1
raw_table,density_table,trt_label,treatment_type_1
raw_table,density_table,unitobs,density_observation
raw_table,percent_cover_table,sampleid,percent_cover_table_key
raw_table,percent_cover_table,taxaid,taxa_percent_cover_fkey
raw_table,percent_cover_table,lter_proj_site,site_in_project_percent_cover_fkey
raw_table,percent_cover_table,spt_rep1,spatial_replication_level_1
raw_table,percent_cover_table,spt_rep2,spatial_replication_level_2
raw_table,percent_cover_table,spt_rep3,spatial_replication_level_3
raw_table,percent_cover_table,spt_rep4,spatial_replication_level_4
raw_table,percent_cover_table,structure,structure_type_1
raw_table,percent_cover_table,trt_label,treatment_type_1
raw_table,percent_cover_table,unitobs,percent_cover_observation
raw_table,individual_table,sampleid,individual_table_key
raw_table,individual_table,taxaid,taxa_individual_fkey
raw_table,individual_table,lter_proj_site,site_in_project_individual_fkey
raw_table,individual_table,spt_rep1,spatial_replication_level_1
raw_table,individual_table,spt_rep2,spatial_replication_level_2
raw_table,individual_table,spt_rep3,spatial_replication_level_3
raw_table,individual_table,spt_rep4,spatial_replication_level_4
raw_table,individual_table,structure,structure_type_1
raw_table,individual_table,trt_label,treatment_type_1
raw_table,individual_table,unitobs,individual_observation
