Year,SPRUCE BUDWORM ,LARCH BUD MOTH,LARCH SAWFLY,SPEAR-MARKED  BLACK MOTH,LARGE ASPEN TORTRIX,LEAF BEETLES,ASPEN LEAF MINERS,BIRCH LEAF ROLLERS
1975,0,100,0,30,0,0,0,10
1976,0,300,0,0,0,0,0,0
1977,0,0,0,0,0,20,15,10
1978,0,0,0,0,21,0,50,15
1979,0,0,0,0,27,4,4,0
1980,0,0,0,0,12,13,4,14
1981,0,0,0,0,41,0,8,0
1982,0,0,0,0,30,0,0,0
1983,7,0,0,17,24,1,0,0
1984,10,0,0,35,17,5,0,0
1985,5,0,0,15,3,3,0,31
1986,2,0,0,19,37,5,0,11
1987,0,0,0,11,26,1,5,18
1988,0,0,0,2,18,16,10,4
1989,50,60,0,5,11,7,0,17
1990,200,25,0,14,23,40,0,13
1991,25,0,0,14,4,13,0,13
1992,25,0,8,16,3,9,0,12
1993,35,0,4,5,2,3,0,9
1994,60,0,150,1,3,3,8,0
1995,80,10,250,0,0,4,5,9
1996,60,15,300,0,0,13,50,4
1997,50,10,75,0,0,20,80,0
1998,50,0,10,0,0,30,100,0
1999,0,0,0,0,0,21,80,10
2000,0,0,0,0,1,20,90,6
2001,5,0,0,1,1,45,95,3
2002,25,0,0,3,2,40,100,10
2003,35,0,0,5,1,35,150,14
2004,40,0,0,2,0,45,250,18
2005,50,0,0,1,0,50,200,35
2006,60,0,0,2,1,45,185,30
2007,75,0,0,2,1,35,150,15
2010,5,0,0,0,0,30,0,0
2011,4,0,0,0,1,65,76,1
2012,14,0,0,0,0,49,44,5
