date,time,grid,trap,l_ear,r_ear,sex,age,weight,hindft
1998-11-26,10,bonrip,2c,414d320671,-,-,-,1430,-
1998-11-26,10,bonrip,2d,414d103e3a,-,-,-,1430,-
1998-11-26,10,bonrip,4e,414d1d0559,-,-,-,1590,-
1998-11-26,10,bonrip,5c,414d0e236b,-,-,-,1710,-
1998-11-26,10,bonrip,5d,414d310e44,-,-,-,1780,-
1998-11-26,10,bonrip,5a,414d1e3557,-,-,-,1830,-
1998-11-26,10,bonrip,4b,414d12350c,-,-,-,2170,-
1998-11-26,10,bonrip,1a,414d096a08,-,-,-,1370,-
1998-11-26,10,bonrip,3b,414d2b4b58,-,-,-,1710,-
1998-11-26,10,bonrip,3d,414d193011,-,-,-,1890,-
1998-11-26,10,bonrip,4a,414d0f5b3d,-,-,-,2170,-
1998-11-26,10,bonrip,2e,414d262d43,-,-,-,1490,-
1998-11-26,10,bonrip,5e,414d2e6226,-,-,-,1730,-
1998-11-26,10,bonrip,4c,414d197c34,-,-,-,1510,-
1998-11-27,10,bonrip,8a,4109343929,-,m,-,1510,-
1998-11-27,10,bonrip,8e,41092a5a14,-,m,-,1620,-
1998-11-27,10,bonrip,2c,414d231059,-,m,-,1670,-
1998-11-27,10,bonrip,5c,41090f5e01,-,m,-,1690,-
1998-11-27,10,bonrip,7e,4109276054,-,m,-,1720,-
1998-11-27,10,bonrip,1e,414d363f65,-,m,-,1870,-
1998-11-27,10,bonrip,2b,414d320671,-,m,-,-,-
1998-11-27,10,bonrip,3b,414d2a247d,-,m,-,-,-
1998-11-27,10,bonrip,7c,41091a5978,-,m,-,1690,-
1998-11-27,10,bonrip,10c,410912535d,-,m,-,1670,-
1998-11-27,10,bonrip,3c,414d114458,-,m,-,-,-
1998-11-27,10,bonrip,6c,4109264b12,-,m,-,1750,-
1998-11-27,10,bonrip,4c,4109156d37,-,f,-,1670,-
1998-11-27,10,bonrip,1c,414d182b2a,-,f,-,1990,-
1998-11-27,10,bonrip,4b,410916792d,-,f,-,-,-
1998-11-27,10,bonrip,4e,414d2e6226,-,f,-,-,-
1998-11-27,10,bonrip,6a,41093a0623,-,f,-,-,-
1998-11-27,10,bonrip,7b,4109297f5d,-,f,-,-,-
1998-11-27,10,bonrip,8b,41091c6706,-,f,-,-,-
1998-11-27,10,bonrip,2a,414d171b7f,-,f,-,1650,-
1998-11-27,10,bonrip,5b,4109285a73,-,f,-,1770,-
1998-11-27,10,bonrip,9a,4109101c08,-,f,-,1790,-
1998-11-27,10,bonrip,6b,4109350e4d,-,f,-,1640,-
1998-11-27,10,bonrip,3e,414d193011,-,f,-,-,-
1998-11-27,10,bonrip,2e,414d0b2c38,-,f,-,1830,-
1998-11-27,10,bonrip,9d,4109257c11,-,-,-,1770,-
1998-11-28,10,bonrip,1d,414d103e3a,-,m,-,1370,-
1998-11-28,10,bonrip,1c,4109250570,-,m,-,1870,-
1998-11-28,10,bonrip,3d,414d197c34,-,m,-,-,-
1998-11-28,10,bonrip,5d,414d0e236b,-,m,-,-,-
1998-11-28,10,bonrip,3e,414d1d0559,-,m,-,-,-
1998-11-28,10,bonrip,9a,4109343929,-,m,-,-,-
1998-11-28,10,bonrip,6a,41090f6220,-,m,-,1770,-
1998-11-28,10,bonrip,2c,4109152f7a,-,f,-,1470,-
1998-11-28,10,bonrip,2b,414d1e3557,-,f,-,1670,-
1998-11-28,10,bonrip,6e,4109282708,-,f,-,1770,-
1998-11-28,10,bonrip,4b,414d2e6226,-,f,-,-,-
1998-11-28,10,bonrip,5a,4109187f32,-,f,-,1770,-
1998-11-28,10,bonrip,9b,4109314d2f,-,f,-,1720,-
1998-11-28,10,bonrip,8a,4109253d4b,-,f,-,1670,-
1998-11-28,10,bonrip,1e,414d0b2c38,-,-,-,-,-
1998-11-28,10,bonrip,8c,4109297f5d,-,-,-,-,-
1998-11-28,10,bonrip,7d,4109276054,-,-,-,-,-
1998-11-28,10,bonrip,7c,41091c6706,-,-,-,-,-
1998-11-28,10,bonrip,6b,4109285a73,-,-,-,-,-
1998-11-28,10,bonrip,8d,41092a5a14,-,-,-,-,-
1999-03-14,8:30,bonrip,9a,4109257c11,-,m,-,1580,-
1999-03-14,8:30,bonrip,4c,41090f5e01,-,m,-,1450,-
1999-03-14,8:30,bonrip,6c,4109264b12,-,m,-,1860,-
1999-03-14,8:30,bonrip,3e,413a366d15,-,f,-,1400,-
1999-03-14,8:30,bonrip,3a,413a3c760a,-,f,-,1940,-
1999-03-14,8:30,bonrip,9b,4142314a62,-,f,-,1480,-
1999-03-14,8:30,bonrip,1a,4109282708,-,f,-,1640,-
1999-03-14,8:30,bonrip,6b,413a0f6448,-,f,-,1780,-
1999-03-14,8:30,bonrip,1d,413a051820,-,f,-,1480,-
1999-03-14,8:30,bonrip,1c,413a0e011f,-,f,-,1670,-
1999-03-15,8:30,bonrip,10b,4142314a62,-,m,-,1500,-
1999-03-15,8:30,bonrip,7a,413a4a1e47,-,m,-,1660,-
1999-03-15,8:30,bonrip,9b,4109253d4b,-,m,-,1820,-
1999-03-15,8:30,bonrip,1c,4139741776,-,m,-,1560,-
1999-03-15,8:30,bonrip,6a,41093a0623,-,m,-,1600,-
1999-03-15,8:30,bonrip,9e,41092a5a14,-,m,-,1580,-
1999-03-15,8:30,bonrip,1b,413a0e011f,-,-,-,1760,-
1999-03-15,8:30,bonrip,5b,413a0f6448,-,-,-,1580,-
1999-03-15,8:30,bonrip,1e,413a051820,-,-,-,-,-
1999-03-15,8:30,bonrip,9a,4109257c11,-,-,-,-,-
1999-03-15,8:30,bonrip,6c,41090f5e01,-,-,-,1420,-
1999-03-15,8:54,bonrip,7c,4109264b12,-,-,-,1510,-
1999-03-16,12:51,bonmat,3a,41424f0455,-,m,-,1150,-
1999-03-16,8:33,bonrip,3b,41090f5e01,-,m,-,1200,-
1999-03-16,8:54,bonrip,7c,41090f6220,-,m,-,1300,-
1999-03-16,8:54,bonrip,7a,4139785059,-,f,-,1300,-
1999-03-16,8:54,bonrip,1b,414d182b2a,-,f,-,1700,-
1999-03-16,8:54,bonrip,1c,413a3c426d,-,f,-,1300,-
1999-03-16,12:51,bonmat,4e,4142124c28,-,f,-,1350,-
1999-03-16,12:51,bonmat,7e,4142156705,-,f,-,1400,-
