DATE_OF_SURVEY,YEAR,MONTH,DAY,REGION,BED,REGION_BED,BED_NAME,HARVESTED,TOTAL,AVAILABLE,DATE_PREVIOUS_SURVEY,Notes
8/13/57,1957,8,13,Southern,115,Southern_115,Santa Rosa Island (NW),-99999,300,-99999,01/01/1800, 
9/11/57,1957,9,11,Southern,114,Southern_114,Santa Rosa Island (SW),-99999,1200,-99999,01/01/1800, 
10/9/57,1957,10,9,Southern,28,Southern_28,Naples,-99999,300,-99999,01/01/1800, 
11/2/57,1957,11,2,Southern,32,Southern_32,San Augustine,-99999,15000,-99999,01/01/1800, 
11/15/57,1957,11,15,Southern,30,Southern_30,Tajiguas,-99999,0,-99999,01/01/1800, 
11/25/57,1957,11,25,Southern,24,Southern_24,Arroyo Burro,-99999,0,-99999,01/01/1800, 
11/25/57,1957,11,25,Southern,26,Southern_26,Goleta,-99999,0,-99999,01/01/1800, 
12/1/57,1957,12,1,Southern,25,Southern_25,Hope Ranch,-99999,300,-99999,01/01/1800, 
12/27/57,1957,12,27,Southern,2,Southern_2,Coronado,-99999,100,-99999,01/01/1800, 
1/30/58,1958,1,30,Southern,101,Southern_101,San Clemente Island (S),-99999,0,-99999,01/01/1800, 
2/3/58,1958,2,3,Southern,22,Southern_22,Santa Barbara,-99999,100,-99999,01/01/1800, 
2/4/58,1958,2,4,Southern,21,Southern_21,Summerland,-99999,4200,-99999,01/01/1800, 
2/15/58,1958,2,15,Southern,102,Southern_102,San Clemente Island (W),-99999,300,-99999,01/01/1800, 
2/15/58,1958,2,15,Southern,103,Southern_103,San Clemente Island (N),-99999,300,-99999,01/01/1800, 
2/15/58,1958,2,15,Southern,104,Southern_104,San Clemente Island (E),-99999,600,-99999,01/01/1800, 
2/22/58,1958,2,22,Southern,107A,Southern_107A,San Nicolas Island,-99999,300,-99999,01/01/1800, 
2/22/58,1958,2,22,Southern,107B,Southern_107B,San Nicolas Island (Foul),-99999,300,-99999,01/01/1800, 
2/22/58,1958,2,22,Southern,108A,Southern_108A,San Nicolas Island (Rockpile),-99999,300,-99999,01/01/1800, 
2/22/58,1958,2,22,Southern,108B,Southern_108B,San Nicolas Island (Westend),-99999,300,-99999,01/01/1800, 
2/22/58,1958,2,22,Southern,108C,Southern_108C,San Nicolas Island (Barrack),-99999,300,-99999,01/01/1800, 
2/24/58,1958,2,24,Southern,20,Southern_20,Carpinteria,-99999,450,-99999,01/01/1800, 
3/4/58,1958,3,4,Southern,3,Southern_3,Point Loma,-99999,300,-99999,01/01/1800, 
3/4/58,1958,3,4,Southern,5,Southern_5,Encinitas,-99999,200,-99999,01/01/1800, 
3/4/58,1958,3,4,Southern,6,Southern_6,Las Flores,-99999,1100,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,1,Southern_1,Imperial Beach,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,7,Southern_7,San Onofre,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,8,Southern_8,Capistrano Beach,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,9,Southern_9,San Clemente,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,10,Southern_10,Corona Del Mar,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,13,Southern_13,Palos Verdes,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,14,Southern_14,Redondo Beach,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,15,Southern_15,Pacific Palisades,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,16,Southern_16,Malibu,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,17,Southern_17,Point Dume,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,18,Southern_18,Ventura,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,19,Southern_19,Rincon Point,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,23,Southern_23,Santa Barbara Breakwater,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,27,Southern_27,Coal Oil Point,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,29,Southern_29,El Refugio,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,31,Southern_31,Gaviota,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,33,Southern_33,Point Conception,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,34,Southern_34,Point Arguello,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,105,Southern_105,Santa Catalina Island,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,106,Southern_106,Santa Barbara Island,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,109,Southern_109,Anacapa Island,-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,110,Southern_110,Santa Cruz Island (N),-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,111,Southern_111,Santa Cruz Island (W),-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,112,Southern_112,Santa Cruz Island (N),-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,113,Southern_113,Santa Rosa Island (SE),-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,116,Southern_116,Santa Rosa Island (NE),-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,117,Southern_117,San Miguel Island (S),-99999,-99999,-99999,01/01/1800, 
3/11/58,1958,3,11,Southern,118,Southern_118,San Miguel Island (N),-99999,-99999,-99999,01/01/1800, 
3/23/58,1958,3,23,Southern,4,Southern_4,Del Mar,-99999,300,-99999,01/01/1800, 
4/15/58,1958,4,15,Southern,104,Southern_104,San Clemente Island (E),-99999,900,-99999,01/01/1800, 
4/24/58,1958,4,24,Southern,101,Southern_101,San Clemente Island (S),-99999,0,-99999,1/30/58, 
4/24/58,1958,4,24,Southern,102,Southern_102,San Clemente Island (W),-99999,0,-99999,2/15/58, 
4/24/58,1958,4,24,Southern,103,Southern_103,San Clemente Island (N),-99999,0,-99999,2/15/58, 
5/7/58,1958,5,7,Baja,102,Baja_102, ,-99999,-99999,-99999,01/01/1800, 
5/7/58,1958,5,7,Baja,103,Baja_103, ,-99999,-99999,-99999,01/01/1800, 
5/7/58,1958,5,7,Baja,104,Baja_104, ,-99999,-99999,-99999,01/01/1800, 
5/7/58,1958,5,7,Baja,105,Baja_105, ,-99999,-99999,-99999,01/01/1800, 
5/7/58,1958,5,7,Baja,106,Baja_106, ,-99999,-99999,-99999,01/01/1800, 
5/7/58,1958,5,7,Baja,107,Baja_107, ,-99999,600,-99999,01/01/1800, 
