YEAR,MONTH,DATE,SITE,TRANSECT,TREATMENT,QUAD,SIDE,SP_CODE,SIZE,COUNT,AREA,VIS,OBS_CODE,NOTES,SURVEY_TIMING,TAXON_GENUS,TAXON_SPECIES,GROUP,SURVEY,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_FORMER_GENUS,TAXON_FORMER_SPECIES,COMMON_NAME,Substrate_type,Mobility,Growth_morph
2008,1,2008-01-30,AQUE,4,CONTROL,-99999,-99999,BFRE,10,1,80,2.5,36,-99999,SEASONAL,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,-99999,-99999,BFRE,11,1,80,2.5,36,-99999,SEASONAL,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,40,I,CLIN,10,1,20,2.5,31,-99999,SEASONAL,Gibbonsia,spp.,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,-99999,-99999,Crevice Kelpfish,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,20,I,CNIC,8,1,20,2.5,31,-99999,SEASONAL,Rhinogobiops,nicholsii,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coryphopterus,nicholsii,Blackeye Goby,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,20,I,CNIC,10,1,20,2.5,31,-99999,SEASONAL,Rhinogobiops,nicholsii,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coryphopterus,nicholsii,Blackeye Goby,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,20,O,CNIC,6,1,20,2.5,31,-99999,SEASONAL,Rhinogobiops,nicholsii,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coryphopterus,nicholsii,Blackeye Goby,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,20,O,CNIC,10,1,20,2.5,31,-99999,SEASONAL,Rhinogobiops,nicholsii,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coryphopterus,nicholsii,Blackeye Goby,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,40,O,CNIC,10,1,20,2.5,31,-99999,SEASONAL,Rhinogobiops,nicholsii,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coryphopterus,nicholsii,Blackeye Goby,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,40,O,CNIC,6,1,20,2.5,31,-99999,SEASONAL,Rhinogobiops,nicholsii,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coryphopterus,nicholsii,Blackeye Goby,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,20,I,COTT,6,1,20,2.5,31,-99999,SEASONAL,Cottid,spp.,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,-99999,-99999,Unidentified Sculpin Spp,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,40,I,LHIR,12,1,20,2.5,31,-99999,SEASONAL,Leiocottus,hirundo,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,-99999,-99999,Lavender Sculpin,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,20,I,OPIC,11,1,20,2.5,31,-99999,SEASONAL,Oxylebius,pictus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,-99999,-99999,Painted Greenling,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,20,I,OPIC,12,1,20,2.5,31,-99999,SEASONAL,Oxylebius,pictus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,-99999,-99999,Painted Greenling,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,40,I,OPIC,10,2,20,2.5,31,-99999,SEASONAL,Oxylebius,pictus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,-99999,-99999,Painted Greenling,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,40,I,OPIC,12,1,20,2.5,31,-99999,SEASONAL,Oxylebius,pictus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,-99999,-99999,Painted Greenling,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,-99999,-99999,PNEB,40,1,80,2.5,36,-99999,SEASONAL,Paralabrax,nebulifer,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,-99999,-99999,Barred Sandbass,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,-99999,-99999,SATR,25,1,80,2.5,36,-99999,SEASONAL,Sebastes,atrovirens,FISH,FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,-99999,-99999,Kelp Rockfish,HARD,MOBILE,SOLITARY
2008,1,2008-01-30,AQUE,4,CONTROL,-99999,-99999,SATR,34,1,80,2.5,36,-99999,SEASONAL,Sebastes,atrovirens,FISH,FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,-99999,-99999,Kelp Rockfish,HARD,MOBILE,SOLITARY
2008,3,2008-03-05,AQUE,4,CONTROL,20,I,CNIC,7,1,20,2.5,36,-99999,SEASONAL,Rhinogobiops,nicholsii,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coryphopterus,nicholsii,Blackeye Goby,HARD,MOBILE,SOLITARY
2008,3,2008-03-05,AQUE,4,CONTROL,40,I,CNIC,6,1,20,2.5,36,-99999,SEASONAL,Rhinogobiops,nicholsii,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coryphopterus,nicholsii,Blackeye Goby,HARD,MOBILE,SOLITARY
