YEAR,MONTH,DATE,SITE,TRANSECT,TREATMENT,QUAD,SIDE,FRONDS,AREA,OBS_CODE,NOTES
2008,1,2008-01-10,NAPL,3,CONTROL,20,I,0,20,20,NO KELP
2008,1,2008-01-10,NAPL,3,CONTROL,20,O,0,20,20,NO KELP
2008,1,2008-01-10,NAPL,3,CONTROL,40,I,0,20,20,NO KELP
2008,1,2008-01-10,NAPL,3,CONTROL,40,O,0,20,20,NO KELP
2008,1,2008-01-10,NAPL,9,ANNUAL REMOVAL,20,I,0,20,20,NO KELP
2008,1,2008-01-10,NAPL,9,ANNUAL REMOVAL,20,O,0,20,20,NO KELP
2008,1,2008-01-10,NAPL,9,ANNUAL REMOVAL,40,I,0,20,20,NO KELP
2008,1,2008-01-10,NAPL,9,ANNUAL REMOVAL,40,O,8,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,20,I,2,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,20,I,20,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,20,I,25,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,20,I,34,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,20,I,35,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,20,O,1,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,20,O,25,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,20,O,15,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,20,O,21,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,20,O,25,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,20,O,33,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,20,O,2,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,I,36,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,I,4,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,I,15,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,I,3,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,I,5,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,I,1,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,I,1,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,I,9,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,I,37,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,I,5,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,O,11,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,O,19,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,O,19,20,20,-99999
2008,1,2008-01-17,MOHK,2,CONTROL,40,O,29,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,I,5,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,I,70,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,I,5,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,I,8,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,O,26,20,20,-99999
