Cruise,date,Station,Depth meters,Pseudo-nitzschia,Leptocylindrus,Thalassiosira,Chaetoceros,Eucampia,Rhizosolenia,Skeletonema,Nitzschia,Navicula,Asterionellopsis,Meuniera,Thalassionema,Guinardia,Hemiaulus,Ditylum,Coscinodiscus,Cylindrotheca,Bacteriastrum,Heliotheca,Stephanopyxis,Corethron,Pleurosigma,Thalassiothrix,Asteromphalus,Licomorpha,Odontella,Lithodesmium,Melosira,Fragilariopsis,Diatom unknown,Prorocentrum,Ceratium,Akashiwo,Lingulodinium,Dinophysis,Scrippsiella,Protoperidinium,Gonyaulax,Alexandrinium,Noctiluca,Oxytoxum,Amylax,Pyrocystis,Dinoflagellate unknown,Dictyocha,Phaeocystis
080116,16-Jan-2008,1,5,5960,3040,2680,4740,0,0,1480,240,560,0,0,220,0,0,0,0,0,40,0,0,80,20,0,0,0,0,0,0,0,0,100,80,0,0,40,0,0,20,0,0,0,0,0,60,260,0
080116,16-Jan-2008,2,5,5120,1960,2440,7680,0,0,400,320,1060,0,0,880,0,0,0,20,0,40,0,0,220,0,0,0,0,20,0,0,0,0,60,240,0,0,40,0,0,40,0,0,0,0,0,120,400,0
080116,16-Jan-2008,3,5,2060,1440,1200,40,0,0,0,1660,400,0,0,440,0,0,0,140,0,0,0,0,0,120,0,0,0,40,0,0,0,0,3720,1940,0,0,80,0,0,140,0,0,0,0,0,140,220,0
080116,16-Jan-2008,4,5,2160,1600,720,1040,0,0,0,3440,1220,0,0,320,0,0,0,220,0,280,0,0,0,20,0,0,0,0,0,0,0,0,2520,680,0,0,80,0,0,220,0,0,0,0,0,80,240,0
080116,16-Jan-2008,5,5,1820,0,840,60,0,0,0,2080,900,0,0,380,0,0,0,160,0,20,0,0,0,40,0,0,0,80,0,0,40,0,140,60,0,0,0,0,0,0,0,0,0,0,0,40,80,0
080221,21-Feb-2008,1,5,1960,3140,6660,25860,0,1100,7380,360,1520,0,620,240,0,180,80,20,0,80,1940,0,120,0,0,40,0,0,0,0,0,0,140,100,0,0,20,0,60,20,0,0,0,0,0,80,440,0
080221,21-Feb-2008,2,5,2620,1440,2860,27660,0,1520,13680,520,1720,0,1860,420,0,340,240,60,0,40,520,0,180,20,0,20,0,0,0,0,0,0,220,0,0,0,0,0,80,0,0,0,0,0,0,20,780,0
080221,21-Feb-2008,3,5,2220,2220,3500,20240,0,1180,7180,540,1720,0,1480,440,0,720,320,180,0,20,880,0,100,0,0,20,0,0,0,0,0,0,860,120,0,0,60,0,60,60,0,0,0,0,0,180,820,0
080221,21-Feb-2008,4,5,1920,660,2160,11660,0,300,2240,520,1180,0,280,240,0,1100,200,80,0,0,460,0,60,20,0,20,0,0,0,0,0,0,720,200,0,0,140,0,0,120,0,0,0,0,0,100,440,0
080221,21-Feb-2008,5,5,1400,540,2480,2300,0,180,1120,400,1360,0,140,240,0,1100,60,320,0,0,280,0,20,40,0,0,0,20,0,0,0,80,480,280,0,0,140,0,40,20,0,0,0,0,0,100,280,0
080325,25-Mar-2008,1,5,29200,6160,6660,10740,12220,28360,200,1840,2640,260,1140,380,0,140,40,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0
080325,25-Mar-2008,2,5,41740,12640,7940,6700,18400,42300,0,1040,2380,80,5560,200,0,580,580,340,0,0,0,0,40,40,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,20,0,0,0,0,0,0,740,0
080325,25-Mar-2008,3,5,91440,7360,9860,44220,24220,10660,2180,1080,2020,8540,3220,1200,0,220,740,160,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,360,0
080325,25-Mar-2008,4,5,73040,1100,10940,30260,19660,11460,780,2600,2340,1180,2220,3320,0,280,380,1300,0,0,0,0,20,80,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,140,0,0,0,0,0,0,320,0
080325,25-Mar-2008,5,5,85500,7520,18880,41680,26480,12940,0,700,1860,3660,3840,3340,0,1380,1160,1260,0,0,0,0,40,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,140,0
