YEAR,MONTH,DATE,SITE,DEPTH,REP,SP_CODE,COUNT,COMMENTS,Common_Name,GROUP,SURVEY,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,TAXON_SPECIES
1987,8,08/03/1987,BC I,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/08/1987,BC I,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/10/1987,BC I,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/12/1987,BC I,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/19/1987,BC I,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/22/1987,BC I,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/29/1987,BC I,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,10,10/04/1987,BC I,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/03/1987,BC I,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/08/1987,BC I,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/10/1987,BC I,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/12/1987,BC I,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/19/1987,BC I,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/22/1987,BC I,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/29/1987,BC I,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,10,10/04/1987,BC I,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/03/1987,BC I,30,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/08/1987,BC I,30,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/10/1987,BC I,30,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/12/1987,BC I,30,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/19/1987,BC I,30,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/22/1987,BC I,30,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/29/1987,BC I,30,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,10,10/04/1987,BC I,30,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/03/1987,BC II,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/08/1987,BC II,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/10/1987,BC II,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/12/1987,BC II,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/19/1987,BC II,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/22/1987,BC II,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/29/1987,BC II,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,10,10/04/1987,BC II,10,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/03/1987,BC II,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/08/1987,BC II,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/10/1987,BC II,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,8,08/12/1987,BC II,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
1987,9,09/19/1987,BC II,20,-99999,EJ_1,-99999,-99999,Juvenile Black Surfperch,FISH,FISH,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni
