CODE,FAMILY,GENUS,SUBGENUS,SPECIES,AUTHORITY
ANAND002,ANDRENIDAE,Andrena,na,2,na
ANANDARD,ANDRENIDAE,Andrena,na,ardis,na
ANANDMES,ANDRENIDAE,Andrena,na,mesillae,Cockerell
ANANDPEC,ANDRENIDAE,Andrena,na,pecosana,na
ANANDPRF,ANDRENIDAE,Andrena,na,primulifrons,na
ANANDPRI,ANDRENIDAE,Andrena,na,prima,Casad
ANANDPRU,ANDRENIDAE,Andrena,na,prunorum,Cockerell
ANANDSUB,ANDRENIDAE,Andrena,na,subaustralis,na
ANCALANO,ANDRENIDAE,Calliopsis,na,anomoptera,na
ANCALCAL,ANDRENIDAE,Calliopsis,na,callops,na
ANCALHEL,ANDRENIDAE,Calliopsis,na,helianthi,na
ANCALMEL,ANDRENIDAE,Calliopsis,na,meliloti,Cockerell
ANCALROZ,ANDRENIDAE,Calliopsis,na,rozeni,Shinn
ANCALTIM,ANDRENIDAE,Calliopsis,na,timberlakei,Rozen
ANCALVER,ANDRENIDAE,Calliopsis,na,verbenae,Cock.&Porter
ANHET001,ANDRENIDAE,Heterosarus,Pterosarus,1,na
ANHET002,ANDRENIDAE,Heterosarus,Pterosarus,2,na
ANHET003,ANDRENIDAE,Heterosarus,Pterosarus,3,na
ANHET004,ANDRENIDAE,Heterosarus,Heterosarus,4,na
ANMACLAT,ANDRENIDAE,Macrotera,na,latior,Cockerell
ANMACMAG,ANDRENIDAE,Macrotera,na,magniceps,Timberlake
ANMACPOR,ANDRENIDAE,Macrotera,na,portalis,Timberlake
ANPANACR,ANDRENIDAE,Panurginus,na,aff_Cressoniellus,na
ANPER001,ANDRENIDAE,Perdita,Perdita,1,na
ANPER002,ANDRENIDAE,Perdita,Perdita,2,na
ANPER003,ANDRENIDAE,Perdita,Pentaperdita,3,na
ANPER004,ANDRENIDAE,Perdita,Hexaperdita,4,na
ANPER005,ANDRENIDAE,Perdita,Perdita,5,na
ANPER006,ANDRENIDAE,Perdita,Perdita,new_sp_006,na
ANPER031,ANDRENIDAE,Perdita,Perdita,31,na
ANPER032,ANDRENIDAE,Perdita,Perdita,new_sp_032,na
ANPER036,ANDRENIDAE,Perdita,na,new_sp_036,na
ANPER050,ANDRENIDAE,Perdita,Perdita,50,na
ANPERAAL,ANDRENIDAE,Perdita,na,aff_albovittata,na
ANPERACU,ANDRENIDAE,Perdita,na,aff_cuspidata,na
ANPERAFF,ANDRENIDAE,Perdita,na,affinis,na
ANPERAHE,ANDRENIDAE,Perdita,na,aff_heterotheceae,na
ANPERALB,ANDRENIDAE,Perdita,na,albovittata,Cockerell
ANPERALH,ANDRENIDAE,Perdita,na,albipennis_heliophila,na
ANPERAMI,ANDRENIDAE,Perdita,na,aff_missionis,na
ANPERAPE,ANDRENIDAE,Perdita,na,aperta,Timberlake
ANPERARI,ANDRENIDAE,Perdita,na,aridella,na
ANPERAUS,ANDRENIDAE,Perdita,na,austini,na
ANPERCAL,ANDRENIDAE,Perdita,na,callicerata,Cockerell
ANPERCLA,ANDRENIDAE,Perdita,na,cladothricis,Cockerell
ANPERCON,ANDRENIDAE,Perdita,na,confusa,Timberlake
ANPERCOR,ANDRENIDAE,Perdita,na,coreopsidis_kansensis,Cockerell
ANPERDIV,ANDRENIDAE,Perdita,na,diversa,Timberlake
ANPERFAL,ANDRENIDAE,Perdita,na,fallax,Cockerell
ANPERGUT,ANDRENIDAE,Perdita,na,gutierreziae,na
ANPERIGN,ANDRENIDAE,Perdita,na,ignota_ignota,Cockerell
ANPERLAR,ANDRENIDAE,Perdita,na,larreae,Cockerell
ANPERLEN,ANDRENIDAE,Perdita,na,lenis,na
ANPERLUT,ANDRENIDAE,Perdita,na,luteola,Cockerell
ANPERMAR,ANDRENIDAE,Perdita,na,marcialis,Cockerell
ANPERPU,ANDRENIDAE,Perdita,na,pusillissima,na
ANPERREC,ANDRENIDAE,Perdita,na,rectangulata,Cockerell
ANPERSEC,ANDRENIDAE,Perdita,na,semicroceae,na
ANPERSEM,ANDRENIDAE,Perdita,na,semicaerulea,Cockerell
ANPERSEX,ANDRENIDAE,Perdita,na,sexmaculata,na
ANPERSPH,ANDRENIDAE,Perdita,na,sphaeralceae_alticola,na
ANPERTRI,ANDRENIDAE,Perdita,na,trinotata,Timberlake
ANPERVER,ANDRENIDAE,Perdita,na,verbesinae,Cockerell
ANPROGLO,ANDRENIDAE,Protoxea,na,gloriosa,na
ANPSEFRA,ANDRENIDAE,Pseudopanurgus,na,fraterculus_fraterculus,na
APANDCOM,APIDAE,Athedonia,na,compta,na
APANTAFF,APIDAE,Anthophora,na,affabilis,Cresson
APANTCAL,APIDAE,Anthophora,na,californica,Cresson
APANTCEN,APIDAE,Anthophora,na,centriformis,na
APANTCOP,APIDAE,Anthophora,na,coptognatha,Timberlake
APANTLES,APIDAE,Anthophora,na,lesquerellae,Cockerell
APANTMON,APIDAE,Anthophora,na,montana,Cresson
APANTNEG,APIDAE,Anthophora,na,neglecta,Timb.&Cock.
APANTPET,APIDAE,Anthophora,na,petrophila,na
APANTPOR,APIDAE,Anthophora,na,porterae,Cockerell
APANTSQU,APIDAE,Anthophora,na,squammulosa,na
APANTTER,APIDAE,Anthophora,na,terminalis,na
APANTURB,APIDAE,Anthophora,na,urbana,Cresson
APANTVAL,APIDAE,Anthophora,na,vallorum,Cockerell
APAPIMEL,APIDAE,Apis,na,mellifera,Linnaeus
APBOMCEN,APIDAE,Bombus,na,centralis,na
APBOMMOR,APIDAE,Bombus,na,morrisoni,na
APBOMPEN,APIDAE,Bombus,na,pensylvanicus,DeGeer
APCENATR,APIDAE,Centris,na,atripes,na
APCENCAE,APIDAE,Centris,na,caesalpiniae,Cockerell
APCENCOC,APIDAE,Centris,na,cockerelli,na
APCENHOF,APIDAE,Centris,na,hoffmanseggiae,na
APCENRHO,APIDAE,Centris,na,rhodopus,na
APCERNAN,APIDAE,Ceratina,na,nanula,na
APDIAAUS,APIDAE,Diadasia,na,australis,Cresson
APDIADIM,APIDAE,Diadasia,na,diminuta,Cresson
APDIAMEG,APIDAE,Diadasia,na,megamorpha,Cockerell
APDIAOCH,APIDAE,Diadasia,na,ochracea,Cockerell
APDIARIN,APIDAE,Diadasia,na,rinconis,Cockerell
APEPEAME,APIDAE,Epeolus,na,aff_americanus,na
APEPECOM,APIDAE,Epeolus,na,compactus,na
APEPEMES,APIDAE,Epeolus,na,mesillae,Cockerell
APEPEMIN,APIDAE,Epeolus,na,minimus,na
APERILAT,APIDAE,Ericrocis,na,lata,na
APEUCAAL,APIDAE,Eucera,na,new_sp_aff_albescens,Timberlake
APEUCLYC,APIDAE,Eucera,na,lycii,Cockerell
APEUCTER,APIDAE,Eucera,na,territella,Cockerell
APEXOCOM,APIDAE,Exomalopsis,na,compactula,Cockerell
APEXOCOP,APIDAE,Exomalopsis,na,completa,Cockerell
APEXOPYG,APIDAE,Exomalopsis,na,pygmaea,Cresson
APEXOSOL,APIDAE,Exomalopsis,Phanomalopsis,solani,na
APHABMOR,APIDAE,Habropoda,na,morrisoni,Cresson
APHOLCAL,APIDAE,Holcopasites,na,calliopsidis,Linsley
APHOLPUL,APIDAE,Holcopasites,na,pulchellus,na
APMARLUT,APIDAE,Martinapis,na,luteicornis,Cockerell
APMELALE,APIDAE,Melecta,na,alexanderi,na
APMELBOH,APIDAE,Melecta,na,bohartorum,Linsley
APMELPAC,APIDAE,Melecta,na,pacifica,Cresson
APMES006,APIDAE,Melissodes,na,6,na
APMESAGI,APIDAE,Melissodes,na,agilis,na
APMESBIM,APIDAE,Melissodes,na,bimatris,na
APMESCOM,APIDAE,Melissodes,na,communis_communis,na
APMESCOR,APIDAE,Melissodes,na,coreopsis,na
APMESFAC,APIDAE,Melissodes,na,fasciatella,na
APMESPAR,APIDAE,Melissodes,na,paroselae,na
APMESPER,APIDAE,Melissodes,na,perpolita,na
APMESSEM,APIDAE,Melissodes,na,semilupina,na
APMESSNO,APIDAE,Melissodes,na,snowii,na
APMESSUB,APIDAE,Melissodes,na,subagilis,na
APMESTHE,APIDAE,Melissodes,na,thelypodii_thelypodii,na
APMESTRI,APIDAE,Melissodes,na,tristis,na
APMESVER,APIDAE,Melissodes,na,verbesinarum,na
APMESXXX,APIDAE,Melissodes,na,MISFITS,na
APNEOVIG,APIDAE,Neolarra,na,vigilans,Cockerell
APNEP001,APIDAE,Neopasites,na,1,na
APNOM001,APIDAE,Nomada,Micronomada,(Micronomada)001,na
APNOM002,APIDAE,Nomada,Holonomada,new_sp(Holonomada)002,na
APNOM003,APIDAE,Nomada,na,3,na
APNOM004,APIDAE,Nomada,na,4,na
APNOM005,APIDAE,Nomada,Micronomada,(Micronomada)002,na
APNOM006,APIDAE,Nomada,Nomada,(Nomada)001,na
APNOM007,APIDAE,Nomada,Nomada,(Nomada)002,na
APNOM008,APIDAE,Nomada,na,spp008,na
APSVAHEL,APIDAE,Svastra,na,helianthelli,na
APSVAMAC,APIDAE,Svastra,na,machaerantherae,na
APSVAOBL,APIDAE,Svastra,na,obliqua,na
APSVASAB,APIDAE,Svastra,na,sabinensis,na
APTET001,APIDAE,Tetraloniella,na,1,na
APTRI001,APIDAE,Triepeolus,na,1,na
APTRI002,APIDAE,Triepeolus,na,2,na
APTRI003,APIDAE,Triepeolus,na,3,na
APTRI004,APIDAE,Triepeolus,na,4,na
APTRI005,APIDAE,Triepeolus,na,5,na
APTRPPEN,APIDAE,Triopasites,na,penniger,na
APXENPAT,APIDAE,Xenoglossa,na,patricia,na
APXENSTR,APIDAE,Xenoglossa,na,strenua,na
APXERINT,APIDAE,Xeromelecta,na,interupta,na
APXYLCAL,APIDAE,Xylocopa,na,californica,na
APXYLVAR,APIDAE,Xylocopa,na,varipuncta,na
COCAUOCE,COLLETIDAE,Caupolicana,na,ocellata,na
COCAUYAR,COLLETIDAE,Caupolicana,na,yarrowi,Cresson
COCOLARI,COLLETIDAE,Colletes,na,aridus,na
COCOLBIR,COLLETIDAE,Colletes,na,birkmanni,na
COCOLCLY,COLLETIDAE,Colletes,na,clypeonitens,Swenk
COCOLCOM,COLLETIDAE,Colletes,na,compactus,na
COCOLCOV,COLLETIDAE,Colletes,na,covilleae,na
COCOLLOU,COLLETIDAE,Colletes,na,louisae,na
COCOLPAN,COLLETIDAE,Colletes,na,paniscus_paniscus,na
COCOLPHA,COLLETIDAE,Colletes,na,phaceliae,na
COCOLSAL,COLLETIDAE,Colletes,na,salicicola,Cockerell
COCOLSCO,COLLETIDAE,Colletes,na,scopiventer,Timberlake
COCOLSPH,COLLETIDAE,Colletes,na,sphaeralceae,na
COCOLWOO,COLLETIDAE,Colletes,na,wootoni,na
COHYL001,COLLETIDAE,Hylaeus,na,(Paraprosopis)001,na
COHYLASI,COLLETIDAE,Hylaeus,na,asininus,na
COHYLCOO,COLLETIDAE,Hylaeus,na,cookii,na
COHYLEPI,COLLETIDAE,Hylaeus,na,episcopelis_coquilletti,na
COHYLMES,COLLETIDAE,Hylaeus,na,mesillae_mesillae,na
HAAGAANG,HALICTIDAE,Agapostemon,na,angelicus,Cockerell
HAAGAMEL,HALICTIDAE,Agapostemon,na,melliventris,Cresson
HACONCON,HALICTIDAE,Conanthalictus,na,conanthi,na
HADIENEV,HALICTIDAE,Dieunomia,na,nevadensis_arizonensis,na
HADUFPUL,HALICTIDAE,Dufourea,na,pulchricornis,Cockerell
HADUFVER,HALICTIDAE,Dufourea,na,vernalis,Timberlake
HAHALLIG,HALICTIDAE,Halictus,na,ligatus,Say
HAHALTRI,HALICTIDAE,Halictus,na,tripartitus,Cockerell
