CODE	 FRM	 L-H	 Taxa_genus	 Taxa_species
ACPI	 G	 U	 Acantherus	 piperatus
AGDE	 GT	 U	 Ageneotettix	 deorum
AMCOG	 	U	 Amphitornus	 coloradus
ARCO	 T	 P	 Arphia	 conspersa
ARPS	 T	 U	 Arphia	 pseudonietana
AUEL	 GT	 U	 Aulocara	 elliotti
AUFE	 GT	 U	 Aulocara	 femoratum
BOAR	 A	 U	 Bootettix	 argentatus
BRMA	 GT	 U	 Brachystola	 magna
CIPA	 T	 P	 Cibolacris	 parviceps
COCR	 GT	 U	 Cordillacris	 crenulata
COOC	 GT	 U	 Cordillacris	 occipitalis
COTE	 T	 U	 Conozoa	 texana
DABI	 GT	 U	 Dactylotum	 bicolor
ERSI	 G	 U	 Eritettix	 simplex
HATR	 T	 U	 Hadtrotettix	 trifasciatus
HERU	 T	 U	 Heliaula	 rufa
HEVI	 A	 U	 Hesperotettix	 viridis
HICA	 T	 U	 Hippopedon	 capito
LAAZ	 T	 U	 Lactista	 azteca
LEWH	 T	 U	 Leprus	 wheeleri
MEAR	 A	 U	 Melanoplus	 aridus
MEAZ	 GT	 U	 Melanoplus	 arizonae
MEBO	 A	 U	 Melanoplus	 bowditchi
MEGL	 GT	 U	 Melanoplus	 gladstoni
MELA	 GT	 U	 Melanoplus	 lakinus
MEOC	 GT	 U	 Melanoplus	 occidentalis
METE	 G	 U	 Mermeria	 texana
OPOB	 G	 U	 Opeia	 obscura
PAPA	 G	 U	 Paropomala	 pallida
PHQU	 GT	 U	 Phlibostroma	 quadrimaculatum
PHRO	 T	 P	 Phrynotettix	 robustus
PSDE	 GT	 P	 Psoloessa	 delicatula
PSTE	 GT	 P	 Psoloessa	 texana
SCNI	 A	 U	 Schistocerca	 nitens
SYMO	 G	 U	 Syrbula	 montezuma
TRCA	 T	 U	 Trimerotropis	 californicus
TRFO	 H	 U	 Tropidolophus	 formosus
TRKI	 T	 U	 Trachyrhachis	 kiowa
TRPA	 T	 U	 Trimerotropis	 pallidipennis
TRPI	 T	 U	 Trimerotropis	 pistrinaria
XACO	 T	 P	 Xanthippus	 corallipes
XAMO	 T	 P	 Xanthippus	 montanus
