spp_id, gen, spp
acan, acanthocephala, sp
adsp, Adelina, species
caut, Catenotaenia, utahensis
cuau, Cuterebra, austeni
cune, Cuterebra, neomexicana
cusp, Cuterebra, species
cest, cestode, sp
ealb, Eimeria, albigulae
eari, Eimeria, arizonensis
ebal, Eimeria, balphai
ecal, Eimeria, callospermophili
echa, Eimeria, chaetodipi
echi, Eimeria, chihuahuaensis
echo, Eimeria, chobotari
edip, Eimeria, dipodomysis
edor, Eimeria, dorsalis
eere, Eimeria, eremici
ehis, Eimeria, hispidensis
elad, Eimeria, ladronensis
elan, Eimeria, langebarteli
elat, Eimeria, lateralis
eleu, Eimeria, leucopi
elio, Eimeria, liomysis
emer, Eimeria, merriami
emoh, Eimeria, mohavensis
eneo, Eimeria, neotomae
eony, Eimeria, onychomysis
epeg, Eimeria, perognathi
eper, Eimeria, peromysci
eree, Eimeria, reedi
esch, Eimeria, scholtysecki
espp, Eimeria, species
etam, Eimeria, tamiasciurus
euta, Eimeria, utahensis
flea, Siphonaptera, sp
hede, Heteromyoxyuris, deserti
hyci, Hymenolepis, citelli
issp, Isospora, species
iper, Isospora, peromysci
lice, Mallophaga; Anoplura, NA
madi, Mastophorus, dipodomis
madp, Mathovetaenia, dipodomi
mite, Acari, NA
mocl, Moniliformis, clarki
na, not available, NA
nega, negative, NA
nema, Nematode, sp
oode, Oochoristica, deserti
posi, positive, NA
phma, Physaloptera, massino
ptdi, Pterygodermatites, dipodomis
rare, Raillietina, retactalis
scdi, Schizorchodes, dipodomi
syeu, Syphacia, eutamii
tick, Acari, NA
trdi, Trichuris, dipodomis
trel, Trichuris, elatoris
trem, trematode, sp
unsp, unsporulated, NA
