numer	Taxa_sppcode	Taxa_kingdom	Taxa_phylum	Taxa_class	Taxa_order	Taxa_family	Taxa_genus	Taxa_species
"	293"	 Scaled Quail	Animaila	Chordata	Aves	Galliformes	Odontophoridae	Callipepla	squamata
"	295"	 Gambel's Quail	Animaila	Chordata	Aves	Galliformes	Odontophoridae	Callipepla	gambelii
"	309.1"	 Ring-necked Pheasant	Animaila	Chordata	Aves	Galliformes	Phasianidae	Phasianus	colchicus
"	316"	 Mourning Dove 	Animaila	Chordata	Aves	Columbiformes	columbidae	Zenaida	macroura
"	331"	 Northern Harrier	Animaila	Chordata	Aves	Accipitriformes	Accipitridae	Circus	cyaneus
"	332"	 Sharp-shinned Hawk	Animaila	Chordata	Aves	Accipitriformes	Accipitridae	Accipter	striatus
"	333"	 Cooper's Hawk                	Animaila	Chordata	Aves	Accipitriformes	Accipitridae	Accipter	cooperii
"	337"	 Red-tailed Hawk           	Animaila	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	jamaicensis
"	360"	 American Kestrel             	Animaila	Chordata	Aves	Falconiformes	Falconidae	Falco	sparverius
"	342"	 Swainson's Hawk	Animaila	Chordata	Aves	Falconiformes	Accipitridae	Buteo	swainsoni
"	348"	 Ferruginous Hawk 	Animaila	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	regalis
"	375"	 Great Horned Owl             	Animaila	Chordata	Aves	Strigiformes	Strigidae	Bubo	virginianus
"	396"	 Ladder-backed Woodpecker     	Animaila	Chordata	Aves	Piciformes	Picidae	Dryobates	scalaris
"	413"	 Red-shafted Flicker          	Animaila	Chordata	Aves	Piciformes	Picidae	Colaptes	auratus
"	418"	 Common Poorwill	Animaila	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Phalaenoptilus	nuttalli
"	420"	 Common Nighthawk 	Animaila	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Chordeiles	minor
"	421"	 Lesser Nighthawk            	Animaila	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Chordeiles	acutipennis
"	432"	 Broad-tailed Hummingbird     	Animaila	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	platycercus
"	447"	 Western Kingbird 	Animaila	Chordata	Aves	Passeriformes	Tyrannidae	Tyrannus	verticalis
"	448"	 Cassin's Kingbird	Animaila	Chordata	Aves	Passeriformes	Tyrannidae	Tyrannus	vociferans
"	454"	 Ash-throated Flycatcher        	Animaila	Chordata	Aves	Passeriformes	Tyrannidae	Myiarchus	cinerascens
"	457"	 Say's Phoebe        	Animaila	Chordata	Aves	Passeriformes	Tyrannidae	Sayornis	saya
"	467.9"	 unidentified Empidonax sp.	Animaila	Chordata	Aves	Passeriformes	Tyrannidae	Empidonax	NA
"	474"	 Horned Lark	Animaila	Chordata	Aves	Passeriformes	Alaudidae	Eremophila	alpestris
"	481"	 Scrub Jay       	Animaila	Chordata	Aves	Passeriformes	Corvidae	Aphelocoma	NA
