code, gen, spp
amin, Ammospermophilus, interpres
amle, Ammospermophilus, leucurus
eudo, Eutamias, dorsalis
euqu, Eutamias, quadrivittatus
spsp, Spermophilus, spilosoma
spva, Spermophilus, variegatus
chin, Chetodipus, intermedius
pgfl, Perognathus, flavescens
pgfv, Perognathus, flavus
pgsp, Perognathus, sp.
dime, Dipodomys, merriami
dior, Dipodomys, ordii
disp, Dipodomys, spectabilis
dipo, Dipodomys, sp.
neal, Neotoma, albigula
nemi, Neotoma, micropus
nesp, Neotoma, sp.
onar, Onychomys, arenicola
onle, Onychomys, leucogaster
onsp, Onychomys, sp.
pebo, Peromyscus, boylii
pedi, Peromyscus, difficilis
peer, Peromyscus, eremicus
pele, Peromyscus, leucopus
pema, Peromyscus, maniculatus
petr, Peromyscus, truei
pesp, Peromyscus, sp.
remg, Reithrodontomys, megalotis
remn, Reithrodontomys, montanus
resp, Reithrodontomys, sp.
sihi, Sigmodon, hispidus
syau, Sylvilagus, auduboni
na, NA, NA
