Taxa_sppcode	Taxa_kingdom	Taxa_phylum	Taxa_class	Taxa_order	Taxa_family	Taxa_genus	Taxa_species
anim	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	 Ammospermophilus	 interpres
amle	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	 Ammospermophilus	 leucurus
chin	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	 Chaetodipus	 intermedius
clga	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Clethrionomys	 gapperi
dior	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	 Dipodomys	 ordi
dime	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	 Dipodomys	 merriami
disp	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	 Dipodomys	 spectabilis
euqu	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	 Eutamias	 quadrivittatus
eudo	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	 Eutamias	dorsalis
euci	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	 Eutamias	 cinereicollis
eusp	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	 Eutamias	 species
mime	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Microtus	 mexicanus
neal	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Neotoma	 albigula
neme	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Neotoma	 mexicana
nemi	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Neotoma	 micropus
nest	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Neotoma	 stephensi
nesp	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Neotoma	 species
onar	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Onychomys	 arenicola
onle	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Onychomys	 leucogaster
onsp	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Onychomys	 species
pgfv	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	 Perognathus	 flavus
pgfl	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	 Perognathus	 flavescens
pgsp	Animalia	Chordata	Mammalia	Rodentia	Heteromyidae	 Perognathus	 species
pmbo	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Peromyscus	 boylii
pmdi	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Peromyscus	 difficilis
pmer	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Peromyscus	 eremicus
pmle	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Peromyscus	 leucopus
pmma	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Peromyscus	 maniculatus
pmtr	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Peromyscus	 truei
pmsp	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Peromyscus	 species
remg	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Reithrodontomys	 megalotis
remo	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Reithrodontomys	 montanus
resp	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	 Reithrodontomys	 species
spsp	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	 Spermophilus	 spilosoma
spva	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	 Spermophilus	 variagatus
syau	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	 Sylvilagus	 auduboni
