"YEAR"	"WEB"	"KIND"	"DATE"	"RECORDER"	"TRANS"	"PT"	"SPECIES"	"PCT COVER"	"Comments"
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	1	"AGSM"	35	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	1	"BOGR"	5	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	1	"SPCO"	5	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	1	"BARE"	45	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	1	"LITT"	10	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	2	"STCO"	10	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	2	"SPCO"	5	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	2	"CHLE"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	2	"AGSM"	20	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	2	"LARE"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	2	"BOGR"	5	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	2	"LITT"	50	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	2	"BARE"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	3	"AGSM"	30	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	3	"SPCO"	10	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	3	"LEDE"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	3	"CHLE"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	3	"BOGR"	5	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	3	"SIHY"	25	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	3	"BARE"	10	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	3	"LITT"	25	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	3	"LYJU"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	4	"AGSM"	10	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	4	"SPCO"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	4	"LEDE"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	4	"BOGR"	30	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	4	"LITT"	55	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	4	"BARE"	5	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	5	"AGSM"	35	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	5	"BOGR"	5	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	5	"SPCO"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	5	"LITT"	5	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	5	"BARE"	55	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	6	"AGSM"	35	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	6	"LEDE"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	6	"SPCO"	5	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	6	"BOGR"	10	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	6	"LITT"	45	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	6	"BARE"	5	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	7	"LEDE"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	7	"AGSM"	40	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	7	"BOGR"	5	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	7	"SPCO"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	7	"LITT"	45	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	7	"BARE"	10	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	8	"AGSM"	60	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	8	"BOGR"	10	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	8	"CHLE"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	8	"LITT"	25	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	8	"BARE"	5	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	9	"ATCA"	55	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	9	"BOGR"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	9	"AGSM"	15	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	9	"LITT"	30	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	10	"AGSM"	20	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	10	"BOGR"	15	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	10	"CHLE"	1	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	10	"LITT"	65	""
1999	"13NW"	"shrub"	"36360"	"KW, DL"	1	10	"BARE"	1	""
1999	"13NW"	"shrub"	"36359"	"SC, SQ"	2	1	"AMPS"	5	""
1999	"13NW"	"shrub"	"36359"	"SC, SQ"	2	1	"LYJU"	10	""
