LTER SpeciesCode	Scientific Name	Authority	Common Name	"Habit (P=Perennial, A=Annual, Bi=Biennial; Growth Form (G=Grass, F=Forb, SS=Sub Shrub) "	" (C=cool, W=Warm Season)"	Flowering Date	Family	
Agca	Agropyron caninum	 L. Beauv. spp. majus (Vasey) C.L. Hitchc.	 slender wheatgrass	 PG	 	 Jun-Aug	Gramineae	
Agcr	Agropyron cristatum	 (L.) Gaertn.	 crested wheatgrass	 PG		 Jun-Aug	 Gramineae	
Agda	Agropyron dasystachyum	(Hook.) Scribn. & Sm.	 thickspike wheatgrass	 PG		 Jun-Aug	 Gramineae	
Agin	 Agropyron intermedium	(Host) Beauv.	 intermediate wheatgrass	 PG		 Jun-Sep	 Gramineae	
Agre	 Agropyron repens	 (L.) Beauv.	 Quackgrass	 PG		 May-Aug	 Gramineae	
Agsm	 Agropyron smithii	 Rydb.	 western wheatgrass	 PG	 CS	 May-Sep	 Gramineae	
Agsa	 Agrositanion saxicola	 (Scribn. & Sm.) Bowden	 Macoun wildrye				 Gramineae	
Agst	 Agrostis stolonifera	 L.	 redtop	 PG	 CS	 Jun-Aug	 Gramineae	
Ange*	 Andropogon gerardii	 Vitman	 big bluestem	 PG	 WS	 Jul-Oct	 Gramineae	
Arfe	 Aristida fendleriana	 Steud.	 Fendler threeawn	 PG			 Gramineae	
Arlo	 Aristida longiseta	 Steud.	 red threeawn	 PG	 WS	 Jun-Sep	Gramineae	
Bocu	 Bouteloua curtipendula	 (Michx.) Torr.	 sideoats grama	 PG	 WS	 Jun-Aug	 Gramineae	
Bogr 	 Bouteloua gracilis	 (Willd. ex. H.B.K.) Lag. ex. Steud.	 blue grama	 PG	 WS	 Jun-Aug	 Gramineae	
Bohi	 Bouteloua hirsuta	 Lag.	 hairy grama	 PG	 WS	 Jul-Oct	 Gramineae	
Brin*	 Bromus inermis var. inermis	 Leyss.	 smooth brome	 PG		 May-Jul	 Gramineae	
Brja 	 Bromus japonicus	 Thunb. ex. Murr.	 Japanese brome	 AG		 May-Jul	 Gramineae	
Brte	 Bromus tectorum	 L.	 cheatgrass	 AG	 CS	 May-Jun	 Gramineae	
Buda	 Buchloe dactyloides	 (Nutt.) Engelm.	 Buffalograss	 PG	 WS	 Apr-Jun	 Gramineae	
Calo	 Calamovilfa longifolia	 (Hook.) Scribn.	 prairie sandreed	 PG	 WS	 Jul-Sep	 Gramineae	
Cafi	 Carex filifolia	 Nutt.	 threadleaf sedge	 PG	 CS		 Cyperaceae	
Cael	 Carex eleocharis	 Bailey	 needleleaf sedge	 PG			 Cyperaceae	
Cahe	 See Cael							
Cane	 Carex nebrascensis	 Dewey	 Nebraska sedge	 PG			 Cyperaceae	
Capr	 Carex praegracilis	 W. Boott.	 silver sedge or (nutgrass)	 PG			 Cyperaceae	
Deca	 Deschampsia caespitosa	 (L.) Beauv.	 tufted hairgrass	 PG	 CS	 Jun-Aug	 Gramineae	
Disp	 Distichlis spicata	 (L.) Green var. stricta (Torr.) Beetle	 inland saltgrass	 PG	 WS	 May-Aug	 Gramineae	
Dist	 See Disp							
Eccr	 Echinochloa crus-galli	 (L.) Beauv.	 barnyard grass	 AG		 Jun-Sep	 Gramineae	
Elac*	 Eleocharis acicularis	 (L.) R. & S.	 needle spikerush	 PG			 Cyperaceae	
Elma	 Eleocharis macrostachya	 Britt.	 common spikerush	 PG			 Cyperaceae	
Elca	 Elymus canadensis	 L.	 Canada wild rye	 PG	 CS	 Jun-Aug	 Gramineae	
Elju	 Elymus junceus	 Fisch.	 Russian wild rye	 PG		May-Jun	 Gramineae	
Erci	 Eragrostis cilianensis	 (All.) E. Mosher	 stinkgrass	 AG		 Jul-Oct	 Gramineae	
Feoc	 See Vuoc							
Hoju	 Hordeum jubatum	 L.	 foxtail barley	PG	 CS	 Jun-Aug	 Gramineae	
Hopu	 Hordeum pusillum	 Nutt.	 little barley	 AG		 May-Jun	 Gramineae	
Juba	 Juncus balticus	 Willd.	 Baltic rush	 PG		 Jun-Aug	 Juncaceae	
Juto	 Juncus torreyi	 Coville	 Torrey's rush	 PG			 Juncaceae	
Kocr	 See Kopy							
Kopy	 Koeleria pyramidata	 (Lam.) Beauv.	 prairie junegrass	 PG	 CS	 May-Aug	 Gramineae	
Muas	 Muhlenbergia asperifolia	 (Nees & Meyen) Parodi	 scratchgrass	 PG		 Jun-Oct	 Gramineae	
Muca	 Muhlenbergia cuspidata	 (Torr.) Rydb.	 Plains muhly	 PG		 Jun-Oct	 Gramineae	
Muto	 Muhlenbergia torreyi	 (Kunth) A.S. Hitche. ex. Bush	 ring muhly	 PG	 WS	 Jul-Sep	 Gramineae	
Muwr	 Muhlenbergia wrightii	 Vasey	 spike muhly	 PG			 Gramineae	
Musq	 Monroa squarrosa	 (Nutt.) Torr.	 false buffalograss	 AG		 May-Sep	 Gramineae	
Orhy	Oryzopsis hymenoides	(Roemer & Schultes) Ricker	Indian ricegrass	PG	CS	May-Jul	Gramineae	
Paca	Panicum capillare	L. var. occidentale Rydb.	Common witchgrass	AG		Jul-Oct	Gramineae	
Pavi*	Panicum virgatum	L.	switchgrass	PG		Jul-Sep	Gramineae	
Phpr	Phleum pratense	L.	timothy	PG		May-Aug	Gramineae	
Poar	Poa arida	Vasey	plains bluegrass	PG		Apr-Jun (Aug)	Gramineae	
Popr	Poa pratensis	L.	Kentucky bluegrass	PG		May-Aug	Gramineae	
Posa	Poa sandbergii	Vasey	Sandberg?s bluegrass	PG	CS	May-Jul	Gramineae	
Pomo	Polypogon monspeliensis	(L.) Desf.	Rabbitfoot grass	AG		May-Sep	Gramineae	
Scpa	Schedonnardus paniculatus	(Nutt.) Trel.	Tumblegrass	PG	WS	Apr-Aug	Gramineae	
(Scsc)	Andropogon scoparium (Michx.)	Nash	Little bluestem	PG	WS		Gramineae	
(Scsc)	Schizachyrium scoparium(Michx.)	Nash	Little bluestem	PG	WS		Gramineae	
Scam	Scirpus americanus	Pers.	American bulrush	PG			Cyperaceae	
Scva	Scirpus validus	Vahl	softstem bulrush	PG			Cyperaceae	
Sevi*	Setaria viridis	(L.) Beauv.	green foxtail	AG		Jul-Sep	Gramineae	
Sihy	Sitanion hystrix	(Nutt.) J.G. Sm.	bottlebrush squirreltail	PG	CS	May-Aug	Gramineae	
Spai	Sporobolus airoides	(Torr.) Torr.	alkali sacaton	PG	WS	(Jun) Jul-Oct	Gramineae	
Spcr	Sporobolus cryptandrus	(Torr.) Gray	sand dropseed	PG	WS	Jun-Sep	Gramineae	
Stco	Stipa comata	Trin. & Rupr	needle and thread	PG	CS	May-Jul	Gramineae	
Stne*	Stipa neomexicana	(Thunb.) Scribn.	New Mexico feathergrass	PG		Jun-Jul	Gramineae	
Stro	Stipa robusta	(Vasey) Scribn.	sleepygrass	PG			Gramineae	
Stvi	Stipa viridula	Trin.	green needlegrass	PG		Jun-Jul	Gramineae	
Vuoc	Vulpia octoflora	(Walt.) Rydb.	sixweeks fescue	AG	CS	Apr-Jun	Gramineae	
Forbs and Shrubs								
Abfr	Abronia fragrans	(Nutt.) ex. Hook	snowball sandverbena	PF		Mar-Aug	Nyctaginaceae	
Acla	see Acmi							
Acmi	Achillea millefolium	L. var. lanulosa (Nutt.) Piper	western yarrow	PF		May-Jun	Compositae	
Alge	Allium geyeri	Wats.	Geyer's onion	PF		Jun-Jul	Liliaceae	
Alte	Allium textile	A. Nels. & J.F. Macbr.	prairie onion (textile onion)	PF	CS	May-Jul	Liliaceae	
Almi*	Alyssum minus	(L.) Rothmaler var. micranthum (C.A. Mey) Dudley	alyssum	PF		May-Jun	Cruciferae	
Amgr	Amaranthus graecizans	L.	prostrate pigweed	AF		Jul-Oct	Amaranthaceae	
