,LTER.SpeciesCode,Scientific.Name,Authority,Common.Name,Habit..P.Perennial..A.Annual..Bi.Biennial..Growth.Form..G.Grass..F.Forb..SS.Sub.Shrub..,X..C.cool..W.Warm.Season.,Flowering.Date,X,kingdom,order,Family_og,family,genus,species
1,Agca,Agropyron caninum, L. Beauv. spp. majus (Vasey) C.L. Hitchc., slender wheatgrass, PG, , Jun-Aug,NA,Plantae,Poales,Gramineae,Poaceae,Agropyron,caninum
2,Agcr,Agropyron cristatum, (L.) Gaertn., crested wheatgrass, PG,, Jun-Aug,NA,Plantae,Poales, Gramineae,Poaceae,Agropyron,cristatum
3,Agda,Agropyron dasystachyum,(Hook.) Scribn. & Sm., thickspike wheatgrass, PG,, Jun-Aug,NA,Plantae,Poales, Gramineae,Poaceae,Agropyron,dasystachyum
4,Agin, Agropyron intermedium,(Host) Beauv., intermediate wheatgrass, PG,, Jun-Sep,NA,Plantae,Poales, Gramineae,Poaceae,Agropyron,intermedium
5,Agre, Agropyron repens, (L.) Beauv., Quackgrass, PG,, May-Aug,NA,Plantae,Poales, Gramineae,Poaceae,Agropyron,repens
6,Agsm, Agropyron smithii, Rydb., western wheatgrass, PG, CS, May-Sep,NA,Plantae,Poales, Gramineae,Poaceae,Agropyron,smithii
7,Agsa, Agrositanion saxicola, (Scribn. & Sm.) Bowden, Macoun wildrye,,,,NA,Plantae,Poales, Gramineae,Poaceae,Agrositanion,saxicola
8,Agst, Agrostis stolonifera, L., redtop, PG, CS, Jun-Aug,NA,Plantae,Poales, Gramineae,Poaceae,Agrostis,stolonifera
9,Ange*, Andropogon gerardii, Vitman, big bluestem, PG, WS, Jul-Oct,NA,Plantae,Poales, Gramineae,Poaceae,Andropogon,gerardii
10,Arfe, Aristida fendleriana, Steud., Fendler threeawn, PG,,,NA,Plantae,Poales, Gramineae,Poaceae,Aristida,fendleriana
11,Arlo, Aristida longiseta, Steud., red threeawn, PG, WS, Jun-Sep,NA,Plantae,Poales,Gramineae,Poaceae,Aristida,longiseta
12,Bocu, Bouteloua curtipendula, (Michx.) Torr., sideoats grama, PG, WS, Jun-Aug,NA,Plantae,Poales, Gramineae,Poaceae,Bouteloua,curtipendula
13,Bogr , Bouteloua gracilis, (Willd. ex. H.B.K.) Lag. ex. Steud., blue grama, PG, WS, Jun-Aug,NA,Plantae,Poales, Gramineae,Poaceae,Bouteloua,gracilis
14,Bohi, Bouteloua hirsuta, Lag., hairy grama, PG, WS, Jul-Oct,NA,Plantae,Poales, Gramineae,Poaceae,Bouteloua,hirsuta
15,Brin*, Bromus inermis var. inermis, Leyss., smooth brome, PG,, May-Jul,NA,Plantae,Poales, Gramineae,Poaceae,Bromus,inermis
16,Brja , Bromus japonicus, Thunb. ex. Murr., Japanese brome, AG,, May-Jul,NA,Plantae,Poales, Gramineae,Poaceae,Bromus,japonicus
