YEAR,SITE,EJ_Adults,EJ_1,EJ_YOY,lag_EJ_Adults,lag_EJ_1,lag_EJ_YOY,Food,lag_Food
1994,bc_1,0.777777778,0,0,2.5,0,0,0.815495355,3.236256764
1995,bc_1,1,0,0,0.777777778,0,0,3.497359293,0.815495355
1996,bc_1,0.333333333,0,0.333333333,1,0,0,6.348931268,3.497359293
1997,bc_1,1.777777778,0.111111111,0,0.333333333,0,0.333333333,1.619655344,6.348931268
1998,bc_1,1.555555556,0,0,1.777777778,0.111111111,0,0.984337202,1.619655344
1999,bc_1,0.333333333,0,0,1.555555556,0,0,0.678772326,0.984337202
2000,bc_1,0.111111111,0,0,0.333333333,0,0,1.043626386,0.678772326
2001,bc_1,0.333333333,0,0,0.111111111,0,0,1.430304567,1.043626386
2002,bc_1,0.333333333,0,0.166666667,0.333333333,0,0,1.456219009,1.430304567
2003,bc_1,2.333333333,0.333333333,0.333333333,0.333333333,0,0.166666667,5.104192996,1.456219009
2004,bc_1,1.5,0.666666667,2.666666667,2.333333333,0.333333333,0.333333333,2.775666916,5.104192996
2005,bc_1,2.5,0.833333333,0.166666667,1.5,0.666666667,2.666666667,5.330839465,2.775666916
2006,bc_1,4.333333333,1.666666667,3.333333333,2.5,0.833333333,0.166666667,4.135362537,5.330839465
2007,bc_1,6,4,8,4.333333333,1.666666667,3.333333333,14.20636703,4.135362537
2008,bc_1,7.333333333,6.333333333,9,6,4,8,3.363889478,14.20636703
1994,bc_2,0.888888889,0,0,1.666666667,0,0,1.133576113,3.265746571
1995,bc_2,1,0,0,0.888888889,0,0,3.91409353,1.133576113
1996,bc_2,0.333333333,0,1,1,0,0,8.005326437,3.91409353
1997,bc_2,1.333333333,0,0,0.333333333,0,1,1.62260636,8.005326437
1998,bc_2,1.444444444,0,0,1.333333333,0,0,1.096432046,1.62260636
1999,bc_2,0.333333333,0,0,1.444444444,0,0,0.57133085,1.096432046
2000,bc_2,0,0,0,0.333333333,0,0,1.012009093,0.57133085
2001,bc_2,0.166666667,0,0,0,0,0,1.524634552,1.012009093
2002,bc_2,0.333333333,0,0,0.166666667,0,0,1.432314808,1.524634552
2003,bc_2,1.666666667,0,0,0.333333333,0,0,5.534534363,1.432314808
2004,bc_2,1.166666667,0.666666667,2.833333333,1.666666667,0,0,3.322577153,5.534534363
2005,bc_2,1.833333333,0.666666667,0.166666667,1.166666667,0.666666667,2.833333333,7.913682731,3.322577153
2006,bc_2,6.333333333,1.666666667,2.333333333,1.833333333,0.666666667,0.166666667,4.927403515,7.913682731
2007,bc_2,10.66666667,5,7.666666667,6.333333333,1.666666667,2.333333333,15.46030526,4.927403515
2008,bc_2,6,3.666666667,6,10.66666667,5,7.666666667,3.843221535,15.46030526
1994,bc_point,1.444444444,0.111111111,0.111111111,3.166666667,0,0.166666667,0.760544387,3.724090578
1995,bc_point,1.666666667,0,0,1.444444444,0.111111111,0.111111111,4.40987195,0.760544387
1996,bc_point,2.666666667,0,1,1.666666667,0,0,5.696432274,4.40987195
1997,bc_point,1.222222222,0.111111111,0.111111111,2.666666667,0,1,1.473100283,5.696432274
1998,bc_point,1.333333333,0,0,1.222222222,0.111111111,0.111111111,0.922059317,1.473100283
1999,bc_point,0.666666667,0,0.5,1.333333333,0,0,0.887127601,0.922059317
2000,bc_point,0.666666667,0,0,0.666666667,0,0.5,1.613656893,0.887127601
2003,bc_point,2,0,0.5,0.5,0,1.166666667,5.093404934,1.38799235
2004,bc_point,2.166666667,0.666666667,2.5,2,0,0.5,2.875572963,5.093404934
2005,bc_point,1.833333333,0.5,0,2.166666667,0.666666667,2.5,8.807568589,2.875572963
2006,bc_point,5.666666667,2,6,1.833333333,0.5,0,5.031887403,8.807568589
2007,bc_point,7,5,12.33333333,5.666666667,2,6,18.80246738,5.031887403
2008,bc_point,8,6,7.333333333,7,5,12.33333333,4.279728204,18.80246738
1994,diablo,1.333333333,0,0,3.166666667,0,0,0.802686693,3.527639737
1995,diablo,1,0,0,1.333333333,0,0,4.208592842,0.802686693
1996,diablo,2.333333333,0,0,1,0,0,7.583771841,4.208592842
1997,diablo,1.444444444,0.111111111,0,2.333333333,0,0,1.259073855,7.583771841
1998,diablo,2.555555556,0,0,1.444444444,0.111111111,0,0.892262483,1.259073855
1999,diablo,0.833333333,0,0,2.555555556,0,0,1.233517232,0.892262483
2000,diablo,0.777777778,0.444444444,0,0.833333333,0,0,2.117071883,1.233517232
2001,diablo,0.833333333,0,0,0.777777778,0.444444444,0,2.614056983,2.117071883
2002,diablo,1.5,0,0,0.833333333,0,0,1.277634904,2.614056983
2003,diablo,2.166666667,0.166666667,1,1.5,0,0,5.469918478,1.277634904
2004,diablo,3.5,1.333333333,2.833333333,2.166666667,0.166666667,1,3.316690008,5.469918478
2005,diablo,1.333333333,0.333333333,0.166666667,3.5,1.333333333,2.833333333,10.7803494,3.316690008
2006,diablo,6.666666667,2.333333333,8.333333333,1.333333333,0.333333333,0.166666667,5.4785097,10.7803494
2007,diablo,7.333333333,2.333333333,7.333333333,6.666666667,2.333333333,8.333333333,19.9599885,5.4785097
2008,diablo,8.666666667,3.666666667,11,7.333333333,2.333333333,7.333333333,5.320690982,19.9599885
1994,fern_o,1,0.111111111,0.444444444,1.583333333,0,0.75,0.441442458,2.774732224
1995,fern_o,0.555555556,0,0.555555556,1,0.111111111,0.444444444,1.891006959,0.441442458
1996,fern_o,1.333333333,0,3.666666667,0.555555556,0,0.555555556,5.520682244,1.891006959
1997,fern_o,0.222222222,0.333333333,0,1.333333333,0,3.666666667,1.115585282,5.520682244
1998,fern_o,2.444444444,0.111111111,1,0.222222222,0.333333333,0,0.918881649,1.115585282
2001,fern_o,0.5,0,0,1.111111111,0,0,1.706019283,0.956097115
2002,fern_o,1,0,1.666666667,0.5,0,0,0.927746437,1.706019283
2003,fern_o,0.666666667,0.166666667,0.666666667,1,0,1.666666667,4.567615347,0.927746437
2004,fern_o,3,1.166666667,1.166666667,0.666666667,0.166666667,0.666666667,2.535062502,4.567615347
2005,fern_o,1.333333333,0,0.166666667,3,1.166666667,1.166666667,3.56370143,2.535062502
2006,fern_o,1,0.333333333,2,1.333333333,0,0.166666667,3.269682024,3.56370143
2007,fern_o,1.333333333,0.333333333,3.666666667,1,0.333333333,2,12.45034692,3.269682024
2008,fern_o,2.666666667,0,1.666666667,1.333333333,0.333333333,3.666666667,2.920586185,12.45034692
1994,fern_1,1,0,0.444444444,2.166666667,0,0,0.675716394,3.851497175
1995,fern_1,1.111111111,0,0.111111111,1,0,0.444444444,4.044960474,0.675716394
1996,fern_1,2,0.333333333,1.666666667,1.111111111,0,0.111111111,7.012661402,4.044960474
1997,fern_1,1.444444444,0.777777778,0.666666667,2,0.333333333,1.666666667,1.509253567,7.012661402
1998,fern_1,1.666666667,0,0.444444444,1.444444444,0.777777778,0.666666667,0.838014819,1.509253567
2003,fern_1,2.166666667,0.166666667,4,1.5,0,1.666666667,4.965306886,1.259408317
2004,fern_1,4.333333333,1.833333333,2,2.166666667,0.166666667,4,1.994133691,4.965306886
2005,fern_1,1,0.833333333,0.166666667,4.333333333,1.833333333,2,4.008826196,1.994133691
2006,fern_1,3,0.666666667,3.333333333,1,0.833333333,0.166666667,3.331549909,4.008826196
1994,frys_1,0.444444444,0,0,1.083333333,0,0,0.514614132,2.758596632
1995,frys_1,0.555555556,0,0,0.444444444,0,0,1.940001369,0.514614132
1996,frys_1,0.333333333,0,0,0.555555556,0,0,4.034503122,1.940001369
1997,frys_1,0.333333333,0,0,0.333333333,0,0,0.673177623,4.034503122
1998,frys_1,0.666666667,0,0,0.333333333,0,0,0.518929031,0.673177623
1999,frys_1,0.166666667,0,0,0.666666667,0,0,0.536255798,0.518929031
2000,frys_1,0.333333333,0,0,0.166666667,0,0,0.820119895,0.536255798
2001,frys_1,0.166666667,0,0,0.333333333,0,0,0.604178061,0.820119895
2002,frys_1,0.166666667,0,0.333333333,0.166666667,0,0,0.680991171,0.604178061
2003,frys_1,1.5,0,0.5,0.166666667,0,0.333333333,3.623691821,0.680991171
2004,frys_1,0.666666667,0.166666667,1,1.5,0,0.5,2.665037386,3.623691821
2005,frys_1,0.666666667,0.166666667,0,0.666666667,0.166666667,1,3.226804667,2.665037386
2006,frys_1,3.333333333,0.666666667,0.333333333,0.666666667,0.166666667,0,3.698871753,3.226804667
1994,frys_2,0.444444444,0,0,0.833333333,0,0,0.585087601,2.998915324
1995,frys_2,0.444444444,0,0,0.444444444,0,0,1.800809857,0.585087601
1996,frys_2,0,0,0,0.444444444,0,0,4.277991215,1.800809857
1997,frys_2,0,0.222222222,0,0,0,0,0.886688302,4.277991215
1998,frys_2,0.555555556,0,0,0,0.222222222,0,0.790226874,0.886688302
1999,frys_2,0.5,0,0,0.555555556,0,0,1.154129686,0.790226874
2000,frys_2,0.111111111,0,0,0.5,0,0,1.118232967,1.154129686
2001,frys_2,0.333333333,0,0,0.111111111,0,0,1.948328588,1.118232967
2002,frys_2,0,0,0.5,0.333333333,0,0,1.088390874,1.948328588
2003,frys_2,0.166666667,0,0,0,0,0.5,5.031684023,1.088390874
2004,frys_2,0.166666667,0.666666667,0.333333333,0.166666667,0,0,3.56292558,5.031684023
2005,frys_2,0.333333333,0.166666667,0.5,0.166666667,0.666666667,0.333333333,8.364680619,3.56292558
2006,frys_2,2.333333333,0.333333333,0.333333333,0.333333333,0.166666667,0.5,3.219832625,8.364680619
1994,frys_3,0.666666667,0,0,1.333333333,0,0,0.660891895,3.129095888
1995,frys_3,0.333333333,0,0,0.666666667,0,0,3.385809354,0.660891895
1996,frys_3,0.333333333,0,0,0.333333333,0,0,4.115419865,3.385809354
1997,frys_3,0.111111111,0.222222222,0,0.333333333,0,0,1.071280834,4.115419865
1998,frys_3,0.666666667,0,0,0.111111111,0.222222222,0,0.833049687,1.071280834
1999,frys_3,0.166666667,0,0.666666667,0.666666667,0,0,0.810851724,0.833049687
2000,frys_3,1,0.111111111,0,0.166666667,0,0.666666667,1.509086482,0.810851724
2001,frys_3,0.833333333,0.166666667,0,1,0.111111111,0,1.87635368,1.509086482
2002,frys_3,0.833333333,0,0,0.833333333,0.166666667,0,1.114642771,1.87635368
2003,frys_3,0,0,0,0.833333333,0,0,4.535419892,1.114642771
2004,frys_3,1.166666667,1,0.833333333,0,0,0,2.812511999,4.535419892
2005,frys_3,0.333333333,0,0,1.166666667,1,0.833333333,6.47486503,2.812511999
2006,frys_3,3.333333333,2.666666667,0.333333333,0.333333333,0,0,5.563291893,6.47486503
1994,twin_e,3.111111111,0.888888889,4.888888889,3.083333333,0.166666667,0.583333333,0.783972562,2.500602903
1995,twin_e,3,1,0,3.111111111,0.888888889,4.888888889,4.666529769,0.783972562
1996,twin_e,4,0.666666667,10.66666667,3,1,0,9.057141215,4.666529769
1997,twin_e,4.333333333,8,3.666666667,4,0.666666667,10.66666667,1.193492276,9.057141215
1998,twin_e,3.444444444,1.777777778,0,4.333333333,8,3.666666667,0.888640537,1.193492276
