YEAR,MONTH,DATE,SITE,TRANSECT,QUAD,SIDE,FRONDS,HLD_DIAM,AREA,OBS_CODE,NOTES
2000,9,9/28/00,BULL,1,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/28/00,BULL,1,20,,4,7,20,6,-99999
2000,9,9/28/00,BULL,1,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/28/00,BULL,1,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/28/00,BULL,1,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/28/00,BULL,1,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/28/00,BULL,1,40,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/28/00,BULL,2,20,,11,65,20,2,-99999
2000,9,9/28/00,BULL,2,20,,16,55,20,2,-99999
2000,9,9/28/00,BULL,2,20,,34,55,20,2,-99999
2000,9,9/28/00,BULL,2,40,,2,-99999,20,3,Estimate from kelp subadult dataset
2000,9,9/28/00,BULL,2,40,,2,-99999,20,3,Estimate from kelp subadult dataset
2000,9,9/28/00,BULL,2,40,,2,-99999,20,3,Estimate from kelp subadult dataset
2000,9,9/28/00,BULL,2,40,,2,-99999,20,3,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,3,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/28/00,BULL,3,20,,27,65,20,2,-99999
2000,9,9/28/00,BULL,3,20,,38,60,20,2,-99999
2000,9,9/28/00,BULL,3,20,,44,65,20,2,-99999
2000,9,9/28/00,BULL,3,20,,65,68,20,2,-99999
2000,9,9/26/00,BULL,3,40,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/28/00,BULL,4,20,,0,0,20,2,NO KELP
2000,9,9/28/00,BULL,4,40,,0,0,20,2,NO KELP
2000,9,9/28/00,BULL,5,20,,0,0,20,2,NO KELP
2000,9,9/28/00,BULL,5,40,,4,15,20,2,-99999
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,20,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,40,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,40,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,40,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,40,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,40,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,40,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,40,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/26/00,BULL,6,40,,2,-99999,20,6,Estimate from kelp subadult dataset
2000,9,9/28/00,BULL,7,20,,7,10,20,2,-99999
2000,9,9/28/00,BULL,7,20,,10,9,20,2,-99999
2000,9,9/28/00,BULL,7,40,,4,6,20,2,-99999
2000,9,9/28/00,BULL,7,40,,4,7,20,2,-99999
2000,9,9/28/00,BULL,7,40,,4,15,20,2,-99999
2000,9,9/28/00,BULL,7,40,,5,7,20,2,-99999
2000,9,9/28/00,BULL,7,40,,6,7,20,2,-99999
2000,9,9/28/00,BULL,7,40,,6,10,20,2,-99999
2000,9,9/28/00,BULL,7,40,,10,10,20,2,-99999
2000,9,9/28/00,BULL,7,40,,11,6,20,2,-99999
2000,9,9/28/00,BULL,7,40,,14,6,20,2,-99999
2000,9,9/28/00,BULL,7,40,,4,6,20,2,-99999
2000,10,10/20/00,BULL,8,20,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,20,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,20,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,20,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,20,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,20,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,20,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,20,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,20,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,40,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,40,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,40,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,40,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,40,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,10,10/20/00,BULL,8,40,,2,-99999,20,2,Estimate from kelp subadult dataset
2000,9,9/8/00,CARP,1,20,,4,10,20,2,-99999
2000,9,9/8/00,CARP,1,20,,4,15,20,3,-99999
2000,9,9/8/00,CARP,1,20,,5,10,20,2,-99999
2000,9,9/8/00,CARP,1,20,,6,10,20,2,-99999
2000,9,9/8/00,CARP,1,20,,6,15,20,3,-99999
