"Year","species_code","count","Taxa_genus","Taxa_species"
1975,"SPRUCE.BUDWORM",0,"Choristoneura","fumiferana"
1976,"SPRUCE.BUDWORM",0,"Choristoneura","fumiferana"
1977,"SPRUCE.BUDWORM",0,"Choristoneura","fumiferana"
1978,"SPRUCE.BUDWORM",0,"Choristoneura","fumiferana"
1979,"SPRUCE.BUDWORM",0,"Choristoneura","fumiferana"
1980,"SPRUCE.BUDWORM",0,"Choristoneura","fumiferana"
1981,"SPRUCE.BUDWORM",0,"Choristoneura","fumiferana"
1982,"SPRUCE.BUDWORM",0,"Choristoneura","fumiferana"
1983,"SPRUCE.BUDWORM",7,"Choristoneura","fumiferana"
1984,"SPRUCE.BUDWORM",10,"Choristoneura","fumiferana"
1985,"SPRUCE.BUDWORM",5,"Choristoneura","fumiferana"
1986,"SPRUCE.BUDWORM",2,"Choristoneura","fumiferana"
1987,"SPRUCE.BUDWORM",0,"Choristoneura","fumiferana"
1988,"SPRUCE.BUDWORM",0,"Choristoneura","fumiferana"
1989,"SPRUCE.BUDWORM",50,"Choristoneura","fumiferana"
1990,"SPRUCE.BUDWORM",200,"Choristoneura","fumiferana"
1991,"SPRUCE.BUDWORM",25,"Choristoneura","fumiferana"
1992,"SPRUCE.BUDWORM",25,"Choristoneura","fumiferana"
1993,"SPRUCE.BUDWORM",35,"Choristoneura","fumiferana"
1994,"SPRUCE.BUDWORM",60,"Choristoneura","fumiferana"
1995,"SPRUCE.BUDWORM",80,"Choristoneura","fumiferana"
1996,"SPRUCE.BUDWORM",60,"Choristoneura","fumiferana"
1997,"SPRUCE.BUDWORM",50,"Choristoneura","fumiferana"
1998,"SPRUCE.BUDWORM",50,"Choristoneura","fumiferana"
1999,"SPRUCE.BUDWORM",0,"Choristoneura","fumiferana"
2000,"SPRUCE.BUDWORM",0,"Choristoneura","fumiferana"
2001,"SPRUCE.BUDWORM",5,"Choristoneura","fumiferana"
2002,"SPRUCE.BUDWORM",25,"Choristoneura","fumiferana"
2003,"SPRUCE.BUDWORM",35,"Choristoneura","fumiferana"
2004,"SPRUCE.BUDWORM",40,"Choristoneura","fumiferana"
2005,"SPRUCE.BUDWORM",50,"Choristoneura","fumiferana"
2006,"SPRUCE.BUDWORM",60,"Choristoneura","fumiferana"
2007,"SPRUCE.BUDWORM",75,"Choristoneura","fumiferana"
2010,"SPRUCE.BUDWORM",5,"Choristoneura","fumiferana"
2011,"SPRUCE.BUDWORM",4,"Choristoneura","fumiferana"
2012,"SPRUCE.BUDWORM",14,"Choristoneura","fumiferana"
1975,"LARCH.BUD.MOTH",100,"Zeiraphera","NA"
1976,"LARCH.BUD.MOTH",300,"Zeiraphera","NA"
1977,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1978,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1979,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1980,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1981,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1982,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1983,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1984,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1985,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1986,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1987,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1988,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1989,"LARCH.BUD.MOTH",60,"Zeiraphera","NA"
1990,"LARCH.BUD.MOTH",25,"Zeiraphera","NA"
1991,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1992,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1993,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1994,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1995,"LARCH.BUD.MOTH",10,"Zeiraphera","NA"
1996,"LARCH.BUD.MOTH",15,"Zeiraphera","NA"
1997,"LARCH.BUD.MOTH",10,"Zeiraphera","NA"
1998,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1999,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
2000,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
2001,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
2002,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
2003,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
2004,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
2005,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
2006,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
2007,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
2010,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
2011,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
2012,"LARCH.BUD.MOTH",0,"Zeiraphera","NA"
1975,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1976,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1977,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1978,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1979,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1980,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1981,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1982,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1983,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1984,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1985,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1986,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1987,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1988,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1989,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1990,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1991,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1992,"LARCH.SAWFLY",8,"Pristiphora","erichsonii"
1993,"LARCH.SAWFLY",4,"Pristiphora","erichsonii"
1994,"LARCH.SAWFLY",150,"Pristiphora","erichsonii"
1995,"LARCH.SAWFLY",250,"Pristiphora","erichsonii"
1996,"LARCH.SAWFLY",300,"Pristiphora","erichsonii"
1997,"LARCH.SAWFLY",75,"Pristiphora","erichsonii"
1998,"LARCH.SAWFLY",10,"Pristiphora","erichsonii"
1999,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
2000,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
2001,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
2002,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
2003,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
2004,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
2005,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
2006,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
2007,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
2010,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
2011,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
2012,"LARCH.SAWFLY",0,"Pristiphora","erichsonii"
1975,"SPEAR.MARKED..BLACK.MOTH",30,"Rheumaptera","hastata"
1976,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
1977,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
1978,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
1979,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
1980,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
1981,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
1982,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
1983,"SPEAR.MARKED..BLACK.MOTH",17,"Rheumaptera","hastata"
1984,"SPEAR.MARKED..BLACK.MOTH",35,"Rheumaptera","hastata"
1985,"SPEAR.MARKED..BLACK.MOTH",15,"Rheumaptera","hastata"
1986,"SPEAR.MARKED..BLACK.MOTH",19,"Rheumaptera","hastata"
1987,"SPEAR.MARKED..BLACK.MOTH",11,"Rheumaptera","hastata"
1988,"SPEAR.MARKED..BLACK.MOTH",2,"Rheumaptera","hastata"
1989,"SPEAR.MARKED..BLACK.MOTH",5,"Rheumaptera","hastata"
1990,"SPEAR.MARKED..BLACK.MOTH",14,"Rheumaptera","hastata"
1991,"SPEAR.MARKED..BLACK.MOTH",14,"Rheumaptera","hastata"
1992,"SPEAR.MARKED..BLACK.MOTH",16,"Rheumaptera","hastata"
1993,"SPEAR.MARKED..BLACK.MOTH",5,"Rheumaptera","hastata"
1994,"SPEAR.MARKED..BLACK.MOTH",1,"Rheumaptera","hastata"
1995,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
1996,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
1997,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
1998,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
1999,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
2000,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
2001,"SPEAR.MARKED..BLACK.MOTH",1,"Rheumaptera","hastata"
2002,"SPEAR.MARKED..BLACK.MOTH",3,"Rheumaptera","hastata"
2003,"SPEAR.MARKED..BLACK.MOTH",5,"Rheumaptera","hastata"
2004,"SPEAR.MARKED..BLACK.MOTH",2,"Rheumaptera","hastata"
2005,"SPEAR.MARKED..BLACK.MOTH",1,"Rheumaptera","hastata"
2006,"SPEAR.MARKED..BLACK.MOTH",2,"Rheumaptera","hastata"
2007,"SPEAR.MARKED..BLACK.MOTH",2,"Rheumaptera","hastata"
2010,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
2011,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
2012,"SPEAR.MARKED..BLACK.MOTH",0,"Rheumaptera","hastata"
1975,"LARGE.ASPEN.TORTRIX",0,"Choristoneura","conflictana"
1976,"LARGE.ASPEN.TORTRIX",0,"Choristoneura","conflictana"
1977,"LARGE.ASPEN.TORTRIX",0,"Choristoneura","conflictana"
1978,"LARGE.ASPEN.TORTRIX",21,"Choristoneura","conflictana"
1979,"LARGE.ASPEN.TORTRIX",27,"Choristoneura","conflictana"
1980,"LARGE.ASPEN.TORTRIX",12,"Choristoneura","conflictana"
1981,"LARGE.ASPEN.TORTRIX",41,"Choristoneura","conflictana"
1982,"LARGE.ASPEN.TORTRIX",30,"Choristoneura","conflictana"
1983,"LARGE.ASPEN.TORTRIX",24,"Choristoneura","conflictana"
1984,"LARGE.ASPEN.TORTRIX",17,"Choristoneura","conflictana"
1985,"LARGE.ASPEN.TORTRIX",3,"Choristoneura","conflictana"
1986,"LARGE.ASPEN.TORTRIX",37,"Choristoneura","conflictana"
1987,"LARGE.ASPEN.TORTRIX",26,"Choristoneura","conflictana"
1988,"LARGE.ASPEN.TORTRIX",18,"Choristoneura","conflictana"
1989,"LARGE.ASPEN.TORTRIX",11,"Choristoneura","conflictana"
