"time","grid","trap","l_ear","r_ear","sex","age","weight","hindft","count","date"
"10","bonrip","2c","414d320671",NA,NA,NA,"1430",NA,1,"1998-11-26"
"10","bonrip","2d","414d103e3a",NA,NA,NA,"1430",NA,1,"1998-11-26"
"10","bonrip","4e","414d1d0559",NA,NA,NA,"1590",NA,1,"1998-11-26"
"10","bonrip","5c","414d0e236b",NA,NA,NA,"1710",NA,1,"1998-11-26"
"10","bonrip","5d","414d310e44",NA,NA,NA,"1780",NA,1,"1998-11-26"
"10","bonrip","5a","414d1e3557",NA,NA,NA,"1830",NA,1,"1998-11-26"
"10","bonrip","4b","414d12350c",NA,NA,NA,"2170",NA,1,"1998-11-26"
"10","bonrip","1a","414d096a08",NA,NA,NA,"1370",NA,1,"1998-11-26"
"10","bonrip","3b","414d2b4b58",NA,NA,NA,"1710",NA,1,"1998-11-26"
"10","bonrip","3d","414d193011",NA,NA,NA,"1890",NA,1,"1998-11-26"
"10","bonrip","4a","414d0f5b3d",NA,NA,NA,"2170",NA,1,"1998-11-26"
"10","bonrip","2e","414d262d43",NA,NA,NA,"1490",NA,1,"1998-11-26"
"10","bonrip","5e","414d2e6226",NA,NA,NA,"1730",NA,1,"1998-11-26"
"10","bonrip","4c","414d197c34",NA,NA,NA,"1510",NA,1,"1998-11-26"
"10","bonrip","8a","4109343929",NA,"m",NA,"1510",NA,1,"1998-11-27"
"10","bonrip","8e","41092a5a14",NA,"m",NA,"1620",NA,1,"1998-11-27"
"10","bonrip","2c","414d231059",NA,"m",NA,"1670",NA,1,"1998-11-27"
"10","bonrip","5c","41090f5e01",NA,"m",NA,"1690",NA,1,"1998-11-27"
"10","bonrip","7e","4109276054",NA,"m",NA,"1720",NA,1,"1998-11-27"
"10","bonrip","1e","414d363f65",NA,"m",NA,"1870",NA,1,"1998-11-27"
"10","bonrip","2b","414d320671",NA,"m",NA,NA,NA,1,"1998-11-27"
"10","bonrip","3b","414d2a247d",NA,"m",NA,NA,NA,1,"1998-11-27"
"10","bonrip","7c","41091a5978",NA,"m",NA,"1690",NA,1,"1998-11-27"
"10","bonrip","10c","410912535d",NA,"m",NA,"1670",NA,1,"1998-11-27"
"10","bonrip","3c","414d114458",NA,"m",NA,NA,NA,1,"1998-11-27"
"10","bonrip","6c","4109264b12",NA,"m",NA,"1750",NA,1,"1998-11-27"
"10","bonrip","4c","4109156d37",NA,"f",NA,"1670",NA,1,"1998-11-27"
"10","bonrip","1c","414d182b2a",NA,"f",NA,"1990",NA,1,"1998-11-27"
"10","bonrip","4b","410916792d",NA,"f",NA,NA,NA,1,"1998-11-27"
"10","bonrip","4e","414d2e6226",NA,"f",NA,NA,NA,1,"1998-11-27"
"10","bonrip","6a","41093a0623",NA,"f",NA,NA,NA,1,"1998-11-27"
"10","bonrip","7b","4109297f5d",NA,"f",NA,NA,NA,1,"1998-11-27"
"10","bonrip","8b","41091c6706",NA,"f",NA,NA,NA,1,"1998-11-27"
"10","bonrip","2a","414d171b7f",NA,"f",NA,"1650",NA,1,"1998-11-27"
"10","bonrip","5b","4109285a73",NA,"f",NA,"1770",NA,1,"1998-11-27"
"10","bonrip","9a","4109101c08",NA,"f",NA,"1790",NA,1,"1998-11-27"
"10","bonrip","6b","4109350e4d",NA,"f",NA,"1640",NA,1,"1998-11-27"
"10","bonrip","3e","414d193011",NA,"f",NA,NA,NA,1,"1998-11-27"
"10","bonrip","2e","414d0b2c38",NA,"f",NA,"1830",NA,1,"1998-11-27"
"10","bonrip","9d","4109257c11",NA,NA,NA,"1770",NA,1,"1998-11-27"
"10","bonrip","1d","414d103e3a",NA,"m",NA,"1370",NA,1,"1998-11-28"
"10","bonrip","1c","4109250570",NA,"m",NA,"1870",NA,1,"1998-11-28"
"10","bonrip","3d","414d197c34",NA,"m",NA,NA,NA,1,"1998-11-28"
"10","bonrip","5d","414d0e236b",NA,"m",NA,NA,NA,1,"1998-11-28"
"10","bonrip","3e","414d1d0559",NA,"m",NA,NA,NA,1,"1998-11-28"
"10","bonrip","9a","4109343929",NA,"m",NA,NA,NA,1,"1998-11-28"
"10","bonrip","6a","41090f6220",NA,"m",NA,"1770",NA,1,"1998-11-28"
"10","bonrip","2c","4109152f7a",NA,"f",NA,"1470",NA,1,"1998-11-28"
"10","bonrip","2b","414d1e3557",NA,"f",NA,"1670",NA,1,"1998-11-28"
"10","bonrip","6e","4109282708",NA,"f",NA,"1770",NA,1,"1998-11-28"
"10","bonrip","4b","414d2e6226",NA,"f",NA,NA,NA,1,"1998-11-28"
"10","bonrip","5a","4109187f32",NA,"f",NA,"1770",NA,1,"1998-11-28"
"10","bonrip","9b","4109314d2f",NA,"f",NA,"1720",NA,1,"1998-11-28"
"10","bonrip","8a","4109253d4b",NA,"f",NA,"1670",NA,1,"1998-11-28"
"10","bonrip","1e","414d0b2c38",NA,NA,NA,NA,NA,1,"1998-11-28"
"10","bonrip","8c","4109297f5d",NA,NA,NA,NA,NA,1,"1998-11-28"
