"","Cruise","date","Station","Depth.meters","TAXON_GENUS","count","TAXON_PHYLUM","TAXON_CLASS"
"1",80116,"16-Jan-2008",1,5,"Pseudo.nitzschia",5960,"NA","Bacillariophyceae"
"2",80116,"16-Jan-2008",2,5,"Pseudo.nitzschia",5120,"NA","Bacillariophyceae"
"3",80116,"16-Jan-2008",3,5,"Pseudo.nitzschia",2060,"NA","Bacillariophyceae"
"4",80116,"16-Jan-2008",4,5,"Pseudo.nitzschia",2160,"NA","Bacillariophyceae"
"5",80116,"16-Jan-2008",5,5,"Pseudo.nitzschia",1820,"NA","Bacillariophyceae"
"6",80221,"21-Feb-2008",1,5,"Pseudo.nitzschia",1960,"NA","Bacillariophyceae"
"7",80221,"21-Feb-2008",2,5,"Pseudo.nitzschia",2620,"NA","Bacillariophyceae"
"8",80221,"21-Feb-2008",3,5,"Pseudo.nitzschia",2220,"NA","Bacillariophyceae"
"9",80221,"21-Feb-2008",4,5,"Pseudo.nitzschia",1920,"NA","Bacillariophyceae"
"10",80221,"21-Feb-2008",5,5,"Pseudo.nitzschia",1400,"NA","Bacillariophyceae"
"11",80325,"25-Mar-2008",1,5,"Pseudo.nitzschia",29200,"NA","Bacillariophyceae"
"12",80325,"25-Mar-2008",2,5,"Pseudo.nitzschia",41740,"NA","Bacillariophyceae"
"13",80325,"25-Mar-2008",3,5,"Pseudo.nitzschia",91440,"NA","Bacillariophyceae"
"14",80325,"25-Mar-2008",4,5,"Pseudo.nitzschia",73040,"NA","Bacillariophyceae"
"15",80325,"25-Mar-2008",5,5,"Pseudo.nitzschia",85500,"NA","Bacillariophyceae"
"16",80430,"30-Apr-2008",1,5,"Pseudo.nitzschia",2780,"NA","Bacillariophyceae"
"17",80430,"30-Apr-2008",2,5,"Pseudo.nitzschia",540,"NA","Bacillariophyceae"
"18",80430,"30-Apr-2008",3,5,"Pseudo.nitzschia",1300,"NA","Bacillariophyceae"
"19",80430,"30-Apr-2008",4,5,"Pseudo.nitzschia",3440,"NA","Bacillariophyceae"
"20",80430,"30-Apr-2008",5,5,"Pseudo.nitzschia",2700,"NA","Bacillariophyceae"
"21",80514,"14-May-2008",1,5,"Pseudo.nitzschia",11860,"NA","Bacillariophyceae"
"22",80514,"14-May-2008",2,5,"Pseudo.nitzschia",7040,"NA","Bacillariophyceae"
"23",80514,"14-May-2008",3,5,"Pseudo.nitzschia",11960,"NA","Bacillariophyceae"
"24",80514,"14-May-2008",4,5,"Pseudo.nitzschia",9720,"NA","Bacillariophyceae"
"25",80514,"14-May-2008",5,5,"Pseudo.nitzschia",7860,"NA","Bacillariophyceae"
"26",80625,"25-Jun-2008",1,5,"Pseudo.nitzschia",49760,"NA","Bacillariophyceae"
"27",80625,"25-Jun-2008",2,5,"Pseudo.nitzschia",141500,"NA","Bacillariophyceae"
"28",80625,"25-Jun-2008",3,5,"Pseudo.nitzschia",177160,"NA","Bacillariophyceae"
"29",80625,"25-Jun-2008",4,5,"Pseudo.nitzschia",116820,"NA","Bacillariophyceae"
"30",80625,"25-Jun-2008",5,5,"Pseudo.nitzschia",98820,"NA","Bacillariophyceae"
"31",80716,"16-Jul-2008",1,5,"Pseudo.nitzschia",6780,"NA","Bacillariophyceae"
"32",80716,"16-Jul-2008",2,5,"Pseudo.nitzschia",10340,"NA","Bacillariophyceae"
"33",80716,"16-Jul-2008",3,5,"Pseudo.nitzschia",5800,"NA","Bacillariophyceae"
"34",80716,"16-Jul-2008",4,5,"Pseudo.nitzschia",4840,"NA","Bacillariophyceae"
"35",80716,"16-Jul-2008",5,5,"Pseudo.nitzschia",75980,"NA","Bacillariophyceae"
"36",80827,"27-Aug-2008",1,5,"Pseudo.nitzschia",1020,"NA","Bacillariophyceae"
"37",80827,"27-Aug-2008",2,5,"Pseudo.nitzschia",8380,"NA","Bacillariophyceae"
"38",80827,"27-Aug-2008",3,5,"Pseudo.nitzschia",17580,"NA","Bacillariophyceae"
"39",80827,"27-Aug-2008",4,5,"Pseudo.nitzschia",9260,"NA","Bacillariophyceae"
"40",80827,"27-Aug-2008",5,5,"Pseudo.nitzschia",13920,"NA","Bacillariophyceae"
"41",80924,"24-Sep-2008",1,5,"Pseudo.nitzschia",160,"NA","Bacillariophyceae"
"42",80924,"24-Sep-2008",2,5,"Pseudo.nitzschia",1840,"NA","Bacillariophyceae"
"43",80924,"24-Sep-2008",3,5,"Pseudo.nitzschia",1160,"NA","Bacillariophyceae"
"44",80924,"24-Sep-2008",4,5,"Pseudo.nitzschia",460,"NA","Bacillariophyceae"
"45",80924,"24-Sep-2008",5,5,"Pseudo.nitzschia",14440,"NA","Bacillariophyceae"
"46",81023,"23-Oct-2008",1,5,"Pseudo.nitzschia",72520,"NA","Bacillariophyceae"
"47",81023,"23-Oct-2008",2,5,"Pseudo.nitzschia",103180,"NA","Bacillariophyceae"
"48",81023,"23-Oct-2008",3,5,"Pseudo.nitzschia",201240,"NA","Bacillariophyceae"
"49",81023,"23-Oct-2008",4,5,"Pseudo.nitzschia",79640,"NA","Bacillariophyceae"
"50",81023,"23-Oct-2008",5,5,"Pseudo.nitzschia",41440,"NA","Bacillariophyceae"
"51",81119,"19-Nov-2008",1,5,"Pseudo.nitzschia",13620,"NA","Bacillariophyceae"
"52",81119,"19-Nov-2008",2,5,"Pseudo.nitzschia",15080,"NA","Bacillariophyceae"
"53",81119,"19-Nov-2008",3,5,"Pseudo.nitzschia",37760,"NA","Bacillariophyceae"
"54",81119,"19-Nov-2008",4,5,"Pseudo.nitzschia",15220,"NA","Bacillariophyceae"
"55",81119,"19-Nov-2008",5,5,"Pseudo.nitzschia",15920,"NA","Bacillariophyceae"
"56",81210,"10-Dec-2008",1,5,"Pseudo.nitzschia",19100,"NA","Bacillariophyceae"
"57",81210,"10-Dec-2008",2,5,"Pseudo.nitzschia",8380,"NA","Bacillariophyceae"
"58",81210,"10-Dec-2008",3,5,"Pseudo.nitzschia",17700,"NA","Bacillariophyceae"
"59",81210,"10-Dec-2008",4,5,"Pseudo.nitzschia",5120,"NA","Bacillariophyceae"
"60",81210,"10-Dec-2008",5,5,"Pseudo.nitzschia",12120,"NA","Bacillariophyceae"
"61",90123,"23-Jan-2009",1,5,"Pseudo.nitzschia",1320,"NA","Bacillariophyceae"
"62",90123,"23-Jan-2009",2,5,"Pseudo.nitzschia",29920,"NA","Bacillariophyceae"
"63",90123,"23-Jan-2009",3,5,"Pseudo.nitzschia",8920,"NA","Bacillariophyceae"
"64",90123,"23-Jan-2009",4,5,"Pseudo.nitzschia",4620,"NA","Bacillariophyceae"
"65",90123,"23-Jan-2009",5,5,"Pseudo.nitzschia",14780,"NA","Bacillariophyceae"
"66",90226,"26-Feb-2009",1,5,"Pseudo.nitzschia",3460,"NA","Bacillariophyceae"
"67",90226,"26-Feb-2009",2,5,"Pseudo.nitzschia",4080,"NA","Bacillariophyceae"
"68",90226,"26-Feb-2009",3,5,"Pseudo.nitzschia",8520,"NA","Bacillariophyceae"
"69",90226,"26-Feb-2009",4,5,"Pseudo.nitzschia",6860,"NA","Bacillariophyceae"
"70",90226,"26-Feb-2009",5,5,"Pseudo.nitzschia",5620,"NA","Bacillariophyceae"
"71",90330,"30-Mar-2009",1,5,"Pseudo.nitzschia",660,"NA","Bacillariophyceae"
"72",90330,"30-Mar-2009",2,5,"Pseudo.nitzschia",84660,"NA","Bacillariophyceae"
"73",90330,"30-Mar-2009",3,5,"Pseudo.nitzschia",94300,"NA","Bacillariophyceae"
"74",90330,"30-Mar-2009",4,5,"Pseudo.nitzschia",135000,"NA","Bacillariophyceae"
"75",90330,"30-Mar-2009",5,5,"Pseudo.nitzschia",92820,"NA","Bacillariophyceae"
"76",90420,"20-Apr-2009",1,5,"Pseudo.nitzschia",3480,"NA","Bacillariophyceae"
"77",90420,"20-Apr-2009",2,5,"Pseudo.nitzschia",4700,"NA","Bacillariophyceae"
"78",90420,"20-Apr-2009",3,5,"Pseudo.nitzschia",45160,"NA","Bacillariophyceae"
"79",90420,"20-Apr-2009",4,5,"Pseudo.nitzschia",51360,"NA","Bacillariophyceae"
"80",90420,"20-Apr-2009",5,5,"Pseudo.nitzschia",44240,"NA","Bacillariophyceae"
"81",80116,"16-Jan-2008",1,5,"Leptocylindrus",3040,"NA","Bacillariophyceae"
"82",80116,"16-Jan-2008",2,5,"Leptocylindrus",1960,"NA","Bacillariophyceae"
"83",80116,"16-Jan-2008",3,5,"Leptocylindrus",1440,"NA","Bacillariophyceae"
"84",80116,"16-Jan-2008",4,5,"Leptocylindrus",1600,"NA","Bacillariophyceae"
"85",80116,"16-Jan-2008",5,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"86",80221,"21-Feb-2008",1,5,"Leptocylindrus",3140,"NA","Bacillariophyceae"
"87",80221,"21-Feb-2008",2,5,"Leptocylindrus",1440,"NA","Bacillariophyceae"
"88",80221,"21-Feb-2008",3,5,"Leptocylindrus",2220,"NA","Bacillariophyceae"
"89",80221,"21-Feb-2008",4,5,"Leptocylindrus",660,"NA","Bacillariophyceae"
"90",80221,"21-Feb-2008",5,5,"Leptocylindrus",540,"NA","Bacillariophyceae"
"91",80325,"25-Mar-2008",1,5,"Leptocylindrus",6160,"NA","Bacillariophyceae"
"92",80325,"25-Mar-2008",2,5,"Leptocylindrus",12640,"NA","Bacillariophyceae"
"93",80325,"25-Mar-2008",3,5,"Leptocylindrus",7360,"NA","Bacillariophyceae"
"94",80325,"25-Mar-2008",4,5,"Leptocylindrus",1100,"NA","Bacillariophyceae"
"95",80325,"25-Mar-2008",5,5,"Leptocylindrus",7520,"NA","Bacillariophyceae"
"96",80430,"30-Apr-2008",1,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"97",80430,"30-Apr-2008",2,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"98",80430,"30-Apr-2008",3,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"99",80430,"30-Apr-2008",4,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"100",80430,"30-Apr-2008",5,5,"Leptocylindrus",80,"NA","Bacillariophyceae"
"101",80514,"14-May-2008",1,5,"Leptocylindrus",1420,"NA","Bacillariophyceae"
"102",80514,"14-May-2008",2,5,"Leptocylindrus",680,"NA","Bacillariophyceae"
"103",80514,"14-May-2008",3,5,"Leptocylindrus",780,"NA","Bacillariophyceae"
"104",80514,"14-May-2008",4,5,"Leptocylindrus",800,"NA","Bacillariophyceae"
"105",80514,"14-May-2008",5,5,"Leptocylindrus",700,"NA","Bacillariophyceae"
"106",80625,"25-Jun-2008",1,5,"Leptocylindrus",3780,"NA","Bacillariophyceae"
"107",80625,"25-Jun-2008",2,5,"Leptocylindrus",57920,"NA","Bacillariophyceae"
"108",80625,"25-Jun-2008",3,5,"Leptocylindrus",260280,"NA","Bacillariophyceae"
"109",80625,"25-Jun-2008",4,5,"Leptocylindrus",908640,"NA","Bacillariophyceae"
"110",80625,"25-Jun-2008",5,5,"Leptocylindrus",745020,"NA","Bacillariophyceae"
"111",80716,"16-Jul-2008",1,5,"Leptocylindrus",900,"NA","Bacillariophyceae"
"112",80716,"16-Jul-2008",2,5,"Leptocylindrus",1080,"NA","Bacillariophyceae"
"113",80716,"16-Jul-2008",3,5,"Leptocylindrus",4300,"NA","Bacillariophyceae"
"114",80716,"16-Jul-2008",4,5,"Leptocylindrus",2420,"NA","Bacillariophyceae"
"115",80716,"16-Jul-2008",5,5,"Leptocylindrus",17560,"NA","Bacillariophyceae"
"116",80827,"27-Aug-2008",1,5,"Leptocylindrus",40,"NA","Bacillariophyceae"
"117",80827,"27-Aug-2008",2,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"118",80827,"27-Aug-2008",3,5,"Leptocylindrus",3120,"NA","Bacillariophyceae"
"119",80827,"27-Aug-2008",4,5,"Leptocylindrus",1800,"NA","Bacillariophyceae"
"120",80827,"27-Aug-2008",5,5,"Leptocylindrus",960,"NA","Bacillariophyceae"
"121",80924,"24-Sep-2008",1,5,"Leptocylindrus",120,"NA","Bacillariophyceae"
"122",80924,"24-Sep-2008",2,5,"Leptocylindrus",1860,"NA","Bacillariophyceae"
"123",80924,"24-Sep-2008",3,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"124",80924,"24-Sep-2008",4,5,"Leptocylindrus",380,"NA","Bacillariophyceae"
"125",80924,"24-Sep-2008",5,5,"Leptocylindrus",1740,"NA","Bacillariophyceae"
"126",81023,"23-Oct-2008",1,5,"Leptocylindrus",33180,"NA","Bacillariophyceae"
"127",81023,"23-Oct-2008",2,5,"Leptocylindrus",44700,"NA","Bacillariophyceae"
"128",81023,"23-Oct-2008",3,5,"Leptocylindrus",57740,"NA","Bacillariophyceae"
"129",81023,"23-Oct-2008",4,5,"Leptocylindrus",13340,"NA","Bacillariophyceae"
"130",81023,"23-Oct-2008",5,5,"Leptocylindrus",12680,"NA","Bacillariophyceae"
"131",81119,"19-Nov-2008",1,5,"Leptocylindrus",5640,"NA","Bacillariophyceae"
"132",81119,"19-Nov-2008",2,5,"Leptocylindrus",7220,"NA","Bacillariophyceae"
"133",81119,"19-Nov-2008",3,5,"Leptocylindrus",2900,"NA","Bacillariophyceae"
"134",81119,"19-Nov-2008",4,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"135",81119,"19-Nov-2008",5,5,"Leptocylindrus",1300,"NA","Bacillariophyceae"
"136",81210,"10-Dec-2008",1,5,"Leptocylindrus",1940,"NA","Bacillariophyceae"
"137",81210,"10-Dec-2008",2,5,"Leptocylindrus",1840,"NA","Bacillariophyceae"
"138",81210,"10-Dec-2008",3,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"139",81210,"10-Dec-2008",4,5,"Leptocylindrus",80,"NA","Bacillariophyceae"
"140",81210,"10-Dec-2008",5,5,"Leptocylindrus",360,"NA","Bacillariophyceae"
"141",90123,"23-Jan-2009",1,5,"Leptocylindrus",460,"NA","Bacillariophyceae"
"142",90123,"23-Jan-2009",2,5,"Leptocylindrus",1780,"NA","Bacillariophyceae"
"143",90123,"23-Jan-2009",3,5,"Leptocylindrus",2240,"NA","Bacillariophyceae"
"144",90123,"23-Jan-2009",4,5,"Leptocylindrus",360,"NA","Bacillariophyceae"
"145",90123,"23-Jan-2009",5,5,"Leptocylindrus",1440,"NA","Bacillariophyceae"
"146",90226,"26-Feb-2009",1,5,"Leptocylindrus",220,"NA","Bacillariophyceae"
"147",90226,"26-Feb-2009",2,5,"Leptocylindrus",60,"NA","Bacillariophyceae"
"148",90226,"26-Feb-2009",3,5,"Leptocylindrus",360,"NA","Bacillariophyceae"
"149",90226,"26-Feb-2009",4,5,"Leptocylindrus",640,"NA","Bacillariophyceae"
"150",90226,"26-Feb-2009",5,5,"Leptocylindrus",740,"NA","Bacillariophyceae"
"151",90330,"30-Mar-2009",1,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"152",90330,"30-Mar-2009",2,5,"Leptocylindrus",4960,"NA","Bacillariophyceae"
"153",90330,"30-Mar-2009",3,5,"Leptocylindrus",1160,"NA","Bacillariophyceae"
"154",90330,"30-Mar-2009",4,5,"Leptocylindrus",3100,"NA","Bacillariophyceae"
"155",90330,"30-Mar-2009",5,5,"Leptocylindrus",1920,"NA","Bacillariophyceae"
"156",90420,"20-Apr-2009",1,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"157",90420,"20-Apr-2009",2,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"158",90420,"20-Apr-2009",3,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"159",90420,"20-Apr-2009",4,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"160",90420,"20-Apr-2009",5,5,"Leptocylindrus",0,"NA","Bacillariophyceae"
"161",80116,"16-Jan-2008",1,5,"Thalassiosira",2680,"NA","Bacillariophyceae"
"162",80116,"16-Jan-2008",2,5,"Thalassiosira",2440,"NA","Bacillariophyceae"
"163",80116,"16-Jan-2008",3,5,"Thalassiosira",1200,"NA","Bacillariophyceae"
"164",80116,"16-Jan-2008",4,5,"Thalassiosira",720,"NA","Bacillariophyceae"
"165",80116,"16-Jan-2008",5,5,"Thalassiosira",840,"NA","Bacillariophyceae"
"166",80221,"21-Feb-2008",1,5,"Thalassiosira",6660,"NA","Bacillariophyceae"
"167",80221,"21-Feb-2008",2,5,"Thalassiosira",2860,"NA","Bacillariophyceae"
"168",80221,"21-Feb-2008",3,5,"Thalassiosira",3500,"NA","Bacillariophyceae"
"169",80221,"21-Feb-2008",4,5,"Thalassiosira",2160,"NA","Bacillariophyceae"
"170",80221,"21-Feb-2008",5,5,"Thalassiosira",2480,"NA","Bacillariophyceae"
"171",80325,"25-Mar-2008",1,5,"Thalassiosira",6660,"NA","Bacillariophyceae"
"172",80325,"25-Mar-2008",2,5,"Thalassiosira",7940,"NA","Bacillariophyceae"
"173",80325,"25-Mar-2008",3,5,"Thalassiosira",9860,"NA","Bacillariophyceae"
"174",80325,"25-Mar-2008",4,5,"Thalassiosira",10940,"NA","Bacillariophyceae"
"175",80325,"25-Mar-2008",5,5,"Thalassiosira",18880,"NA","Bacillariophyceae"
"176",80430,"30-Apr-2008",1,5,"Thalassiosira",3930,"NA","Bacillariophyceae"
"177",80430,"30-Apr-2008",2,5,"Thalassiosira",15880,"NA","Bacillariophyceae"
"178",80430,"30-Apr-2008",3,5,"Thalassiosira",8320,"NA","Bacillariophyceae"
"179",80430,"30-Apr-2008",4,5,"Thalassiosira",23340,"NA","Bacillariophyceae"
"180",80430,"30-Apr-2008",5,5,"Thalassiosira",26180,"NA","Bacillariophyceae"
"181",80514,"14-May-2008",1,5,"Thalassiosira",69520,"NA","Bacillariophyceae"
"182",80514,"14-May-2008",2,5,"Thalassiosira",59000,"NA","Bacillariophyceae"
"183",80514,"14-May-2008",3,5,"Thalassiosira",46860,"NA","Bacillariophyceae"
"184",80514,"14-May-2008",4,5,"Thalassiosira",48780,"NA","Bacillariophyceae"
"185",80514,"14-May-2008",5,5,"Thalassiosira",50600,"NA","Bacillariophyceae"
"186",80625,"25-Jun-2008",1,5,"Thalassiosira",3500,"NA","Bacillariophyceae"
"187",80625,"25-Jun-2008",2,5,"Thalassiosira",3580,"NA","Bacillariophyceae"
"188",80625,"25-Jun-2008",3,5,"Thalassiosira",5400,"NA","Bacillariophyceae"
"189",80625,"25-Jun-2008",4,5,"Thalassiosira",8120,"NA","Bacillariophyceae"
"190",80625,"25-Jun-2008",5,5,"Thalassiosira",5560,"NA","Bacillariophyceae"
"191",80716,"16-Jul-2008",1,5,"Thalassiosira",760,"NA","Bacillariophyceae"
"192",80716,"16-Jul-2008",2,5,"Thalassiosira",800,"NA","Bacillariophyceae"
"193",80716,"16-Jul-2008",3,5,"Thalassiosira",1220,"NA","Bacillariophyceae"
"194",80716,"16-Jul-2008",4,5,"Thalassiosira",580,"NA","Bacillariophyceae"
"195",80716,"16-Jul-2008",5,5,"Thalassiosira",920,"NA","Bacillariophyceae"
"196",80827,"27-Aug-2008",1,5,"Thalassiosira",280,"NA","Bacillariophyceae"
"197",80827,"27-Aug-2008",2,5,"Thalassiosira",360,"NA","Bacillariophyceae"
"198",80827,"27-Aug-2008",3,5,"Thalassiosira",260,"NA","Bacillariophyceae"
"199",80827,"27-Aug-2008",4,5,"Thalassiosira",560,"NA","Bacillariophyceae"
"200",80827,"27-Aug-2008",5,5,"Thalassiosira",2280,"NA","Bacillariophyceae"
"201",80924,"24-Sep-2008",1,5,"Thalassiosira",540,"NA","Bacillariophyceae"
"202",80924,"24-Sep-2008",2,5,"Thalassiosira",660,"NA","Bacillariophyceae"
"203",80924,"24-Sep-2008",3,5,"Thalassiosira",540,"NA","Bacillariophyceae"
"204",80924,"24-Sep-2008",4,5,"Thalassiosira",720,"NA","Bacillariophyceae"
"205",80924,"24-Sep-2008",5,5,"Thalassiosira",2100,"NA","Bacillariophyceae"
"206",81023,"23-Oct-2008",1,5,"Thalassiosira",3940,"NA","Bacillariophyceae"
"207",81023,"23-Oct-2008",2,5,"Thalassiosira",9840,"NA","Bacillariophyceae"
"208",81023,"23-Oct-2008",3,5,"Thalassiosira",19300,"NA","Bacillariophyceae"
"209",81023,"23-Oct-2008",4,5,"Thalassiosira",4220,"NA","Bacillariophyceae"
"210",81023,"23-Oct-2008",5,5,"Thalassiosira",15580,"NA","Bacillariophyceae"
"211",81119,"19-Nov-2008",1,5,"Thalassiosira",12120,"NA","Bacillariophyceae"
"212",81119,"19-Nov-2008",2,5,"Thalassiosira",6220,"NA","Bacillariophyceae"
"213",81119,"19-Nov-2008",3,5,"Thalassiosira",16620,"NA","Bacillariophyceae"
"214",81119,"19-Nov-2008",4,5,"Thalassiosira",9920,"NA","Bacillariophyceae"
"215",81119,"19-Nov-2008",5,5,"Thalassiosira",5600,"NA","Bacillariophyceae"
"216",81210,"10-Dec-2008",1,5,"Thalassiosira",1860,"NA","Bacillariophyceae"
"217",81210,"10-Dec-2008",2,5,"Thalassiosira",3200,"NA","Bacillariophyceae"
"218",81210,"10-Dec-2008",3,5,"Thalassiosira",4280,"NA","Bacillariophyceae"
"219",81210,"10-Dec-2008",4,5,"Thalassiosira",2840,"NA","Bacillariophyceae"
"220",81210,"10-Dec-2008",5,5,"Thalassiosira",2580,"NA","Bacillariophyceae"
"221",90123,"23-Jan-2009",1,5,"Thalassiosira",1420,"NA","Bacillariophyceae"
"222",90123,"23-Jan-2009",2,5,"Thalassiosira",2720,"NA","Bacillariophyceae"
"223",90123,"23-Jan-2009",3,5,"Thalassiosira",3680,"NA","Bacillariophyceae"
"224",90123,"23-Jan-2009",4,5,"Thalassiosira",3060,"NA","Bacillariophyceae"
"225",90123,"23-Jan-2009",5,5,"Thalassiosira",3140,"NA","Bacillariophyceae"
"226",90226,"26-Feb-2009",1,5,"Thalassiosira",3860,"NA","Bacillariophyceae"
"227",90226,"26-Feb-2009",2,5,"Thalassiosira",5080,"NA","Bacillariophyceae"
"228",90226,"26-Feb-2009",3,5,"Thalassiosira",4640,"NA","Bacillariophyceae"
"229",90226,"26-Feb-2009",4,5,"Thalassiosira",7760,"NA","Bacillariophyceae"
"230",90226,"26-Feb-2009",5,5,"Thalassiosira",4900,"NA","Bacillariophyceae"
"231",90330,"30-Mar-2009",1,5,"Thalassiosira",1000,"NA","Bacillariophyceae"
"232",90330,"30-Mar-2009",2,5,"Thalassiosira",1440,"NA","Bacillariophyceae"
"233",90330,"30-Mar-2009",3,5,"Thalassiosira",1780,"NA","Bacillariophyceae"
"234",90330,"30-Mar-2009",4,5,"Thalassiosira",4020,"NA","Bacillariophyceae"
"235",90330,"30-Mar-2009",5,5,"Thalassiosira",2420,"NA","Bacillariophyceae"
"236",90420,"20-Apr-2009",1,5,"Thalassiosira",0,"NA","Bacillariophyceae"
"237",90420,"20-Apr-2009",2,5,"Thalassiosira",0,"NA","Bacillariophyceae"
"238",90420,"20-Apr-2009",3,5,"Thalassiosira",220,"NA","Bacillariophyceae"
"239",90420,"20-Apr-2009",4,5,"Thalassiosira",180,"NA","Bacillariophyceae"
"240",90420,"20-Apr-2009",5,5,"Thalassiosira",520,"NA","Bacillariophyceae"
"241",80116,"16-Jan-2008",1,5,"Chaetoceros",4740,"NA","Bacillariophyceae"
"242",80116,"16-Jan-2008",2,5,"Chaetoceros",7680,"NA","Bacillariophyceae"
"243",80116,"16-Jan-2008",3,5,"Chaetoceros",40,"NA","Bacillariophyceae"
"244",80116,"16-Jan-2008",4,5,"Chaetoceros",1040,"NA","Bacillariophyceae"
"245",80116,"16-Jan-2008",5,5,"Chaetoceros",60,"NA","Bacillariophyceae"
"246",80221,"21-Feb-2008",1,5,"Chaetoceros",25860,"NA","Bacillariophyceae"
"247",80221,"21-Feb-2008",2,5,"Chaetoceros",27660,"NA","Bacillariophyceae"
"248",80221,"21-Feb-2008",3,5,"Chaetoceros",20240,"NA","Bacillariophyceae"
"249",80221,"21-Feb-2008",4,5,"Chaetoceros",11660,"NA","Bacillariophyceae"
"250",80221,"21-Feb-2008",5,5,"Chaetoceros",2300,"NA","Bacillariophyceae"
"251",80325,"25-Mar-2008",1,5,"Chaetoceros",10740,"NA","Bacillariophyceae"
"252",80325,"25-Mar-2008",2,5,"Chaetoceros",6700,"NA","Bacillariophyceae"
"253",80325,"25-Mar-2008",3,5,"Chaetoceros",44220,"NA","Bacillariophyceae"
"254",80325,"25-Mar-2008",4,5,"Chaetoceros",30260,"NA","Bacillariophyceae"
"255",80325,"25-Mar-2008",5,5,"Chaetoceros",41680,"NA","Bacillariophyceae"
"256",80430,"30-Apr-2008",1,5,"Chaetoceros",0,"NA","Bacillariophyceae"
"257",80430,"30-Apr-2008",2,5,"Chaetoceros",0,"NA","Bacillariophyceae"
"258",80430,"30-Apr-2008",3,5,"Chaetoceros",0,"NA","Bacillariophyceae"
"259",80430,"30-Apr-2008",4,5,"Chaetoceros",0,"NA","Bacillariophyceae"
"260",80430,"30-Apr-2008",5,5,"Chaetoceros",0,"NA","Bacillariophyceae"
"261",80514,"14-May-2008",1,5,"Chaetoceros",740,"NA","Bacillariophyceae"
"262",80514,"14-May-2008",2,5,"Chaetoceros",1960,"NA","Bacillariophyceae"
"263",80514,"14-May-2008",3,5,"Chaetoceros",1180,"NA","Bacillariophyceae"
"264",80514,"14-May-2008",4,5,"Chaetoceros",1300,"NA","Bacillariophyceae"
"265",80514,"14-May-2008",5,5,"Chaetoceros",540,"NA","Bacillariophyceae"
"266",80625,"25-Jun-2008",1,5,"Chaetoceros",180,"NA","Bacillariophyceae"
"267",80625,"25-Jun-2008",2,5,"Chaetoceros",200,"NA","Bacillariophyceae"
"268",80625,"25-Jun-2008",3,5,"Chaetoceros",1020,"NA","Bacillariophyceae"
"269",80625,"25-Jun-2008",4,5,"Chaetoceros",3100,"NA","Bacillariophyceae"
"270",80625,"25-Jun-2008",5,5,"Chaetoceros",2280,"NA","Bacillariophyceae"
"271",80716,"16-Jul-2008",1,5,"Chaetoceros",380,"NA","Bacillariophyceae"
"272",80716,"16-Jul-2008",2,5,"Chaetoceros",500,"NA","Bacillariophyceae"
"273",80716,"16-Jul-2008",3,5,"Chaetoceros",880,"NA","Bacillariophyceae"
"274",80716,"16-Jul-2008",4,5,"Chaetoceros",560,"NA","Bacillariophyceae"
"275",80716,"16-Jul-2008",5,5,"Chaetoceros",2600,"NA","Bacillariophyceae"
