"YEAR","WEB","KIND","DATE","RECORDER","TRANS","PT","SPECIES","PCT.COVER","Comments","Taxa_kingdom","Taxa_order","Taxa_family","Taxa_genus","Taxa_species"
1999,"13NW","shrub","36360","KW, DL",1,1,"AGSM",35,"","Plantae","Poales","Poaceae","Agropyron","smithii"
1999,"13NW","shrub","36360","KW, DL",1,1,"BOGR",5,"","Plantae","Poales","Poaceae","Bouteloua","gracilis"
1999,"13NW","shrub","36360","KW, DL",1,1,"SPCO",5,"","Plantae","Malvales","Malvaceae","Sphaeralcea","coccinea"
1999,"13NW","shrub","36360","KW, DL",1,1,"BARE",45,"","Plantae",NA,NA,NA,NA
1999,"13NW","shrub","36360","KW, DL",1,1,"LITT",10,"","Plantae",NA,NA,NA,NA
1999,"13NW","shrub","36360","KW, DL",1,2,"STCO",10,"","Plantae","Poales","Poaceae","Stipa","comata"
1999,"13NW","shrub","36360","KW, DL",1,2,"SPCO",5,"","Plantae","Malvales","Malvaceae","Sphaeralcea","coccinea"
1999,"13NW","shrub","36360","KW, DL",1,2,"CHLE",1,"","Plantae","Caryophyllales","Amaranthaceae","Chenopodium","leptophyllum"
1999,"13NW","shrub","36360","KW, DL",1,2,"AGSM",20,"","Plantae","Poales","Poaceae","Agropyron","smithii"
1999,"13NW","shrub","36360","KW, DL",1,2,"LARE",1,"","Plantae","Boraginales","Boraginaceae","Lappula","redowskii"
1999,"13NW","shrub","36360","KW, DL",1,2,"BOGR",5,"","Plantae","Poales","Poaceae","Bouteloua","gracilis"
1999,"13NW","shrub","36360","KW, DL",1,2,"LITT",50,"","Plantae",NA,NA,NA,NA
1999,"13NW","shrub","36360","KW, DL",1,2,"BARE",1,"","Plantae",NA,NA,NA,NA
1999,"13NW","shrub","36360","KW, DL",1,3,"AGSM",30,"","Plantae","Poales","Poaceae","Agropyron","smithii"
1999,"13NW","shrub","36360","KW, DL",1,3,"SPCO",10,"","Plantae","Malvales","Malvaceae","Sphaeralcea","coccinea"
1999,"13NW","shrub","36360","KW, DL",1,3,"LEDE",1,"","Plantae","Brassicales","Brassicaceae","Lepidium","densiflorum"
1999,"13NW","shrub","36360","KW, DL",1,3,"CHLE",1,"","Plantae","Caryophyllales","Amaranthaceae","Chenopodium","leptophyllum"
1999,"13NW","shrub","36360","KW, DL",1,3,"BOGR",5,"","Plantae","Poales","Poaceae","Bouteloua","gracilis"
1999,"13NW","shrub","36360","KW, DL",1,3,"SIHY",25,"","Plantae","Poales","Poaceae","Sitanion","hystrix"
1999,"13NW","shrub","36360","KW, DL",1,3,"BARE",10,"","Plantae",NA,NA,NA,NA
1999,"13NW","shrub","36360","KW, DL",1,3,"LITT",25,"","Plantae",NA,NA,NA,NA
1999,"13NW","shrub","36360","KW, DL",1,3,"LYJU",1,"","Plantae","Asterales","Asteraceae","Lygodesmia","juncea"
1999,"13NW","shrub","36360","KW, DL",1,4,"AGSM",10,"","Plantae","Poales","Poaceae","Agropyron","smithii"
1999,"13NW","shrub","36360","KW, DL",1,4,"SPCO",1,"","Plantae","Malvales","Malvaceae","Sphaeralcea","coccinea"
1999,"13NW","shrub","36360","KW, DL",1,4,"LEDE",1,"","Plantae","Brassicales","Brassicaceae","Lepidium","densiflorum"
1999,"13NW","shrub","36360","KW, DL",1,4,"BOGR",30,"","Plantae","Poales","Poaceae","Bouteloua","gracilis"
1999,"13NW","shrub","36360","KW, DL",1,4,"LITT",55,"","Plantae",NA,NA,NA,NA
1999,"13NW","shrub","36360","KW, DL",1,4,"BARE",5,"","Plantae",NA,NA,NA,NA
1999,"13NW","shrub","36360","KW, DL",1,5,"AGSM",35,"","Plantae","Poales","Poaceae","Agropyron","smithii"
