"Colony","Year","UTMX","UTMY","Comment","species_code","count","Taxa_family","Taxa_genus","Taxa_species"
"Willis Creek",1992,462153,4195708,"","BC","47","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",1993,462153,4195708,"","BC","90","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",1994,462153,4195708,"","BC","40","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",1995,462153,4195708,"","BC","76","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",1996,462153,4195708,"","BC","41","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",1997,462153,4195708,"","BC","35","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",1998,462153,4195708,"","BC","49","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",1999,462153,4195708,"","BC","20","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",2000,462153,4195708,"no survey","BC","","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",2001,462153,4195708,"","BC","46","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",2002,462153,4195708,"","BC","44","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",2003,462153,4195708,"","BC","79","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",2004,462153,4195708,"","BC","13","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",2005,462153,4195708,"no survey","BC","","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",2006,462153,4195708,"","BC","47","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",2007,462153,4195708,"","BC","25","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",2008,462153,4195708,"","BC","32","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",2009,462153,4195708,"","BC","0","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",2010,NA,NA,"","BC","0","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",2011,NA,NA,"","BC","0","Ardeidae","Nycticorax","nycticorax"
"CausewayN",1992,465068,4199419,"","BC","32","Ardeidae","Nycticorax","nycticorax"
"CausewayN",1993,465068,4199419,"","BC","37","Ardeidae","Nycticorax","nycticorax"
"CausewayN",1994,465068,4199419,"","BC","59","Ardeidae","Nycticorax","nycticorax"
"CausewayN",1995,465068,4199419,"","BC","59","Ardeidae","Nycticorax","nycticorax"
"CausewayN",1996,465068,4199419,"","BC","46","Ardeidae","Nycticorax","nycticorax"
"CausewayN",1997,465068,4199419,"","BC","24","Ardeidae","Nycticorax","nycticorax"
"CausewayN",1998,465068,4199419,"","BC","66","Ardeidae","Nycticorax","nycticorax"
"CausewayN",1999,465068,4199419,"","BC","37","Ardeidae","Nycticorax","nycticorax"
"CausewayN",2000,465068,4199419,"no survey","BC","no survey","Ardeidae","Nycticorax","nycticorax"
"CausewayN",2001,465068,4199419,"","BC","16","Ardeidae","Nycticorax","nycticorax"
"CausewayN",2002,465068,4199419,"","BC","32","Ardeidae","Nycticorax","nycticorax"
"CausewayN",2003,465068,4199419,"","BC","66","Ardeidae","Nycticorax","nycticorax"
"CausewayN",2004,465068,4199419,"","BC","47","Ardeidae","Nycticorax","nycticorax"
"CausewayN",2005,465068,4199419,"no survey","BC","no survey","Ardeidae","Nycticorax","nycticorax"
"CausewayN",2006,465068,4199419,"","BC","82","Ardeidae","Nycticorax","nycticorax"
"CausewayN",2007,465068,4199419,"","BC","61","Ardeidae","Nycticorax","nycticorax"
"CausewayN",2008,465068,4199419,"","BC","79","Ardeidae","Nycticorax","nycticorax"
"CausewayN",2009,465068,4199419,"","BC","84","Ardeidae","Nycticorax","nycticorax"
"CausewayN",2010,465068,4199419,"","BC","86","Ardeidae","Nycticorax","nycticorax"
"CausewayN",2011,465068,4199419,"","BC","76","Ardeidae","Nycticorax","nycticorax"
"QueenSound",1998,NA,NA,"Discovered-but no surveys","BC","","Ardeidae","Nycticorax","nycticorax"
"QueenSound",1999,461799,4197936,"","BC","86","Ardeidae","Nycticorax","nycticorax"
"QueenSound",2000,461799,4197936,"No surveys","BC","","Ardeidae","Nycticorax","nycticorax"
"QueenSound",2001,461799,4197936,"","BC","75","Ardeidae","Nycticorax","nycticorax"
"QueenSound",2002,461799,4197936,"","BC","45","Ardeidae","Nycticorax","nycticorax"
"QueenSound",2003,461799,4197936,"","BC","59","Ardeidae","Nycticorax","nycticorax"
"QueenSound",2004,461799,4197936,"","BC","50","Ardeidae","Nycticorax","nycticorax"
"QueenSound",2005,461799,4197936,"No surveys","BC","","Ardeidae","Nycticorax","nycticorax"
"QueenSound",2006,461799,4197936,"","BC","8","Ardeidae","Nycticorax","nycticorax"
"QueenSound",2007,461799,4197936,"","BC","9","Ardeidae","Nycticorax","nycticorax"
"QueenSound",2008,461799,4197936,"","BC","16","Ardeidae","Nycticorax","nycticorax"
"QueenSound",2009,461799,4197936,"","BC","12","Ardeidae","Nycticorax","nycticorax"
"QueenSound",2010,NA,NA,"","BC","0","Ardeidae","Nycticorax","nycticorax"
"QueenSound",2011,NA,NA,"","BC","0","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",1995,471566,4205254,"","BC","4","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",1996,471566,4205254,"No survey","BC","","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",1997,471566,4205254,"","BC","0","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",1998,471566,4205254,"No survey","BC","","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",1999,471566,4205254,"","BC","13","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",2000,471566,4205254,"No survey","BC","","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",2001,471566,4205254,"","BC","12","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",2002,471566,4205254,"","BC","12","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",2003,471566,4205254,"","BC","11","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",2004,471566,4205254,"","BC","","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",2005,471566,4205254,"no survey","BC","","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",2006,471566,4205254,"","BC","12","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",2007,471566,4205254,"","BC","3","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",2008,471566,4205254,"","BC","12","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",2009,471566,4205254,"","BC","6","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",2010,NA,NA,"","BC","no survey","Ardeidae","Nycticorax","nycticorax"
"CoardsMarshes",2011,NA,NA,"","BC","no survey","Ardeidae","Nycticorax","nycticorax"
"Willis Creek",1992,462153,4195708,"","GE","25","Ardeidae","Ardea","alba"
"Willis Creek",1993,462153,4195708,"","GE","124","Ardeidae","Ardea","alba"
"Willis Creek",1994,462153,4195708,"","GE","53","Ardeidae","Ardea","alba"
"Willis Creek",1995,462153,4195708,"","GE","171","Ardeidae","Ardea","alba"
"Willis Creek",1996,462153,4195708,"","GE","62","Ardeidae","Ardea","alba"
"Willis Creek",1997,462153,4195708,"","GE","45","Ardeidae","Ardea","alba"
"Willis Creek",1998,462153,4195708,"","GE","39","Ardeidae","Ardea","alba"
"Willis Creek",1999,462153,4195708,"","GE","43","Ardeidae","Ardea","alba"
"Willis Creek",2000,462153,4195708,"no survey","GE",NA,"Ardeidae","Ardea","alba"
"Willis Creek",2001,462153,4195708,"","GE","75","Ardeidae","Ardea","alba"
"Willis Creek",2002,462153,4195708,"","GE","52","Ardeidae","Ardea","alba"
"Willis Creek",2003,462153,4195708,"","GE","41","Ardeidae","Ardea","alba"
"Willis Creek",2004,462153,4195708,"","GE","30","Ardeidae","Ardea","alba"
"Willis Creek",2005,462153,4195708,"no survey","GE",NA,"Ardeidae","Ardea","alba"
"Willis Creek",2006,462153,4195708,"","GE","1","Ardeidae","Ardea","alba"
"Willis Creek",2007,462153,4195708,"","GE","20","Ardeidae","Ardea","alba"
"Willis Creek",2008,462153,4195708,"","GE","10","Ardeidae","Ardea","alba"
"Willis Creek",2009,462153,4195708,"","GE","0","Ardeidae","Ardea","alba"
"Willis Creek",2010,NA,NA,"","GE","0","Ardeidae","Ardea","alba"
"Willis Creek",2011,NA,NA,"","GE","0","Ardeidae","Ardea","alba"
"CausewayN",1992,465068,4199419,"","GE","23","Ardeidae","Ardea","alba"
"CausewayN",1993,465068,4199419,"","GE","123","Ardeidae","Ardea","alba"
"CausewayN",1994,465068,4199419,"","GE","79","Ardeidae","Ardea","alba"
"CausewayN",1995,465068,4199419,"","GE","124","Ardeidae","Ardea","alba"
"CausewayN",1996,465068,4199419,"","GE","127","Ardeidae","Ardea","alba"
"CausewayN",1997,465068,4199419,"","GE","160","Ardeidae","Ardea","alba"
"CausewayN",1998,465068,4199419,"","GE","175","Ardeidae","Ardea","alba"
"CausewayN",1999,465068,4199419,"","GE","92","Ardeidae","Ardea","alba"
"CausewayN",2000,465068,4199419,"no survey","GE",NA,"Ardeidae","Ardea","alba"
"CausewayN",2001,465068,4199419,"","GE","88","Ardeidae","Ardea","alba"
"CausewayN",2002,465068,4199419,"","GE","84","Ardeidae","Ardea","alba"
"CausewayN",2003,465068,4199419,"","GE","59","Ardeidae","Ardea","alba"
"CausewayN",2004,465068,4199419,"","GE","145","Ardeidae","Ardea","alba"
"CausewayN",2005,465068,4199419,"no survey","GE",NA,"Ardeidae","Ardea","alba"
"CausewayN",2006,465068,4199419,"","GE","146","Ardeidae","Ardea","alba"
"CausewayN",2007,465068,4199419,"","GE","108","Ardeidae","Ardea","alba"
"CausewayN",2008,465068,4199419,"","GE","197","Ardeidae","Ardea","alba"
"CausewayN",2009,465068,4199419,"","GE","97","Ardeidae","Ardea","alba"
"CausewayN",2010,465068,4199419,"","GE","134","Ardeidae","Ardea","alba"
"CausewayN",2011,465068,4199419,"","GE","186","Ardeidae","Ardea","alba"
"QueenSound",1998,NA,NA,"Discovered-but no surveys","GE",NA,"Ardeidae","Ardea","alba"
"QueenSound",1999,461799,4197936,"","GE","18","Ardeidae","Ardea","alba"
"QueenSound",2000,461799,4197936,"No surveys","GE",NA,"Ardeidae","Ardea","alba"
"QueenSound",2001,461799,4197936,"","GE","28","Ardeidae","Ardea","alba"
"QueenSound",2002,461799,4197936,"","GE","28","Ardeidae","Ardea","alba"
