"Year","Species","plot","cover","quadrats","plot_id","Taxa_kingdom","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","site"
1990,"Juncus","PLOT1A",121,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
1990,"Bare","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1990,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1990,"S.alter","PLOT1A",197,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
1990,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
1990,"Distichlis","PLOT1A",28,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
1990,"Limonium","PLOT1A",2,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
1990,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
1990,"Distichlis/s.patens","PLOT1A",28,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
1991,"Juncus","PLOT1A",105,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
1991,"Bare","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1991,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1991,"S.alter","PLOT1A",187,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
1991,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
1991,"Distichlis","PLOT1A",15,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
1991,"Limonium","PLOT1A",1,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
1991,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
1991,"Distichlis/s.patens","PLOT1A",15,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
1992,"Juncus","PLOT1A",102,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
1992,"Bare","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1992,"Litt/wrack","PLOT1A",44,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1992,"S.alter","PLOT1A",180,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
