"SITE","DATE","TRAPDAY","TAG","SPECIES","FATE","SEX","TESTES","VAGINA","NIPPLES","PREGNANT","MASS","STATION","CAPNUM","SEASON","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","count"
"T1","04/29/92",1,"1",4,1,"1","3","0","0","0","74","35",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/09/99",1,"G1",4,1,"1","3",NA,NA,NA,"76","67",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/09/99",2,"G1",4,2,"1","3",NA,NA,NA,"76","69",2,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/09/99",3,"G1",4,2,"1","3",NA,NA,NA,"76","69",3,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/29/92",1,"2",4,1,"1","3","0","0","0","69","24",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/29/92",2,"2",4,2,"1","3","0","0","0","69","22",2,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/09/99",1,"G2",4,1,"2",NA,"1","1",NA,"62","58",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","04/29/92",1,"3",2,1,"1","3","0","0","0","15","15",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T2","04/29/92",3,"3",2,2,"1","3","0","0","0","15","15",2,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","04/09/99",1,"G3",4,1,"2",NA,"1","1",NA,"55","47",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","04/29/92",1,"4",2,1,"1","3","0","0","0","15","16",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T2","04/29/92",2,"4",2,2,"1","3","0","0","0","15","16",2,"Spring","Rodentia","Muridae","Mus","musculus",1
"T2","04/29/92",3,"4",2,2,"1","3","0","0","0","15","16",3,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","04/09/99",1,"G4",4,1,"1","1",NA,NA,NA,"55","46",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","04/29/92",1,"5",4,1,"2","0","2","1","0","40","19",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/09/99",1,"G5",4,1,"2",NA,"1","2","1","70","40",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","04/29/92",1,"6",2,1,"1","1","0","0","0","13","11",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","04/29/92",2,"6",2,2,"1","1","0","0","0","13","9",2,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","04/09/99",1,"G6",4,1,"1","1",NA,NA,NA,"48","23",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/09/99",3,"G6",4,2,"1","1",NA,NA,NA,"48","24",2,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","04/29/92",1,"7",4,1,"2","0","1","1","0","43","7",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","04/09/99",1,"G7",2,1,"2",NA,"2","1",NA,"14","2",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","04/29/92",1,"8",2,1,"1","3","0","0","0","15","6",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","04/29/92",2,"8",2,2,"1","3","0","0","0","15","7",2,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","04/29/92",3,"8",2,2,"1","3","0","0","0","15","7",3,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","04/09/99",2,"G8",4,1,"2",NA,"1","1",NA,"51","67",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","04/29/92",1,"9",2,1,"1","3","0","0","0","15","19",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","04/09/99",2,"G9",4,1,"1","1",NA,NA,NA,"52","71",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","04/29/92",1,"10",2,1,"1","3","0","0","0","17","17",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T5","04/29/92",2,"10",2,2,"1","3","0","0","0","17","17",2,"Spring","Rodentia","Muridae","Mus","musculus",1
"T5","04/29/92",3,"10",2,2,"1","3","0","0","0","17","17",3,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","04/09/99",2,"G10",4,6,"1","1",NA,NA,NA,"90","47",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","04/29/92",2,"11",2,1,"1","3","0","0","0","15","24",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T5","04/29/92",3,"11",2,2,"1","3","0","0","0","15","24",2,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","04/09/99",2,"G11",4,1,"1","1",NA,NA,NA,"79","12",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","04/29/92",2,"12",2,1,"2","0","1","2","0","16","9",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","04/09/99",1,"G12",4,1,"1","1",NA,NA,NA,"63","15",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","04/29/92",2,"13",2,1,"1","3","0","0","0","17","6",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","04/09/99",1,"G13",4,1,"1","1",NA,NA,NA,"47","6",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","04/29/92",2,"14",2,1,"1","3","0","0","0","16","11",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","04/09/99",2,"G14",4,1,"2",NA,"1","1",NA,"41","10",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","04/09/99",2,"G15",4,1,"1","1",NA,NA,NA,"60","13",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/09/99",2,"G16",4,1,"2",NA,"1","1",NA,"66","24",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","04/09/99",1,"G17",2,1,"1","1",NA,NA,NA,"17","14",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T5","04/09/99",2,"G17",2,2,"1","1",NA,NA,NA,"17","16",2,"Spring","Rodentia","Muridae","Mus","musculus",1
"T2","04/29/92",2,"18",2,1,"1","3","0","0","0","14","15",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T2","04/29/92",3,"18",2,2,"1","3","0","0","0","14","14",2,"Spring","Rodentia","Muridae","Mus","musculus",1
"T5","04/09/99",1,"G18",4,1,"2",NA,"2","2",NA,"53","19",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/09/99",2,"G19",4,1,"1","1",NA,NA,NA,"66","65",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","04/29/92",3,"20",2,1,"2","0","1","2","0","13","22",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","04/09/99",2,"G20",4,1,"1","1",NA,NA,NA,"85","58",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","04/29/92",3,"22",2,1,"1","3","0","0","0","16","13",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","04/09/99",2,"G22",4,1,"1","1",NA,NA,NA,"89","46",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","04/29/92",3,"23",2,1,"2","0","1","2","1","22","7",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","04/09/99",2,"G23",4,1,"2",NA,"1","1",NA,"57","11",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","04/29/92",3,"24",2,1,"2","0","1","1","0","10","6",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","04/09/99",2,"G24",4,1,"2",NA,"1","1",NA,"44","6",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","11/21/92",3,"Z24",6,1,"0","0","0","0","0","300","13",1,"Autumn","Rodentia","Muridae","Rattus","norvegicus",1
"T2","04/29/92",3,"25",2,1,"2","0","1","1","0","10","18",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","04/09/99",2,"G25",4,1,"2",NA,"1","1",NA,"46","8",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/21/92",3,"Z25",6,1,"0","0","0","0","0","200","24",1,"Autumn","Rodentia","Muridae","Rattus","norvegicus",1
"T1","04/29/92",3,"26",4,1,"1","3","0","0","0","58","24",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","04/18/93",1,"Z26",4,1,"0","0","0","0","0","0","6",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/29/92",3,"27",4,1,"1","3","0","0","0","62","31",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/18/93",1,"Z27",4,1,"1","3","0","0","0","0","66",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/29/92",3,"28",4,1,"2","0","1","1","0","59","35",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/17/93",3,"Z28",4,1,"1","1","0","0","0","55","19",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","04/29/92",3,"29",4,1,"1","3","0","0","0","82","37",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/17/93",3,"Z29",2,1,"2","0","1","2","1","19","15",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","04/29/92",3,"30",4,1,"2","0","1","1","0","55","46",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/17/93",3,"Z30",4,1,"2","0","1","1","0","30","14",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","11/17/93",3,"Z31",2,1,"2","0","1","2","0","15","5",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T1","04/29/92",3,"32",4,1,"2","0","1","1","0","53","66",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","11/17/93",2,"Z32",2,6,"2","0","1","1","0","11","60",1,"Autumn","Rodentia","Muridae","Mus","musculus",1
"T4","04/18/93",1,"33",4,1,"1","3","0","0","0","55","21",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","11/17/93",2,"Z33",4,1,"0","0","0","0","0","0","0",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","04/18/93",1,"34",4,1,"2","0","1","2","0","70","17",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T2","11/17/93",2,"Z34",4,1,"0","0","0","0","0","0","0",1,"Autumn","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","04/18/93",1,"35",2,1,"1","3","0","0","0","14","5",1,"Spring","Rodentia","Muridae","Mus","musculus",1
