"year","location","season","night","web","trap","recap","Taxa_sppcode","sex","age","reprod","mass","Taxa_genus","Taxa_species","count","Taxa_family","Taxa_order"
1989,"5pgrass",1,1,2,"21","n","pgfv","m","j","na","5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,1,2,"42","n","remg","m","a","st","9"," Reithrodontomys"," megalotis",1,"Cricetidae","Rodentia"
1989,"5pgrass",1,1,2,"60","n","dior","m","a","st","50"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,1,2,"68","n","remg","f","a","na","10"," Reithrodontomys"," megalotis",1,"Cricetidae","Rodentia"
1989,"5pgrass",1,1,2,"75","n","pgfv","f","a","na","6"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,1,2,"83","n","pgfv","m","a","st","7.5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,1,2,"93","n","onar","m","a","na","22"," Onychomys"," arenicola",1,"Cricetidae","Rodentia"
1989,"5pgrass",1,1,2,"102","n","spsp","f","a","l","109"," Spermophilus"," spilosoma",1,"Sciuridae","Rodentia"
1989,"5pgrass",1,1,2,"105","n","disp","f","a","na","98"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,1,2,"106","n","pgfv","f","a","na","6.5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,1,2,"107","n","dior","m","a","na","46"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,1,2,"138","n","pgfv","m","j","na","5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,1,2,"140","n","pgfv","m","a","st","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,1,3,"5","n","dior","f","a","na","36"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,1,3,"6","n","neal","m","j","na","7.5"," Neotoma"," albigula",1,"Cricetidae","Rodentia"
