"year","day","habitat_type","stake_number","species_number","distance","direction","Taxa_kingdom","Taxa_phylum","Taxa_class","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","presence"
1991,23,"grass",138,"486",440,"na","Animaila","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",1
1991,23,"grass",138,"474",50,"na","Animaila","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","alpestris",1
1991,23,"grass",139,"501.1",100,"na","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,23,"grass",140,"486",100,"na","Animaila","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",1
1991,23,"grass",140,"486",75,"na","Animaila","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",1
1991,23,"grass",140,"486",25,"na","Animaila","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",1
1991,23,"grass",140,"486",25,"na","Animaila","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",1
1991,23,"grass",140,"486",75,"na","Animaila","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",1
1991,23,"grass",140,"486",75,"na","Animaila","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",1
1991,23,"grass",141,"486",300,"na","Animaila","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",1
1991,23,"grass",143,"486",400,"na","Animaila","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",1
1991,23,"grass",145,"474",50,"na","Animaila","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","alpestris",1
1991,23,"grass",145,"474",50,"na","Animaila","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","alpestris",1
1991,24,"creosote",135,"486",100,"na","Animaila","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",1
1991,24,"creosote",135,"486",200,"na","Animaila","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",1
1991,24,"creosote",134,"573",80,"na","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,24,"creosote",133,"501.1",80,"na","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,25,"pinyon",129,"754",200,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",129,"761",100,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",129,"519",200,"na","Animaila","Chordata","Aves","Passeriformes","Icteridae","Haemorhous","mexicanus",1
1991,25,"pinyon",129,"761",100,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",150,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"413",200,"na","Animaila","Chordata","Aves","Piciformes","Picidae","Colaptes","auratus",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
