"date","location","line","row","species_code","value","comments","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species","updated_cover","date_updated"
19950724,"dw",0,"0","MAPIP","3","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",3,1995-07-24
19950724,"dw",0,"0","GUSA2","+","na","Plantae","Asteraceae","Gutierrezia","sarothrae",0.5,1995-07-24
19950724,"dw",0,"0","DAJA","2","na","Plantae","Fabaceae","Dalea","jamesii",2,1995-07-24
19950724,"dw",0,"0","PSTAT","+","na","Plantae","Asteraceae","Psilostrophe","tagetina",0.5,1995-07-24
19950724,"dw",0,"0","CADR6","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",0,"0","BOER4","16","na","Plantae","Poaceae","Bouteloua","eriopoda",16,1995-07-24
19950724,"dw",0,"0","GAPI","+","na","Plantae","Asteraceae","Gaillardia","pinnatifida",0.5,1995-07-24
19950724,"dw",0,"0","LITT","50","na",NA,NA,NA,NA,50,1995-07-24
19950724,"dw",3,"0","GUSA2","10","na","Plantae","Asteraceae","Gutierrezia","sarothrae",10,1995-07-24
19950724,"dw",3,"0","BOER4","9","na","Plantae","Poaceae","Bouteloua","eriopoda",9,1995-07-24
19950724,"dw",3,"0","DAJA","1","na","Plantae","Fabaceae","Dalea","jamesii",1,1995-07-24
19950724,"dw",3,"0","HYFIC","+","na","Plantae","Asteraceae","Hymenopappus","filifolius",0.5,1995-07-24
19950724,"dw",3,"0","Sporo","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",3,"0","MAPIP","+","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",0.5,1995-07-24
19950724,"dw",3,"0","CADR6","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",3,"0","LITT","25","na",NA,NA,NA,NA,25,1995-07-24
19950724,"dw",6,"0","BOER4","8","na","Plantae","Poaceae","Bouteloua","eriopoda",8,1995-07-24
19950724,"dw",6,"0","GUSA2","5","na","Plantae","Asteraceae","Gutierrezia","sarothrae",5,1995-07-24
19950724,"dw",6,"0","HYFIC","+","na","Plantae","Asteraceae","Hymenopappus","filifolius",0.5,1995-07-24
19950724,"dw",6,"0","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",6,"0","MAPIP","+","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",0.5,1995-07-24
19950724,"dw",6,"0","LITT","15","na",NA,NA,NA,NA,15,1995-07-24
19950724,"dw",9,"0","GUSA2","12","na","Plantae","Asteraceae","Gutierrezia","sarothrae",12,1995-07-24
19950724,"dw",9,"0","ERPU8","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",9,"0","SPCO4","4","na","Plantae","Poaceae","Sporobolus","contractus",4,1995-07-24
19950724,"dw",9,"0","PSTAT","1","na","Plantae","Asteraceae","Psilostrophe","tagetina",1,1995-07-24
19950724,"dw",9,"0","CADR6","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",9,"0","BOER4","6","na","Plantae","Poaceae","Bouteloua","eriopoda",6,1995-07-24
19950724,"dw",9,"0","LITT","15","na",NA,NA,NA,NA,15,1995-07-24
19950724,"dw",12,"0","GUSA2","7","na","Plantae","Asteraceae","Gutierrezia","sarothrae",7,1995-07-24
19950724,"dw",12,"0","PSTAT","1","na","Plantae","Asteraceae","Psilostrophe","tagetina",1,1995-07-24
19950724,"dw",12,"0","ERPU8","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",12,"0","Eupho","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",12,"0","DANAN","1","na","Plantae","Fabaceae","Dalea","nana",1,1995-07-24
19950724,"dw",12,"0","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",12,"0","SPCO4","1","na","Plantae","Poaceae","Sporobolus","contractus",1,1995-07-24
19950724,"dw",12,"0","BOER4","3","na","Plantae","Poaceae","Bouteloua","eriopoda",3,1995-07-24
19950724,"dw",12,"0","CHER2","1","na","Plantae","Asteraceae","Chaetopappa","ericoides",1,1995-07-24
19950724,"dw",12,"0","LITT","13","na",NA,NA,NA,NA,13,1995-07-24
19950724,"dw",15,"0","GUSA2","3","na","Plantae","Asteraceae","Gutierrezia","sarothrae",3,1995-07-24
19950724,"dw",15,"0","BOER4","20","na","Plantae","Poaceae","Bouteloua","eriopoda",20,1995-07-24
19950724,"dw",15,"0","HYFIC","+","na","Plantae","Asteraceae","Hymenopappus","filifolius",0.5,1995-07-24
19950724,"dw",15,"0","GAPI","+","na","Plantae","Asteraceae","Gaillardia","pinnatifida",0.5,1995-07-24
19950724,"dw",15,"0","MAPIP","+","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",0.5,1995-07-24
19950724,"dw",15,"0","FORB","+","na",NA,NA,NA,NA,0.5,1995-07-24
