"YEAR","DATE","SITE","BLK","PLOT","TRT","SPECIES","NESTS","Taxa_genus","Taxa_species"
1995,"10/04/95","C",1,1,"C","APCO",1," Aphenogaster"," cockerelli"
1995,"10/04/95","C",1,3,"L","APCO",2," Aphenogaster"," cockerelli"
1995,"10/04/95","C",1,3,"L","PODE",3," Pogonomyrmex"," desertorum"
1995,"10/04/95","C",1,4,"R","APCO",1," Aphenogaster"," cockerelli"
1995,"10/04/95","C",2,1,"C","PODE",4," Pogonomyrmex"," desertorum"
1995,"10/04/95","C",2,2,"L","APCO",1," Aphenogaster"," cockerelli"
1995,"10/04/95","C",2,3,"R","APCO",1," Aphenogaster"," cockerelli"
1995,"10/04/95","C",2,3,"R","PODE",3," Pogonomyrmex"," desertorum"
1995,"10/04/95","C",3,2,"R","APCO",3," Aphenogaster"," cockerelli"
1995,"10/04/95","C",3,2,"R","PODE",4," Pogonomyrmex"," desertorum"
1995,"10/04/95","C",3,3,"C","PODE",3," Pogonomyrmex"," desertorum"
1995,"10/04/95","C",3,4,"L","APCO",1," Aphenogaster"," cockerelli"
1995,"10/04/95","C",4,1,"L","PODE",3," Pogonomyrmex"," desertorum"
1995,"10/04/95","C",4,2,"C","APCO",1," Aphenogaster"," cockerelli"
1995,"10/04/95","C",4,3,"R","PODE",3," Pogonomyrmex"," desertorum"
1995,"10/04/95","G",1,1,"L","PORU",1," Pogonomyrmex"," rugosus"
1995,"10/04/95","G",1,2,"R","NONE",0," NA"," NA"
1995,"10/04/95","G",1,4,"C","PORU",1," Pogonomyrmex"," rugosus"
1995,"10/04/95","G",2,1,"L","NONE",0," NA"," NA"
1995,"10/04/95","G",2,3,"C","PORU",1," Pogonomyrmex"," rugosus"
1995,"10/04/95","G",2,4,"R","NONE",0," NA"," NA"
1995,"10/04/95","G",3,2,"L","NONE",0," NA"," NA"
1995,"10/04/95","G",3,3,"R","NONE",0," NA"," NA"
1995,"10/04/95","G",3,4,"C","PORU",1," Pogonomyrmex"," rugosus"
1995,"10/04/95","G",4,1,"R","PORU",2," Pogonomyrmex"," rugosus"
