"DATE","PER","SITE","WEB","TRN","SPECIES","AGE","SEX","SUB","CNT","BURNED","COMMENTS","Taxa_genus","Taxa_species"
"6/22/1992","1992E","BOER",1,12,"ARCO","4","M","SOIL",1,".","","Arphia","conspersa"
"6/22/1992","1992E","BOER",1,12,"COCR","4","F","SOIL",1,".","","Cordillacris","crenulata"
"6/22/1992","1992E","BOER",1,12,"COOC","4","F","BOER4",1,".","","Cordillacris","occipitalis"
"6/22/1992","1992E","BOER",1,12,"COOC","4","M","BOER4",1,".","","Cordillacris","occipitalis"
"6/22/1992","1992E","BOER",1,12,"ERSI","4","F","BOER4",1,".","","Eritettix","simplex"
"6/22/1992","1992E","BOER",1,12,"PSDE","4","M","BOER4",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,12,"PSDE","4","M","BOGR2",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,12,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,12,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,12,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,12,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,12,"PSDE","4","M","SOIL",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,12,"PSDE","4","M","SOIL",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,12,"PSDE","4","M","SOIL",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,12,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/22/1992","1992E","BOER",1,12,"XACO","4","M","SOIL",1,".","","Xanthippus","corallipes"
"6/22/1992","1992E","BOER",1,12,"XACO","4","M","SOIL",1,".","","Xanthippus","corallipes"
"6/22/1992","1992E","BOER",1,36,"COOC","4","F","BOER4",1,".","","Cordillacris","occipitalis"
"6/22/1992","1992E","BOER",1,36,"COOC","4","F","BOER4",1,".","","Cordillacris","occipitalis"
"6/22/1992","1992E","BOER",1,36,"COOC","4","M","BOER4",1,".","","Cordillacris","occipitalis"
"6/22/1992","1992E","BOER",1,36,"COOC","4","M","BOER4",1,".","","Cordillacris","occipitalis"
"6/22/1992","1992E","BOER",1,36,"ERSI","4","M","BOER4",1,".","","Eritettix","simplex"
"6/22/1992","1992E","BOER",1,36,"ERSI","4","M","BOER4",1,".","","Eritettix","simplex"
"6/22/1992","1992E","BOER",1,36,"MEAR2","3","N","BOER4",1,".","",NA,NA
"6/22/1992","1992E","BOER",1,36,"PAPA","2","N","BOER4",1,".","","Paropomala","pallida"
"6/22/1992","1992E","BOER",1,36,"PAPA","3","N","BOER4",3,".","","Paropomala","pallida"
"6/22/1992","1992E","BOER",1,36,"PAPA","3","N","BOER4",2,".","","Paropomala","pallida"
"6/22/1992","1992E","BOER",1,36,"PSDE","4","F","BOER4",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,36,"PSDE","4","F","BOER4",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,36,"PSDE","4","M","BOER4",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,36,"PSDE","4","M","BOER4",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,36,"PSDE","4","M","BOER4",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,36,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,36,"PSDE","4","M","SOIL",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,36,"PSDE","4","M","SOIL",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,36,"PSDE","4","M","SOIL",1,".","","Psoloessa","delicatula"
"6/22/1992","1992E","BOER",1,36,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/22/1992","1992E","BOER",1,36,"XACO","4","M","SOIL",1,".","","Xanthippus","corallipes"
"6/22/1992","1992E","BOER",1,60,"COOC","4","F","BOER4",1,".","","Cordillacris","occipitalis"
