"date","site","season","trap_night","web","trap_number","host_species","nk","host_sex","msb","feces","ecto","necrop","helminths","tissue","p_id","p_sex","p_count","comments","Taxa_kingdom","Taxa_phylum","Taxa_class","Taxa_subclass","Taxa_order","Taxa_suborder","Taxa_family","Taxa_genus","Taxa_species"
1990,"sepultur",1,1,5,"118","dime",19307,"m","63612","y","n","y","y","st","phma","f","1","stomach_worm_vial_missing","Animalia","Nematoda","Secernentea",NA,"Spirurida",NA,"Physalopteridae"," Physaloptera"," massino"
1990,"sepultur",1,1,5,"118","dime",19307,"m","63612","y","n","y","y","si","ptdi","f","14","actual_vial_count_is_16","Animalia","Nematoda","Secernentea",NA,"Spirurida",NA,"Rictulariidae"," Pterygodermatites"," dipodomis"
1990,"sepultur",1,1,5,"118","dime",19307,"m","63612","y","n","y","y","cc","hede","f","8","na","Animalia","Nematoda","Secernentea",NA,"Ascaridida",NA,"Oxyuridae"," Heteromyoxyuris"," deserti"
1990,"sepultur",1,1,5,"118","dime",19307,"m","63612","y","n","y","y","cc","hede","m","8","na","Animalia","Nematoda","Secernentea",NA,"Ascaridida",NA,"Oxyuridae"," Heteromyoxyuris"," deserti"
1990,"sepultur",1,1,5,"118","dime",19307,"m","63612","y","n","y","y","cc","ptdi","m","1","na","Animalia","Nematoda","Secernentea",NA,"Spirurida",NA,"Rictulariidae"," Pterygodermatites"," dipodomis"
1990,"sepultur",1,1,5,"118","dime",19307,"m","63612","y","n","y","y","cc","ptdi","f","3","na","Animalia","Nematoda","Secernentea",NA,"Spirurida",NA,"Rictulariidae"," Pterygodermatites"," dipodomis"
1990,"sepultur",1,1,5,"118","dime",19307,"m","63612","y","n","y","y","cc","trdi","m","1","na","Animalia","Nematoda","Adenophorea",NA,"Trichurida",NA,"Trichuridae"," Trichuris"," dipodomis"
1990,"sepultur",1,1,5,"118","dime",19307,"m","63612","y","n","y","y","cc","trdi","f","1","na","Animalia","Nematoda","Adenophorea",NA,"Trichurida",NA,"Trichuridae"," Trichuris"," dipodomis"
1990,"sepultur",1,1,5,"118","dime",19307,"m","63612","y","n","y","y","feces","nega","na","na","cecal_worms_in_feces","Animalia","Platyhelminthes (eggs negative)",NA,NA,NA,NA,NA,NA," NA"
1990,"sepultur",1,1,5,"8","dime",19308,"m","63613","y","n","y","y","cc","hede","m","2","na","Animalia","Nematoda","Secernentea",NA,"Ascaridida",NA,"Oxyuridae"," Heteromyoxyuris"," deserti"
1990,"sepultur",1,1,5,"8","dime",19308,"m","63613","y","n","y","y","cc","hede","f","5","na","Animalia","Nematoda","Secernentea",NA,"Ascaridida",NA,"Oxyuridae"," Heteromyoxyuris"," deserti"
1990,"sepultur",1,1,5,"8","dime",19308,"m","63613","y","n","y","y","feces","nega","na","na","na","Animalia","Platyhelminthes (eggs negative)",NA,NA,NA,NA,NA,NA," NA"
1990,"sepultur",1,1,2,"42","neal",19309,"f","63630","y","n","y","n","feces","nega","na","na","na","Animalia","Platyhelminthes (eggs negative)",NA,NA,NA,NA,NA,NA," NA"
1990,"sepultur",1,1,2,"108","pmtr",19310,"m","63656","y","n","y","n","feces","nega","na","na","na","Animalia","Platyhelminthes (eggs negative)",NA,NA,NA,NA,NA,NA," NA"
1990,"sepultur",1,1,5,"77","pmtr",19311,"m","63657","y","y","y","y","cc","sype","m","3","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"sepultur",1,1,5,"77","pmtr",19311,"m","63657","y","y","y","y","cc","sype","f","5","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"sepultur",1,1,5,"77","pmtr",19311,"m","63657","y","y","y","y","feces","nega","na","na","na","Animalia","Platyhelminthes (eggs negative)",NA,NA,NA,NA,NA,NA," NA"
1990,"sepultur",1,1,5,"77","pmtr",19311,"m","63657","y","y","y","y","ecto","cune","na","2","bots_on_back","Animalia","Arthropoda","Insecta",NA,"Diptera",NA,"Oestridae"," Cuterebra"," neomexicana"
1990,"sepultur",1,2,5,"139","pmbo",19312,"f","63674","y","n","y","n","feces","nega","na","na","na","Animalia","Platyhelminthes (eggs negative)",NA,NA,NA,NA,NA,NA," NA"
1990,"sepultur",1,2,5,"21","pmbo",19313,"m","63670","y","n","y","n","feces","nega","na","na","na","Animalia","Platyhelminthes (eggs negative)",NA,NA,NA,NA,NA,NA," NA"
1990,"sepultur",1,2,2,"87","pgfv",19314,"f","63621","y","n","y","n","feces","nega","na","na","na","Animalia","Platyhelminthes (eggs negative)",NA,NA,NA,NA,NA,NA," NA"
1990,"sepultur",1,2,5,"16","amin",19315,"m","63635","y","n","y","y","feces","ecal","na","na","na",NA,"Apicomplexa","Conoidasida",NA,"Eucoccidiorida",NA,"Eimeriidae"," Eimeria"," callospermophili"
1990,"sepultur",1,2,5,"16","amin",19315,"m","63635","y","n","y","y","cc","trsp","m","2","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"sepultur",1,3,1,"66","dime",19316,"f","63626","y","n","y","n","feces","nega","na","na","cestode_eggs_in_feces","Animalia","Platyhelminthes (eggs negative)",NA,NA,NA,NA,NA,NA," NA"
1990,"sepultur",1,3,1,"108","pmtr",19317,"f","63658","y","n","y","n","feces","nega","na","na","na","Animalia","Platyhelminthes (eggs negative)",NA,NA,NA,NA,NA,NA," NA"
1990,"sepultur",1,3,5,"106","amin",19318,"f","63636","y","n","y","n","feces","nega","na","na","na","Animalia","Platyhelminthes (eggs negative)",NA,NA,NA,NA,NA,NA," NA"
1990,"sepultur",1,3,5,"126","pmbo",19319,"m","63675","y","n","y","n","feces","nega","na","na","na","Animalia","Platyhelminthes (eggs negative)",NA,NA,NA,NA,NA,NA," NA"
