"Date","Year","Seas","Line","Pre","Quad","Corner","Species","Count","Sta","Comment","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species"
"7/17/2003",2003,2,1,"B-F",3018,"A","BOER4",3,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3018,"A","BOGR2",5,"U",NA,"Plantae","Poaceae","Bouteloua","gracilis"
"7/17/2003",2003,2,1,"B-F",3018,"B","BOER4",4,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3018,"C","BOGR2",2,"U",NA,"Plantae","Poaceae","Bouteloua","gracilis"
"7/17/2003",2003,2,1,"B-F",3018,"C","SCBR2",1,"U",NA,"Plantae","Poaceae","Scleropogon","brevifolius"
"7/17/2003",2003,2,1,"B-F",3018,"D","BOER4",4,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3019,"A","BOER4",3,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3019,"B","BOER4",2,"U","OFFSET_1M","Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3019,"C","BOER4",2,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3019,"D","BOER4",2,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3020,"A","BOER4",5,"U","OFFSET_1M","Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3020,"B","BOER4",5,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3020,"C","BOER4",3,"U","OFFSET_1M","Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3020,"D","BOER4",1,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3021,"A","BOER4",1,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3021,"B","MUAR2",3,"U",NA,"Plantae","Poaceae","Muhlenbergia","arenicola"
"7/17/2003",2003,2,1,"B-F",3021,"C","BOER4",1,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3021,"C","MUAR2",1,"U",NA,"Plantae","Poaceae","Muhlenbergia","arenicola"
"7/17/2003",2003,2,1,"B-F",3021,"D","SPOR",4,"U",NA,NA,NA,NA,NA
"7/17/2003",2003,2,1,"B-F",3021,"D","SCBR2",3,"U",NA,"Plantae","Poaceae","Scleropogon","brevifolius"
"7/17/2003",2003,2,1,"B-F",3022,"A","MUAR2",1,"U",NA,"Plantae","Poaceae","Muhlenbergia","arenicola"
"7/17/2003",2003,2,1,"B-F",3022,"A","BOER4",1,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3022,"B","ARPUP6",4,"U",NA,NA,NA,NA,NA
"7/17/2003",2003,2,1,"B-F",3022,"C","BOER4",3,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3022,"D","ARPUP6",4,"U",NA,NA,NA,NA,NA
"7/17/2003",2003,2,1,"B-F",3024,"A","BOER4",6,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3024,"A","SCBR2",1,"U",NA,"Plantae","Poaceae","Scleropogon","brevifolius"
"7/17/2003",2003,2,1,"B-F",3024,"B","SPOR",5,"U",NA,NA,NA,NA,NA
"7/17/2003",2003,2,1,"B-F",3024,"C","BOER4",5,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/17/2003",2003,2,1,"B-F",3024,"D","SPOR",1,"U",NA,NA,NA,NA,NA
"7/16/2003",2003,2,1,"B-O",3003,"A","BOER4",1,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3003,"B","MUAR2",1,"U",NA,"Plantae","Poaceae","Muhlenbergia","arenicola"
"7/16/2003",2003,2,1,"B-O",3003,"C","BOER4",4,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3003,"D","BOER4",2,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3006,"A","BOGR2",2,"U","OFFSET_1M","Plantae","Poaceae","Bouteloua","gracilis"
"7/16/2003",2003,2,1,"B-O",3006,"B","BOER4",3,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3006,"C","BOGR2",4,"U",NA,"Plantae","Poaceae","Bouteloua","gracilis"
"7/16/2003",2003,2,1,"B-O",3006,"D","BOGR2",1,"U",NA,"Plantae","Poaceae","Bouteloua","gracilis"
"7/16/2003",2003,2,1,"B-O",3007,"A","BOER4",1,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3007,"B","BOER4",3,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3007,"B","ARPUP6",1,"U",NA,NA,NA,NA,NA
"7/16/2003",2003,2,1,"B-O",3007,"C","SCBR2",1,"U",NA,"Plantae","Poaceae","Scleropogon","brevifolius"
"7/16/2003",2003,2,1,"B-O",3007,"C","BOER4",1,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3007,"D","ARPUP6",1,"U",NA,NA,NA,NA,NA
"7/16/2003",2003,2,1,"B-O",3009,"A","BOER4",3,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3009,"B","BOER4",4,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3009,"C","BOER4",4,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3009,"D","BOER4",4,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3011,"A","BOER4",3,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3011,"A","BOGR2",1,"U",NA,"Plantae","Poaceae","Bouteloua","gracilis"
"7/16/2003",2003,2,1,"B-O",3011,"B","BOGR2",2,"U",NA,"Plantae","Poaceae","Bouteloua","gracilis"
"7/16/2003",2003,2,1,"B-O",3011,"B","BOER4",1,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3011,"C","BOER4",2,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3011,"C","SCBR2",3,"U",NA,"Plantae","Poaceae","Scleropogon","brevifolius"
"7/16/2003",2003,2,1,"B-O",3011,"D","BOGR2",4,"U",NA,"Plantae","Poaceae","Bouteloua","gracilis"
"7/16/2003",2003,2,1,"B-O",3012,"A","BOGR2",3,"U",NA,"Plantae","Poaceae","Bouteloua","gracilis"
"7/16/2003",2003,2,1,"B-O",3012,"B","BOGR2",2,"U",NA,"Plantae","Poaceae","Bouteloua","gracilis"
"7/16/2003",2003,2,1,"B-O",3012,"B","BOER4",1,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3012,"C","SCBR2",3,"U",NA,"Plantae","Poaceae","Scleropogon","brevifolius"
"7/16/2003",2003,2,1,"B-O",3012,"C","BOER4",3,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"B-O",3012,"C","MUAR2",1,"U",NA,"Plantae","Poaceae","Muhlenbergia","arenicola"
"7/16/2003",2003,2,1,"B-O",3012,"D","BOGR2",2,"U",NA,"Plantae","Poaceae","Bouteloua","gracilis"
"7/16/2003",2003,2,1,"B-O",3012,"D","MUAR2",1,"U",NA,"Plantae","Poaceae","Muhlenbergia","arenicola"
"7/16/2003",2003,2,1,"B-O",3012,"D","BOER4",1,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"C-F",3026,"A","BOER4",3,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"C-F",3026,"A","MUAR2",1,"U",NA,"Plantae","Poaceae","Muhlenbergia","arenicola"
"7/16/2003",2003,2,1,"C-F",3026,"B","BOER4",1,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"C-F",3026,"C","BOER4",3,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"C-F",3026,"D","SCBR2",5,"U",NA,"Plantae","Poaceae","Scleropogon","brevifolius"
"7/16/2003",2003,2,1,"C-F",3028,"A","BOER4",7,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"C-F",3028,"B","BOER4",2,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"C-F",3028,"C","BOER4",6,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"C-F",3028,"C","MUAR2",1,"U",NA,"Plantae","Poaceae","Muhlenbergia","arenicola"
"7/16/2003",2003,2,1,"C-F",3028,"D","BOER4",4,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"C-F",3030,"A","BOER4",2,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
"7/16/2003",2003,2,1,"C-F",3030,"A","MUAR2",1,"U",NA,"Plantae","Poaceae","Muhlenbergia","arenicola"
"7/16/2003",2003,2,1,"C-F",3030,"B","SCBR2",5,"U",NA,"Plantae","Poaceae","Scleropogon","brevifolius"
"7/16/2003",2003,2,1,"C-F",3030,"B","BOGR2",1,"U",NA,"Plantae","Poaceae","Bouteloua","gracilis"
"7/16/2003",2003,2,1,"C-F",3030,"C","SCBR2",2,"U",NA,"Plantae","Poaceae","Scleropogon","brevifolius"
"7/16/2003",2003,2,1,"C-F",3030,"D","BOGR2",6,"U",NA,"Plantae","Poaceae","Bouteloua","gracilis"
"7/16/2003",2003,2,1,"C-F",3030,"D","SCBR2",1,"U",NA,"Plantae","Poaceae","Scleropogon","brevifolius"
"7/16/2003",2003,2,1,"C-F",3031,"A","BOER4",1,"U",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
