"year","season","date","site","plot","quad","treatment","Species","obs","cover","height","count","comment","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species"
2004,1,"3/8/2004",FALSE,1,1,"F","ASMIM",1,0.05,1,2,NA,"Plantae","Fabaceae","Astragalus","missouriensis"
2004,1,"3/8/2004",FALSE,1,1,"F","BOGR2",1,0.5,2,1,NA,"Plantae","Poaceae","Bouteloua","gracilis"
2004,1,"3/8/2004",FALSE,1,1,"F","BOGR2",2,0.25,2,1,NA,"Plantae","Poaceae","Bouteloua","gracilis"
2004,1,"3/8/2004",FALSE,1,1,"F","BOGR2",3,0.05,1,14,NA,"Plantae","Poaceae","Bouteloua","gracilis"
2004,1,"3/8/2004",FALSE,1,1,"F","CRCR3",1,0.05,1,5,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala"
2004,1,"3/8/2004",FALSE,1,1,"F","CRCR3",2,0.01,1,5,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala"
2004,1,"3/8/2004",FALSE,1,1,"F","DEPI",1,0.01,1,1,NA,"Plantae","Brassicaceae","Descurainia","pinnata"
2004,1,"3/8/2004",FALSE,1,1,"F","PLJA",1,0.25,1,5,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2004,1,"3/8/2004",FALSE,1,1,"F","PLJA",2,0.1,1,15,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2004,1,"3/8/2004",FALSE,1,1,"F","PLJA",3,0.05,1,3,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2004,1,"3/8/2004",FALSE,1,1,"F","SCBR2",1,0.1,1,3,NA,"Plantae","Poaceae","Scleropogon","brevifolius"
2004,1,"3/8/2004",FALSE,1,1,"F","SPFL2",1,0.05,1,1,"WAS_SPFL2","Plantae","Poaceae","Sporobolus","flexuosus"
2004,1,"3/8/2004",FALSE,1,2,"F","ASMIM",1,0.05,1,2,NA,"Plantae","Fabaceae","Astragalus","missouriensis"
2004,1,"3/8/2004",FALSE,1,2,"F","CRCR3",1,0.1,2,6,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala"
2004,1,"3/8/2004",FALSE,1,2,"F","CRCR3",2,0.05,1,12,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala"
2004,1,"3/8/2004",FALSE,1,2,"F","CRCR3",3,0.01,1,13,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala"
2004,1,"3/8/2004",FALSE,1,2,"F","DEPI",1,0.01,2,4,NA,"Plantae","Brassicaceae","Descurainia","pinnata"
2004,1,"3/8/2004",FALSE,1,2,"F","PLJA",1,0.25,1,3,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2004,1,"3/8/2004",FALSE,1,2,"F","PLJA",2,0.1,1,4,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2004,1,"3/8/2004",FALSE,1,2,"F","PLJA",3,0.05,1,3,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2004,1,"3/8/2004",FALSE,1,2,"F","SCBR2",1,0.05,1,5,NA,"Plantae","Poaceae","Scleropogon","brevifolius"
2004,1,"3/8/2004",FALSE,1,2,"F","SCBR2",2,0.1,1,5,NA,"Plantae","Poaceae","Scleropogon","brevifolius"
2004,1,"3/8/2004",FALSE,1,2,"F","SCBR2",3,0.25,1,1,NA,"Plantae","Poaceae","Scleropogon","brevifolius"
2004,1,"3/8/2004",FALSE,1,2,"F","SPFL2",1,0.5,1,1,"WAS_SPFL2","Plantae","Poaceae","Sporobolus","flexuosus"
2004,1,"3/8/2004",FALSE,1,3,"F","CRCR3",1,0.01,1,14,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala"
2004,1,"3/8/2004",FALSE,1,3,"F","CRCR3",2,0.05,1,5,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala"
2004,1,"3/8/2004",FALSE,1,3,"F","DEPI",1,0.01,2,5,NA,"Plantae","Brassicaceae","Descurainia","pinnata"
2004,1,"3/8/2004",FALSE,1,3,"F","OECA10",1,0.25,1,1,NA,"Plantae","Onagraceae","Oenothera","caespitosa"
2004,1,"3/8/2004",FALSE,1,3,"F","OECA10",2,0.1,1,1,NA,"Plantae","Onagraceae","Oenothera","caespitosa"
2004,1,"3/8/2004",FALSE,1,3,"F","PLJA",1,0.25,1,1,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2004,1,"3/8/2004",FALSE,1,3,"F","SCBR2",1,0.1,1,5,NA,"Plantae","Poaceae","Scleropogon","brevifolius"
2004,1,"3/8/2004",FALSE,1,3,"F","SCBR2",2,0.05,1,7,NA,"Plantae","Poaceae","Scleropogon","brevifolius"
2004,1,"3/8/2004",FALSE,1,3,"F","SCBR2",3,0.25,1,1,NA,"Plantae","Poaceae","Scleropogon","brevifolius"
2004,1,"3/8/2004",FALSE,1,4,"F","BOGR2",1,0.25,1,1,NA,"Plantae","Poaceae","Bouteloua","gracilis"
