"year","date","site","plot","treatment","Species","cover","group","comments","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species"
1995,"-999",1,"1C","control","BOGR2",25,"BOGR2","Percent cover estimated by group not by species.","Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",1,"1C","control","PFORB",1.5,"PFORB","Percent cover before removal of dominant species were recorded.",NA,NA,NA,NA
1995,"-999",1,"1C","control","PGRASS",1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",1,"1C","control","SHRUB",0.4,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",1,"1RU","R_BOGR2","AFORB",0.1,"AFORB",NA,NA,NA,NA,NA
1995,"-999",1,"1RU","R_BOGR2","BOGR2",30,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",1,"1RU","R_BOGR2","PFORB",1.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",1,"1RU","R_BOGR2","PGRASS",2,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",1,"1RU","R_BOGR2","SHRUB",0.5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",1,"2C","control","BOGR2",25,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",1,"2C","control","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",1,"2C","control","PGRASS",1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",1,"2C","control","SHRUB",0.4,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",1,"2RU","R_BOGR2","BOGR2",20,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",1,"2RU","R_BOGR2","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",1,"2RU","R_BOGR2","PGRASS",2,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",1,"2RU","R_BOGR2","SHRUB",7,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",1,"3C","control","BOGR2",25,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",1,"3C","control","PFORB",0.1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",1,"3C","control","PGRASS",2.5,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",1,"3RU","R_BOGR2","BOGR2",25,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",1,"3RU","R_BOGR2","PFORB",1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",1,"3RU","R_BOGR2","PGRASS",0.1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",1,"3RU","R_BOGR2","SHRUB",0.02,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",1,"4C","control","AFORB",0.25,"AFORB",NA,NA,NA,NA,NA
1995,"-999",1,"4C","control","BOGR2",30,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",1,"4C","control","CACTUS",0.1,"CACTUS",NA,NA,NA,NA,NA
1995,"-999",1,"4C","control","PFORB",0.25,"PFORB",NA,NA,NA,NA,NA
1995,"-999",1,"4C","control","SHRUB",2,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",1,"4RU","R_BOGR2","BOGR2",20,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",1,"4RU","R_BOGR2","PFORB",1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",1,"4RU","R_BOGR2","YUCCA",2,"YUCCA",NA,NA,NA,NA,NA
1995,"-999",1,"5C","control","BOGR2",25,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",1,"5C","control","PFORB",1.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",1,"5C","control","PGRASS",3,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",1,"5C","control","SHRUB",8,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",1,"5RU","R_BOGR2","BOGR2",25,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",1,"5RU","R_BOGR2","PFORB",1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",1,"5RU","R_BOGR2","PGRASS",1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",1,"5RU","R_BOGR2","SHRUB",4,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",2,"1C","control","AFORB",0.5,"AFORB",NA,NA,NA,NA,NA
1995,"-999",2,"1C","control","BOER4",8,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"1C","control","BOGR2",30,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"1C","control","CACTUS",0.5,"CACTUS",NA,NA,NA,NA,NA
1995,"-999",2,"1C","control","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"1C","control","PGRASS",0.5,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"1C","control","SHRUB",0.01,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",2,"1RA","R_BOER4","AFORB",5,"AFORB",NA,NA,NA,NA,NA
1995,"-999",2,"1RA","R_BOER4","BOER4",16,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"1RA","R_BOER4","BOGR2",25,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"1RA","R_BOER4","CACTUS",1,"CACTUS",NA,NA,NA,NA,NA
1995,"-999",2,"1RA","R_BOER4","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"1RA","R_BOER4","PGRASS",1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"1RA","R_BOER4","SHRUB",0.1,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",2,"1RU","R_BOGR2","BOER4",13,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
