"PER","DATE","PLOT","TRAN","SEC","SPP","CNT","Taxa_kingdom","Taxa_phylum","Taxa_class","Taxa_order","Taxa_family","Taxa_genus","Taxa_species"
"F01","10/7/2001","K",1,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",1,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",1,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",1,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",1,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",3,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",3,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",3,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",3,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",3,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",3,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",5,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",5,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",5,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",5,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",5,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",5,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",7,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",7,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",7,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",7,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",7,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","K",7,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",1,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",1,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",1,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",1,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",1,5,"HOMA",1," Animalia"," Chordata"," Reptilia"," Squamata"," Phrynosomatidae"," Holbrookia"," maculata"
"F01","10/7/2001","PK",1,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",3,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",3,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",3,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",3,4,"HOMA",1," Animalia"," Chordata"," Reptilia"," Squamata"," Phrynosomatidae"," Holbrookia"," maculata"
"F01","10/7/2001","PK",3,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",3,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",5,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",5,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",5,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",5,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",5,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",5,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",7,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",7,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",7,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",7,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",7,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","PK",7,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",1,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",1,2,"HOMA",1," Animalia"," Chordata"," Reptilia"," Squamata"," Phrynosomatidae"," Holbrookia"," maculata"
"F01","10/7/2001","T",1,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",1,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",1,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",1,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",3,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",3,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",3,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",3,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",3,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",3,6,"HOMA",1," Animalia"," Chordata"," Reptilia"," Squamata"," Phrynosomatidae"," Holbrookia"," maculata"
"F01","10/7/2001","T",5,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",5,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",5,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",5,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",5,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",5,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",7,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",7,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",7,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",7,4,"HOMA",1," Animalia"," Chordata"," Reptilia"," Squamata"," Phrynosomatidae"," Holbrookia"," maculata"
"F01","10/7/2001","T",7,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"F01","10/7/2001","T",7,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",1,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",1,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",1,3,"CNIN",1,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",1,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",1,5,"CNIN",1,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",1,6,"CNIN",1,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",1,6,"CNIN",1,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",1,6,"CNIN",1,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",3,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",3,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",3,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",3,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",3,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",3,6,"CNIN",1,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",5,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",5,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",5,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",5,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",5,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",5,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",7,1,"CNIN",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",7,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",7,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",7,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",7,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","K",7,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","PK",1,1,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","PK",1,2,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","PK",1,3,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","PK",1,4,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","PK",1,5,"NONE",0,NA,NA,NA,NA,NA,NA,NA
"S00","6/2/2000","PK",1,6,"NONE",0,NA,NA,NA,NA,NA,NA,NA
