"year","season","date","site","plot","quad","treatment","Species","obs","cover","height","count","comment","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species"
2006,1,"2/2/2006","W",1,1,"TP","BOER4",1,7,11,1,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,1,"TP","BOER4",2,1,9,3,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,1,"TP","BOER4",3,1.5,11,4,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,1,"TP","BOER4",4,0.1,4,9,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,1,"TP","BOER4",5,0.25,5,3,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,1,"TP","BOER4",6,0.5,5,2,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,1,"TP","BOGR2",1,1,5,2,NA,"Plantae","Poaceae","Bouteloua","gracilis"
2006,1,"2/2/2006","W",1,1,"TP","BOGR2",2,0.75,5,5,NA,"Plantae","Poaceae","Bouteloua","gracilis"
2006,1,"2/2/2006","W",1,1,"TP","BOGR2",3,0.5,5,4,NA,"Plantae","Poaceae","Bouteloua","gracilis"
2006,1,"2/2/2006","W",1,1,"TP","BOGR2",4,0.25,3,11,NA,"Plantae","Poaceae","Bouteloua","gracilis"
2006,1,"2/2/2006","W",1,1,"TP","BOGR2",5,0.1,3,2,NA,"Plantae","Poaceae","Bouteloua","gracilis"
2006,1,"2/2/2006","W",1,1,"TP","CHER2",1,0.1,4,4,NA,"Plantae","Asteraceae","Chaetopappa","ericoides"
2006,1,"2/2/2006","W",1,1,"TP","CHER2",2,0.05,2,1,NA,"Plantae","Asteraceae","Chaetopappa","ericoides"
2006,1,"2/2/2006","W",1,1,"TP","PLJA",1,0.25,2,2,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2006,1,"2/2/2006","W",1,1,"TP","PLJA",2,1,3,2,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2006,1,"2/2/2006","W",1,1,"TP","PLJA",3,2,3,1,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2006,1,"2/2/2006","W",1,1,"TP","PLJA",4,0.75,3,1,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2006,1,"2/2/2006","W",1,1,"TP","PLJA",5,0.5,2,1,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2006,1,"2/2/2006","W",1,1,"TP","PLJA",6,1.5,3,1,NA,"Plantae","Poaceae","Pleuraphis","jamesii"
2006,1,"2/2/2006","W",1,2,"TP","BOER4",1,12,16,1,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,2,"TP","BOER4",2,4,15,3,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,2,"TP","BOER4",3,1.5,13,3,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,2,"TP","BOER4",4,1,13,2,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,2,"TP","BOER4",5,0.75,11,3,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,2,"TP","BOER4",6,0.5,9,1,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,2,"TP","BOER4",7,0.05,3,2,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",1,2,"TP","BOGR2",1,1,8,1,NA,"Plantae","Poaceae","Bouteloua","gracilis"
2006,1,"2/2/2006","W",1,2,"TP","CHER2",1,0.1,5,1,NA,"Plantae","Asteraceae","Chaetopappa","ericoides"
2006,1,"2/2/2006","W",1,2,"TP","GUSA2",1,0.75,18,1,NA,"Plantae","Asteraceae","Gutierrezia","sarothrae"
2006,1,"2/2/2006","W",1,2,"TP","GUSA2",2,3,16,1,NA,"Plantae","Asteraceae","Gutierrezia","sarothrae"
2006,1,"2/2/2006","W",1,2,"TP","GUSA2",3,0.5,16,1,NA,"Plantae","Asteraceae","Gutierrezia","sarothrae"
2006,1,"2/2/2006","W",1,2,"TP","GUSA2",4,3,22,1,NA,"Plantae","Asteraceae","Gutierrezia","sarothrae"
2006,1,"2/2/2006","W",1,2,"TP","GUSA2",5,0.5,13,1,NA,"Plantae","Asteraceae","Gutierrezia","sarothrae"
2006,1,"2/2/2006","W",2,1,"TN","BOER4",1,7,18,1,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",2,1,"TN","BOER4",2,4.5,12,2,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",2,1,"TN","BOER4",3,1,11,3,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",2,1,"TN","BOER4",4,0.05,2,5,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",2,1,"TN","BOER4",5,0.1,4,5,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",2,1,"TN","BOER4",6,0.25,8,3,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",2,1,"TN","BOER4",7,5,18,1,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",2,1,"TN","BOER4",8,0.5,4,2,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",2,1,"TN","BOER4",9,3,14,1,NA,"Plantae","Poaceae","Bouteloua","eriopoda"
2006,1,"2/2/2006","W",2,1,"TN","BOGR2",1,1.5,7,1,NA,"Plantae","Poaceae","Bouteloua","gracilis"
