"Code","Growth","SppType","Season","Month","Year","Site","Plot","Quad","Cover","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species","month_num","site_plot"
"PLPA2","A","H",1,"May",2004,"G","1",6,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",8,5,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",8,15,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",10,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",10,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",12,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",12,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",12,15,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SPHA","P","H",1,"May",2004,"G","1",18,1,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",18,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",18,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",18,20,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"DEPI","A","H",1,"May",2004,"G","1",20,1,"Plantae","Brassicaceae","Descurainia","pinnata",5,"G1"
"ERRO2","A","H",1,"May",2004,"G","1",20,1,"Plantae","Polygonaceae","Eriogonum","rotundifolium",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",20,3,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",20,15,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"OECAC2","P","H",1,"May",2004,"G","1",22,1,"Plantae","Onagraceae","Oenothera","caespitosa",5,"G1"
"DEPI","A","H",1,"May",2004,"G","1",22,2,"Plantae","Brassicaceae","Descurainia","pinnata",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",22,3,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",22,5,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",22,15,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",24,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",24,7,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",30,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"CHLA10","A","H",1,"May",2004,"G","1",30,3,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",30,5,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"GUSA2","P","S",1,"May",2004,"G","1",30,10,"Plantae","Asteraceae","Gutierrezia","sarothrae",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",32,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"GUSA2","P","S",1,"May",2004,"G","1",32,1,"Plantae","Asteraceae","Gutierrezia","sarothrae",5,"G1"
"OECAC2","P","H",1,"May",2004,"G","1",32,1,"Plantae","Onagraceae","Oenothera","caespitosa",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",32,15,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SOEL","P","H",1,"May",2004,"G","1",34,1,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",34,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"GACO5","P","H",1,"May",2004,"G","1",34,4,"Plantae","Onagraceae","Gaura","coccinea",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",34,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SOEL","P","H",1,"May",2004,"G","1",36,1,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",36,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"SPHA","P","H",1,"May",2004,"G","1",36,2,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",36,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",42,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",42,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"NONE",NA,NA,1,"May",2004,"G","1",44,0,NA,NA,NA,NA,5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",42,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",46,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"CHLA10","A","H",1,"May",2004,"G","1",46,3,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",46,4,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",46,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",48,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",48,40,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ALMA4","P","H",1,"May",2004,"G","1",54,1,"Plantae","Liliaceae","Allium","macropetalum",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",54,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"CHLA10","A","H",1,"May",2004,"G","1",54,2,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",54,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",56,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",56,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",56,5,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",58,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",58,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",58,5,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CHLA10","A","H",1,"May",2004,"G","1",58,20,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",60,3,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",60,15,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ERRO2","A","H",1,"May",2004,"G","1",66,1,"Plantae","Polygonaceae","Eriogonum","rotundifolium",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",66,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",66,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"APRAH","P","H",1,"May",2004,"G","1",68,6,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",68,8,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",68,10,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",70,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"HOGL2","P","H",1,"May",2004,"G","1",70,2,"Plantae","Fabaceae","Hoffmannseggia","glauca",5,"G1"
"SPHA","P","H",1,"May",2004,"G","1",70,2,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",70,15,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"HOGL2","P","H",1,"May",2004,"G","1",72,2,"Plantae","Fabaceae","Hoffmannseggia","glauca",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",72,3,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ZIGR","P","H",1,"May",2004,"G","1",72,6,"Plantae","Asteraceae","Zinnia","grandiflora",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",78,3,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",78,5,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",78,20,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",80,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",80,3,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",80,3,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"GUSA2","P","S",1,"May",2004,"G","1",80,5,"Plantae","Asteraceae","Gutierrezia","sarothrae",5,"G1"
"HOGL2","P","H",1,"May",2004,"G","1",80,4,"Plantae","Fabaceae","Hoffmannseggia","glauca",5,"G1"
"APRAH","P","H",1,"May",2004,"G","1",82,2,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",82,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",82,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
