"PERIOD","DATE","PLOT","LN","QUAD","PSPP","PCOV","PHT","PF","KRF","RBF","SDUNK","SDP","SDKR","SDRD","SDAN","BY","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species"
"F99","09/26/99","PK",1,1,"ARAD",0.8,"12",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",1,3,"ARAD",0.5,"11",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",1,4,"ARAD",0.3,"8",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",2,1,"ARAD",3,"12",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",2,2,"ARAD",4,"8",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",2,4,"ARAD",17,"11",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",2,5,"ARAD",3,"8",11,0,5,0,3,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",3,1,"ARAD",11,"9",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",3,2,"ARAD",6,"8",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",3,3,"ARAD",5,"8",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",3,5,"ARAD",0.5,"11",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",4,1,"ARAD",0.5,"8",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",4,4,"ARAD",1,"9",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",4,6,"ARAD",1.5,"11",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",4,7,"ARAD",0.1,"4",2,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",5,1,"ARAD",7,"13",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
"F99","09/26/99","PK",5,2,"ARAD",4,"12",0,0,0,0,0,0,0,0,NA,"Plantae","Poaceae","Aristida","adscensionis"
