"PERIOD","DATE","PLOT","TRAN","SEC","SPP","AGE","SEX","SUB","CNT","Taxa_genus","Taxa_species"
"F00","10/2/2000","K",1,1,"AUEL","A","M","SPCR","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",1,1,"AUEL","A","M","GRND","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",1,1,"ERSI","A","F","HIJA","1"," Eritettix"," simplex"
"F00","10/2/2000","K",1,1,"MEAZ","A","M","HIJA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","K",1,2,"MEAZ","A","F","SPCR","1"," Melanoplus"," arizonae"
"F00","10/2/2000","K",1,2,"PSSP","2","N","SCBR2","2",NA,NA
"F00","10/2/2000","K",1,3,"DABI","A","F","TILA","1"," Dactylotum"," bicolor"
"F00","10/2/2000","K",1,3,"DABI","A","M","TILA","1"," Dactylotum"," bicolor"
"F00","10/2/2000","K",1,3,"ERSI","A","M","ARHA","1"," Eritettix"," simplex"
"F00","10/2/2000","K",1,3,"ERSI","A","M","ARHA","1"," Eritettix"," simplex"
"F00","10/2/2000","K",1,3,"PSSP","2","N","MUAR2","1",NA,NA
"F00","10/2/2000","K",1,4,"ARPS","A","F","GRND","1"," Arphia"," pseudonietana"
"F00","10/2/2000","K",1,4,"PAPA","A","F","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","K",1,4,"PSSP","2","N","GRND","1",NA,NA
"F00","10/2/2000","K",1,5,"AUEL","A","M","BOER","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",1,5,"ERSI","A","F","ARPU","1"," Eritettix"," simplex"
"F00","10/2/2000","K",1,5,"ERSI","A","M","HIJA","1"," Eritettix"," simplex"
"F00","10/2/2000","K",1,5,"PSSP","2","N","GRND","2",NA,NA
"F00","10/2/2000","K",1,6,"AUEL","A","F","BOGR","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",1,6,"AUEL","A","M","BOGR","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",1,6,"MEAZ","A","F","SPCR","1"," Melanoplus"," arizonae"
"F00","10/2/2000","K",1,6,"MEAZ","A","M","MAUR","2"," Melanoplus"," arizonae"
"F00","10/2/2000","K",1,6,"PSSP","2","N","GRND","1",NA,NA
"F00","10/2/2000","K",1,6,"PSSP","2","N","BOGR","1",NA,NA
"F00","10/2/2000","K",3,1,"AGDE","A","F","ARHA","1"," Ageneotettix"," deorum"
