"DATE","YEAR","SEASON","PLOT","QUAD","SPECIES_CODE","COVER","HEIGHT","COMMENTS","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species","treatment","plot_name"
"4/24/2005",2005,"S","MC",1,"BOER4","4",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",1,"BOGR2","8",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",1,"GACO5","1",-99999,NA,"Plantae","Onagraceae","Gaura","coccinea","C","M"
"4/24/2005",2005,"S","MC",1,"HYFIC","10",-99999,NA,"Plantae","Asteraceae","Hymenopappus","filifolius","C","M"
"4/24/2005",2005,"S","MC",1,"PLPA2","8",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",2,"ASMIM","20",-99999,NA,"Plantae","Fabaceae","Astragalus","missouriensis","C","M"
"4/24/2005",2005,"S","MC",2,"BOGR2","15",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",2,"CYIMI","8",-99999,NA,"Plantae","Cactaceae","Cylindropuntia","imbricata","C","M"
"4/24/2005",2005,"S","MC",2,"PLJA","40",-99999,NA,"Plantae","Poaceae","Pleuraphis","jamesii","C","M"
"4/24/2005",2005,"S","MC",2,"PLPA2","1",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",3,"ASMIM","35",-99999,NA,"Plantae","Fabaceae","Astragalus","missouriensis","C","M"
"4/24/2005",2005,"S","MC",3,"BOGR2","15",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",3,"PLPA2","3",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",4,"BOER4","2",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",4,"BOGR2","15",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",4,"CRCR3","1",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",4,"DEPI","1",-99999,NA,"Plantae","Brassicaceae","Descurainia","pinnata","C","M"
"4/24/2005",2005,"S","MC",4,"PLPA2","15",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",5,"BOER4","8",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",5,"BOGR2","3",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",5,"CRCR3","1",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",5,"DEPI","3",-99999,NA,"Plantae","Brassicaceae","Descurainia","pinnata","C","M"
"4/24/2005",2005,"S","MC",5,"PLPA2","12",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",6,"SPHA","1",-99999,"O. SPWR","Plantae","Malvaceae","Sphaeralcea","hastulata","C","M"
"4/24/2005",2005,"S","MC",6,"BOGR2","10",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",6,"CRCR3","2",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",6,"DEPI","8",-99999,NA,"Plantae","Brassicaceae","Descurainia","pinnata","C","M"
"4/24/2005",2005,"S","MC",6,"MAFE","2",-99999,NA,"Plantae","Asteraceae","Malacothrix","fendleri","C","M"
"4/24/2005",2005,"S","MC",6,"PLPA2","20",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",7,"BOGR2","4",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",7,"PLPA2","20",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",7,"SEFLF","1",-99999,NA,"Plantae","Asteraceae","Senecio","flaccidus","C","M"
"4/24/2005",2005,"S","MC",8,"BOGR2","3",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",8,"LEDED","2",-99999,NA,NA,NA,NA,NA,"C","M"
"4/24/2005",2005,"S","MC",8,"PLPA2","15",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",9,"BOBA2","1",-99999,"ADDED_COVER FROM DATASHEET","Plantae","Poaceae","Bouteloua","barbata","C","M"
"4/24/2005",2005,"S","MC",9,"BOGR2","10",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",9,"CRCR3","1",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",9,"PLPA2","7",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",10,"BOER4","4",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",10,"BOGR2","10",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",10,"CRCR3","2",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",10,"PLPA2","6",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",11,"BOGR2","10",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",11,"CRCR3","3",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",11,"PLPA2","15",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",12,"BOER4","10",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",12,"BOGR2","7",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",12,"PLPA2","15",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",12,"SEBA3","1",-99999,NA,"Plantae","Fabaceae","Senna","bauhinioides","C","M"
"4/24/2005",2005,"S","MC",13,"SPHA","1",-99999,"ADDED_COVER FROM DATASHEET","Plantae","Malvaceae","Sphaeralcea","hastulata","C","M"
"4/24/2005",2005,"S","MC",13,"BOER4","6",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",13,"BOGR2","4",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",13,"PLPA2","10",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",14,"BOER4","6",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
