"Bee_Species","SiteRepSeason","bees","Taxa_kingdom","Taxa_phylum","Taxa_class","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","updated_bee_species","site","rep","season","year"
"HAHALTRIF","C1SP08",635,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Halictus","tripartitus","HAHALTRI","C","1","SP","2008"
"HAAGAANGF","C1SP08",7,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Agapostemon","angelicus","HAAGAANG","C","1","SP","2008"
"HAAGAFEMF","C1SP08",15,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAAGAFEM","C","1","SP","2008"
"HAAGAMELF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Agapostemon","melliventris","HAAGAMEL","C","1","SP","2008"
"HAAGASPLF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAAGASPL","C","1","SP","2008"
"HAAUGAURF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAAUGAUR","C","1","SP","2008"
"HADUFMARF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HADUFMAR","C","1","SP","2008"
"HADUF001F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HADUF001","C","1","SP","2008"
"HAHALCONF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAHALCON","C","1","SP","2008"
"HAHALLIGF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Halictus","ligatus","HAHALLIG","C","1","SP","2008"
"HAHALPARF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAHALPAR","C","1","SP","2008"
"HALASPRUF","C1SP08",6,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","pruinosiformis","HALASPRU","C","1","SP","2008"
"HALASCOAF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASCOA","C","1","SP","2008"
"HALASHUDF","C1SP08",13,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASHUD","C","1","SP","2008"
"HALASPARF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASPAR","C","1","SP","2008"
"HALASPERF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASPER","C","1","SP","2008"
"HALASPOTF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","potosi","HALASPOT","C","1","SP","2008"
"HALASSISF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","sisymbrii","HALASSIS","C","1","SP","2008"
"HALAS00CF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS00C","C","1","SP","2008"
"HALAS007F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS007","C","1","SP","2008"
"HALAS012F","C1SP08",2,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS012","C","1","SP","2008"
"HALAS015F","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS015","C","1","SP","2008"
"HALAS017F","C1SP08",5,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS017","C","1","SP","2008"
"HALAS018F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS018","C","1","SP","2008"
"HALAS019F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS019","C","1","SP","2008"
"HALAS020F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS020","C","1","SP","2008"
"HALAS021F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS021","C","1","SP","2008"
"HALASODDF","C1SP08",2,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASODD","C","1","SP","2008"
"HALASEV1F","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","(Evylaeus)001","HALASEV1","C","1","SP","2008"
"HALASEV2F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","(Evylaeus)002","HALASEV2","C","1","SP","2008"
"HALASEV3F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASEV3","C","1","SP","2008"
"HALASEV4F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASEV4","C","1","SP","2008"
"HALASEV5F","C1SP08",8,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASEV5","C","1","SP","2008"
"HALASEV6F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASEV6","C","1","SP","2008"
"HALASNOCF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASNOC","C","1","SP","2008"
"HANOMTRIF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HANOMTRI","C","1","SP","2008"
"HASPH001F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Sphecodes","1","HASPH001","C","1","SP","2008"
"HASPH002F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Sphecodes","2","HASPH002","C","1","SP","2008"
"MEANTEMAF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Anthidium","emarginatum","MEANTEMA","C","1","SP","2008"
"MEANTPORF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Anthidium","porterae","MEANTPOR","C","1","SP","2008"
"MEASHBIGF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Ashmeadiella","bigeloveae","MEASHBIG","C","1","SP","2008"
"MEASHMELF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Ashmeadiella","meliloti","MEASHMEL","C","1","SP","2008"
"MEDIACURF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEDIACUR","C","1","SP","2008"
"MEDIAIMPF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Dianthidium","implicatum","MEDIAIMP","C","1","SP","2008"
"MEDIOPACF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Dioxys","pacificus","MEDIOPAC","C","1","SP","2008"
"MEDIOPOMF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEDIOPOM","C","1","SP","2008"
"MEHOP003F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEHOP003","C","1","SP","2008"
"MELITAPIF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Lithurge","apicalis","MELITAPI","C","1","SP","2008"
"MEMEGSIDF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEMEGSID","C","1","SP","2008"
"MEMEGUMAF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEMEGUMA","C","1","SP","2008"
"MEOSMCERF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","cerasi","MEOSMCER","C","1","SP","2008"
"MEOSMLATF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","latisulcata","MEOSMLAT","C","1","SP","2008"
"MEOSMLIOF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","liogastra","MEOSMLIO","C","1","SP","2008"
"MEOSMPRUF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","prunorum","MEOSMPRU","C","1","SP","2008"
"MEOSMTITF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","titusi","MEOSMTIT","C","1","SP","2008"
"MEOSMWATF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","watsoni","MEOSMWAT","C","1","SP","2008"
"ANANDCAPF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDCAP","C","1","SP","2008"
"ANANDCREF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDCRE","C","1","SP","2008"
"ANANDHELF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDHEL","C","1","SP","2008"
"ANANDILLF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDILL","C","1","SP","2008"
"ANANDMON","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDMON","C","1","SP","2008"
"ANANDPRFF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Andrena","primulifrons","ANANDPRF","C","1","SP","2008"
"ANANDPRIF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Andrena","prima","ANANDPRI","C","1","SP","2008"
"ANHETPERF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANHETPER","C","1","SP","2008"
"ANHET002F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Heterosarus","2","ANHET002","C","1","SP","2008"
"ANCAL001F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANCAL001","C","1","SP","2008"
"ANPER001F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","1","ANPER001","C","1","SP","2008"
"ANPER002F","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","2","ANPER002","C","1","SP","2008"
"ANPER003F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","3","ANPER003","C","1","SP","2008"
"ANPER005F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","5","ANPER005","C","1","SP","2008"
"ANPER006F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","new_sp_006","ANPER006","C","1","SP","2008"
"ANPER009F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER009","C","1","SP","2008"
"ANPER012F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER012","C","1","SP","2008"
"ANPER014F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER014","C","1","SP","2008"
"ANPER015F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER015","C","1","SP","2008"
"ANPER016F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER016","C","1","SP","2008"
"ANPER018F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER018","C","1","SP","2008"
"ANPERALBF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","albovittata","ANPERALB","C","1","SP","2008"
"ANPERAST","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPERAST","C","1","SP","2008"
"ANPERCALF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","callicerata","ANPERCAL","C","1","SP","2008"
"ANPERCORF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","coreopsidis_kansensis","ANPERCOR","C","1","SP","2008"
"ANPERDOLF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPERDOL","C","1","SP","2008"
