"year","block","fire","trt","plot","spnum","Taxa_genus","Taxa_species","cover","Taxa_kingdom","Taxa_family"
2006,"Marheya",1,1,1,1,"Bothriochloa","radicans",41.25,"Plantae","Poaceae"
2006,"Marheya",1,1,1,5,"Panicum","coloratum",7.5,"Plantae","Poaceae"
2006,"Marheya",1,1,1,8,"Urochloa","mosambicensis",25.25,"Plantae",NA
2006,"Marheya",1,1,1,11,"Chloris","virgatum",3.75,"Plantae","Poaceae"
2006,"Marheya",1,1,1,14,"Eragrostis","nidensis",23.75,"Plantae","Poaceae"
2006,"Marheya",1,1,1,23,"Tragus","berteronianus",3,"Plantae","Poaceae"
2006,"Marheya",1,1,1,30,"Limeum","teracarpum",3.7,"Plantae",NA
2006,"Marheya",1,1,1,31,"Indigofera","vicioides",3,"Plantae",NA
2006,"Marheya",1,1,1,43,"Chamaecrista","mimosoides",0.25,"Plantae",NA
2006,"Marheya",1,1,1,49,"Corchorus","asplenifolius",0.25,"Plantae",NA
2006,"Marheya",1,1,1,50,"Talinum","caffrum",0.25,"Plantae",NA
2006,"Marheya",1,1,1,56,"Indigofera","rhytidocarpa subsp. Rhytidocarpa",5,"Plantae",NA
2006,"Marheya",1,1,1,57,"Crotalaria","virgulata grantiana",6,"Plantae",NA
2006,"Marheya",1,1,1,71,"Heliotropium","steudneri",8.75,"Plantae","Boraginaceae"
2006,"Marheya",1,1,1,95,"Phyllanthus","burchellii",0.25,"Plantae",NA
2006,"Marheya",1,1,1,96,"Phyllanthus","maderaspatensis",0.5,"Plantae",NA
2006,"Marheya",1,1,1,97,"Phyllanthus","nummulariifolius",0.25,"Plantae",NA
2006,"Marheya",1,1,1,101,"Gisekia","c.f. africana",2.75,"Plantae",NA
2006,"Marheya",1,1,1,114,"Ipomoea","plebia africana",1.5,"Plantae","Convolvulaceae"
2006,"Marheya",1,1,2,1,"Bothriochloa","radicans",0.25,"Plantae","Poaceae"
2006,"Marheya",1,1,2,4,"Themeda","triandra",0.5,"Plantae",NA
2006,"Marheya",1,1,2,5,"Panicum","coloratum",71.25,"Plantae","Poaceae"
2006,"Marheya",1,1,2,8,"Urochloa","mosambicensis",61.25,"Plantae",NA
2006,"Marheya",1,1,2,10,"Aristada","congesta barbicollis",3.75,"Plantae",NA
2006,"Marheya",1,1,2,11,"Chloris","virgatum",1.5,"Plantae","Poaceae"
2006,"Marheya",1,1,2,14,"Eragrostis","nidensis",2.75,"Plantae","Poaceae"
2006,"Marheya",1,1,2,19,"Heteropogon","contortus",0.75,"Plantae",NA
2006,"Marheya",1,1,2,23,"Tragus","berteronianus",1.25,"Plantae","Poaceae"
2006,"Marheya",1,1,2,30,"Limeum","teracarpum",1,"Plantae",NA
2006,"Marheya",1,1,2,31,"Indigofera","vicioides",0.5,"Plantae",NA
2006,"Marheya",1,1,2,35,"Commicarpus","pilosus",7.5,"Plantae",NA
2006,"Marheya",1,1,2,50,"Talinum","caffrum",0.25,"Plantae",NA
2006,"Marheya",1,1,2,56,"Indigofera","rhytidocarpa subsp. Rhytidocarpa",19.25,"Plantae",NA
2006,"Marheya",1,1,2,57,"Crotalaria","virgulata grantiana",18.75,"Plantae",NA
2006,"Marheya",1,1,2,71,"Heliotropium","steudneri",24,"Plantae","Boraginaceae"
2006,"Marheya",1,1,2,72,"Hermannia","sp. (cf. glanduligera)",0.25,"Plantae",NA
2006,"Marheya",1,1,2,75,"Hibiscus type?","",0.25,"Plantae",NA
2006,"Marheya",1,1,2,79,"Linum","thunbergii",4.25,"Plantae","Linaceae"
2006,"Marheya",1,1,2,94,"Opposite narrow-leaf forb","",2.25,"Plantae",NA
2006,"Marheya",1,1,2,95,"Phyllanthus","burchellii",0.5,"Plantae",NA
2006,"Marheya",1,1,2,96,"Phyllanthus","maderaspatensis",0.25,"Plantae",NA
2006,"Marheya",1,1,2,101,"Gisekia","c.f. africana",0.5,"Plantae",NA
2006,"Marheya",1,1,2,114,"Ipomoea","plebia africana",70,"Plantae","Convolvulaceae"
2006,"Marheya",1,1,2,119,"Tephrosia","semiglabra",0.5,"Plantae",NA
2006,"Marheya",1,1,2,120,"Tribulus","terrestris",1,"Plantae","Zygophyllaceae"
2006,"Marheya",1,1,3,1,"Bothriochloa","radicans",80,"Plantae","Poaceae"
2006,"Marheya",1,1,3,4,"Themeda","triandra",0.75,"Plantae",NA
2006,"Marheya",1,1,3,5,"Panicum","coloratum",7.25,"Plantae","Poaceae"
2006,"Marheya",1,1,3,10,"Aristada","congesta barbicollis",0.75,"Plantae",NA
2006,"Marheya",1,1,3,14,"Eragrostis","nidensis",3.75,"Plantae","Poaceae"
2006,"Marheya",1,1,3,23,"Tragus","berteronianus",1,"Plantae","Poaceae"
2006,"Marheya",1,1,3,30,"Limeum","teracarpum",1.25,"Plantae",NA
2006,"Marheya",1,1,3,43,"Chamaecrista","mimosoides",5.75,"Plantae",NA
2006,"Marheya",1,1,3,49,"Corchorus","asplenifolius",0.25,"Plantae",NA
2006,"Marheya",1,1,3,56,"Indigofera","rhytidocarpa subsp. Rhytidocarpa",0.25,"Plantae",NA
