"year","fire","ws","block","trt","plot","spnum","Taxa_genus","Taxa_species","cover","Taxa_kingdom","Taxa_family"
2006,1,"n1b","A",1,1,2,"andropogon","gerardii",15.25,"Plantae",NA
2006,1,"n1b","A",1,1,3,"andropogon","scoparius",1.5,"Plantae","Fabaceae"
2006,1,"n1b","A",1,1,5,"bouteloua","gracilis",2,"Plantae","Poaceae"
2006,1,"n1b","A",1,1,9,"elymus","canadensis",0.25,"Plantae","Asteraceae"
2006,1,"n1b","A",1,1,12,"koeleria","pyramidata",6.5,"Plantae",NA
2006,1,"n1b","A",1,1,14,"dichanthelium","oligosanthes",12.25,"Plantae",NA
2006,1,"n1b","A",1,1,18,"sorghastrum","nutans",15,"Plantae",NA
2006,1,"n1b","A",1,1,21,"sporobolus","asper",78.75,"Plantae","Lamiaceae"
2006,1,"n1b","A",1,1,25,"bromus","japonicus",61.25,"Plantae",NA
2006,1,"n1b","A",1,1,27,"festuca","octoflora",0.25,"Plantae","Poaceae"
2006,1,"n1b","A",1,1,28,"hordeum","pusillum",32.5,"Plantae",NA
2006,1,"n1b","A",1,1,30,"schedonnardus","paniculatus",0.5,"Plantae",NA
2006,1,"n1b","A",1,1,31,"carex","brevior",2.5,"Plantae",NA
2006,1,"n1b","A",1,1,33,"carex","heliophila",0.25,"Plantae",NA
2006,1,"n1b","A",1,1,34,"carex","meadii",2.5,"Plantae",NA
2006,1,"n1b","A",1,1,36,"cyperus","lupulinus",0.25,"Plantae",NA
2006,1,"n1b","A",1,1,38,"eleocharis","compressa",1.25,"Plantae",NA
2006,1,"n1b","A",1,1,46,"ambrosia","psilostachya",2,"Plantae",NA
2006,1,"n1b","A",1,1,52,"artemisia","ludoviciana",4.5,"Plantae","Orobanchaceae"
2006,1,"n1b","A",1,1,55,"asclepias","verticillata",0.25,"Plantae","Apiaceae"
2006,1,"n1b","A",1,1,56,"asclepias","viridis",7,"Plantae","Poaceae"
2006,1,"n1b","A",1,1,58,"aster","ericoides",12.25,"Plantae","Asteraceae"
2006,1,"n1b","A",1,1,71,"conyza","canadensis",0.25,"Plantae","Asteraceae"
2006,1,"n1b","A",1,1,77,"erigeron","strigosus",0.25,"Plantae",NA
2006,1,"n1b","A",1,1,79,"euphorbia","spathulata",0.75,"Plantae",NA
2006,1,"n1b","A",1,1,82,"hedeoma","hispidum",4.5,"Plantae","Hydrophyllaceae"
2006,1,"n1b","A",1,1,85,"hymenopappus","scabiosaeus",0.25,"Plantae",NA
2006,1,"n1b","A",1,1,89,"lepidium","densiflorum",1,"Plantae","Brassicaceae"
2006,1,"n1b","A",1,1,92,"linum","sulcatum",0.75,"Plantae",NA
2006,1,"n1b","A",1,1,102,"oxalis","stricta",1,"Plantae",NA
2006,1,"n1b","A",1,1,103,"oxalis","violacea",0.25,"Plantae","Oxalidaceae"
2006,1,"n1b","A",1,1,114,"plantago","rhodosperma",2.5,"Plantae",NA
2006,1,"n1b","A",1,1,118,"ratibida","columnifera",0.75,"Plantae","Asteraceae"
2006,1,"n1b","A",1,1,120,"ruellia","humilis",2,"Plantae","Loasaceae"
2006,1,"n1b","A",1,1,124,"silene","antirrhina",0.5,"Plantae","Caryophyllaceae"
2006,1,"n1b","A",1,1,128,"solidago","missouriensis",6.5,"Plantae","Fabaceae"
2006,1,"n1b","A",1,1,132,"spermolepis","inermis",1,"Plantae",NA
2006,1,"n1b","A",1,1,136,"triodanis","leptocarpa",0.25,"Plantae",NA
2006,1,"n1b","A",1,1,139,"verbena","stricta",0.25,"Plantae",NA
2006,1,"n1b","A",1,1,141,"viola","rafinesquii",0.5,"Plantae",NA
2006,1,"n1b","A",1,1,338,"plantago","patagonica",18.5,"Plantae","Plantaginaceae"
2006,1,"n1b","A",1,1,551,"Heart-shaped mustard","",0.25,"Plantae",NA
2006,1,"n1b","A",1,2,2,"andropogon","gerardii",58.25,"Plantae",NA
2006,1,"n1b","A",1,2,4,"bouteloua","curtipendula",2.75,"Plantae","Poaceae"
2006,1,"n1b","A",1,2,5,"bouteloua","gracilis",3,"Plantae","Poaceae"
2006,1,"n1b","A",1,2,11,"eragrostis","spectabilis",2.5,"Plantae",NA
2006,1,"n1b","A",1,2,14,"dichanthelium","oligosanthes",9.75,"Plantae",NA
2006,1,"n1b","A",1,2,18,"sorghastrum","nutans",51.25,"Plantae",NA
2006,1,"n1b","A",1,2,21,"sporobolus","asper",13.25,"Plantae","Lamiaceae"
2006,1,"n1b","A",1,2,24,"aristida","oligantha",0.25,"Plantae",NA
2006,1,"n1b","A",1,2,27,"festuca","octoflora",0.75,"Plantae","Poaceae"
2006,1,"n1b","A",1,2,28,"hordeum","pusillum",0.75,"Plantae",NA
2006,1,"n1b","A",1,2,31,"carex","brevior",4.25,"Plantae",NA
2006,1,"n1b","A",1,2,33,"carex","heliophila",6.5,"Plantae",NA
2006,1,"n1b","A",1,2,34,"carex","meadii",13.25,"Plantae",NA
2006,1,"n1b","A",1,2,36,"cyperus","lupulinus",0.25,"Plantae",NA
2006,1,"n1b","A",1,2,40,"amorpha","canescens",21.25,"Plantae","Chenopodiaceae"
2006,1,"n1b","A",1,2,46,"ambrosia","psilostachya",8.5,"Plantae",NA
2006,1,"n1b","A",1,2,55,"asclepias","verticillata",0.25,"Plantae","Apiaceae"
2006,1,"n1b","A",1,2,56,"asclepias","viridis",2.5,"Plantae","Poaceae"
2006,1,"n1b","A",1,2,58,"aster","ericoides",20.75,"Plantae","Asteraceae"
2006,1,"n1b","A",1,2,61,"astragalus","crassicarpus",5,"Plantae",NA
2006,1,"n1b","A",1,2,70,"cirsium","undulatum",3.75,"Plantae","Asteraceae"
2006,1,"n1b","A",1,2,71,"conyza","canadensis",2.25,"Plantae","Asteraceae"
2006,1,"n1b","A",1,2,77,"erigeron","strigosus",1.75,"Plantae",NA
2006,1,"n1b","A",1,2,78,"euphorbia","marginata",0.25,"Plantae",NA
2006,1,"n1b","A",1,2,79,"euphorbia","spathulata",1,"Plantae",NA
2006,1,"n1b","A",1,2,82,"hedeoma","hispidum",1,"Plantae","Hydrophyllaceae"
2006,1,"n1b","A",1,2,86,"kuhnia","eupatorioides",0.75,"Plantae","Asteraceae"
2006,1,"n1b","A",1,2,89,"lepidium","densiflorum",0.5,"Plantae","Brassicaceae"
2006,1,"n1b","A",1,2,92,"linum","sulcatum",10,"Plantae",NA
2006,1,"n1b","A",1,2,102,"oxalis","stricta",4.25,"Plantae",NA
2006,1,"n1b","A",1,2,111,"physalis","pumila",0.5,"Plantae","Polemoniaceae"
2006,1,"n1b","A",1,2,114,"plantago","rhodosperma",6.25,"Plantae",NA
2006,1,"n1b","A",1,2,117,"psoralea","tenuiflora",6.75,"Plantae",NA
2006,1,"n1b","A",1,2,118,"ratibida","columnifera",5,"Plantae","Asteraceae"
2006,1,"n1b","A",1,2,121,"salvia","azurea",1.5,"Plantae",NA
2006,1,"n1b","A",1,2,124,"silene","antirrhina",1.5,"Plantae","Caryophyllaceae"
2006,1,"n1b","A",1,2,125,"sisyrinchium","campestre",0.25,"Plantae",NA
2006,1,"n1b","A",1,2,128,"solidago","missouriensis",0.25,"Plantae","Fabaceae"
2006,1,"n1b","A",1,2,130,"solidago","rigida",1.75,"Plantae",NA
2006,1,"n1b","A",1,2,132,"spermolepis","inermis",4,"Plantae",NA
2006,1,"n1b","A",1,2,140,"vernonia","baldwinii",14.75,"Plantae",NA
2006,1,"n1b","A",1,2,141,"viola","rafinesquii",0.25,"Plantae",NA
2006,1,"n1b","A",1,2,161,"asclepias","syriaca",0.25,"Plantae",NA
2006,1,"n1b","A",1,2,216,"euphorbia","serpens",0.75,"Plantae",NA
2006,1,"n1b","A",1,2,255,"monarda","fistulosa",2.25,"Plantae",NA
2006,1,"n1b","A",1,2,338,"plantago","patagonica",0.25,"Plantae","Plantaginaceae"
2006,1,"n1b","A",1,3,2,"andropogon","gerardii",32.5,"Plantae",NA
2006,1,"n1b","A",1,3,3,"andropogon","scoparius",9,"Plantae","Fabaceae"
2006,1,"n1b","A",1,3,4,"bouteloua","curtipendula",32.5,"Plantae","Poaceae"
2006,1,"n1b","A",1,3,5,"bouteloua","gracilis",46,"Plantae","Poaceae"
2006,1,"n1b","A",1,3,9,"elymus","canadensis",0.75,"Plantae","Asteraceae"
2006,1,"n1b","A",1,3,11,"eragrostis","spectabilis",4.25,"Plantae",NA
2006,1,"n1b","A",1,3,13,"muhlenbergia","cuspidata",0.5,"Plantae",NA
2006,1,"n1b","A",1,3,14,"dichanthelium","oligosanthes",6,"Plantae",NA
2006,1,"n1b","A",1,3,18,"sorghastrum","nutans",10.25,"Plantae",NA
