LOCATION;LATITUDE,LONGITUDE
MORE MESA;34.4176,-119.7949
SHORELINE DRIVE;34.3991,-119.701
MONTECITO;34.4179,-119.6306
PALOS VERDES;33.7382,-118.3938
FRYS;34.057,-119.7551
DEVEREUX;34.4085,-119.8737
ANACAPA;34.0164,-119.4291
SAN MIGUEL;34.0344,-120.4531
REFUGIO;34.4625,-120.0698
FRYS 1;34.05695,-119.7551
FRYS 2;34.05765,-119.7558833
FRYS 3;34.05776667,-119.7563
FERN 1;34.05365,-119.7496333
FERN O;34.05291667,-119.7470333
BC 1;34.05076667,-119.7414167
BC 2;34.05116667,-119.7418167
BC POINT;34.05035,-119.7406333
ALLEGRIA MOORING;34.46165,-120.290067
LEADBETTER;34.3991,-119.701
