YEAR,MONTH,DATE,SITE,LOCATION,COUNT,ACTIVITY,NOTES
2007,5,01MAY2007,MOHK,MOHK,0,-99999,-99999
2007,5,02MAY2007,ABUR,ABUR,0,-99999,-99999
2007,5,02MAY2007,MOHK,MOHK,0,-99999,-99999
2007,5,07MAY2007,MOHK,MOHK,1,FEEDING,SOUTHEAST OF INSIDE SPAR BUOY
2007,5,08MAY2007,AQUE,AQUE,0,-99999,-99999
2007,5,13MAY2007,MOHK,MOHK,0,-99999,-99999
2007,5,14MAY2007,MOHK,MOHK,0,-99999,-99999
2007,5,15MAY2007,MOHK,MOHK,0,-99999,-99999
2007,5,16MAY2007,GOLB,MOORE MESA,1,FEEDING,-99999
2007,5,22MAY2007,MOHK,MOHK,0,-99999,-99999
2007,5,23MAY2007,MOHK,MOHK,0,-99999,-99999
2007,5,24MAY2007,SCDI,SCDI,0,-99999,-99999
2007,5,24MAY2007,SCTW,SCTW,0,-99999,-99999
2007,5,25MAY2007,MOHK,MOHK,0,-99999,-99999
2007,5,30MAY2007,MOHK,MOHK,0,-99999,-99999
2007,6,04JUN2007,ABUR,ABUR,0,-99999,-99999
2007,6,04JUN2007,MOHK,MOHK,0,-99999,-99999
2007,6,07JUN2007,AQUE,AQUE,0,-99999,-99999
2007,6,08JUN2007,MOHK,MOHK,0,-99999,-99999
2007,6,12JUN2007,MOHK,MOHK,0,-99999,-99999
2007,6,13JUN2007,MOHK,MOHK,0,-99999,-99999
2007,6,19JUN2007,MOHK,MOHK,0,-99999,-99999
2007,6,21JUN2007,GOLB,GOLB,0,-99999,-99999
2007,6,21JUN2007,MOHK,MOHK,0,-99999,-99999
2007,6,25JUN2007,AQUE,AQUE,0,-99999,-99999
2007,6,25JUN2007,NAPL,NAPL,0,-99999,-99999
2007,6,26JUN2007,AHND,AHND,0,-99999,-99999
2007,6,26JUN2007,AHND,AHND,1,FEEDING,-99999
2007,6,26JUN2007,BULL,BULL,0,-99999,-99999
2007,6,26JUN2007,NAPL,NAPL,0,-99999,-99999
2007,6,28JUN2007,MOHK,SHORELINE DRIVE,1,PREENING,-99999
2007,7,02JUL2007,AQUE,AQUE,0,-99999,-99999
2007,7,03JUL2007,NAPL,NAPL,0,-99999,-99999
