year,location,period,habitat,recap,night,web,trap,species_code,id,tag,sex,age,mass,reproduction,body,tail,foot,ear,comments
1991,fireblk1,2,grass,n,1,1,75,pmle,na,na,m,a,23,na,90,79,22,15,"tail bicolored, but not real obvious"
1991,fireblk1,2,grass,n,1,2,119,neal,na,na,m,a,213,na,na,na,na,na,
1991,fireblk1,2,grass,n,2,1,144,pmtr,na,na,m,a,23.5,na,85,90,23,22,
1991,fireblk1,2,grass,n,2,1,27,pmle,na,na,f,a,20,na,73,76,22,13,nipples visible
1991,fireblk1,2,grass,n,2,1,41,neal,na,na,m,a,133,na,na,na,na,na,
1991,fireblk1,2,grass,n,2,1,71,spsp,na,na,f,a,107,l,na,na,na,na,
1991,fireblk1,2,grass,n,2,1,72,neal,na,na,f,j,87,na,na,na,na,na,nipples visible
1991,fireblk1,2,grass,n,2,2,104,neal,na,na,f,a,154,l,na,na,na,na,nipples visible
1991,fireblk1,2,grass,n,2,2,141,spsp,na,na,f,a,119,na,na,na,na,na,
1991,fireblk1,2,grass,n,2,2,48,pmtr,na,na,f,a,21,na,90,82,22,20,
1991,fireblk1,2,grass,n,2,2,69,pmle,na,na,f,a,28,na,97,80,21,15,nipples visible
1991,fireblk1,2,grass,n,2,3,43,spsp,na,na,m,a,107,st,na,na,na,na,
1991,fireblk1,2,grass,n,2,4,63,pmle,na,na,f,a,36,p,na,na,na,na,
1991,fireblk1,2,grass,n,3,1,142,spsp,na,na,m,a,8.5,st,60,52,na,na,ear patch
1991,fireblk1,2,grass,n,3,3,22,pmle,na,na,m,a,20,na,85,83,21,14,
1991,fireblk1,2,grass,n,3,4,32,spsp,na,na,f,a,86,na,na,na,na,na,
1991,fireblk2,2,grass,n,1,1,18,onar,na,na,m,a,26,st,87,50,na,na,
1991,fireblk2,2,grass,n,1,2,138,neal,na,na,m,a,159,na,na,na,na,na,
1991,fireblk2,2,grass,n,1,3,52,neal,na,na,f,a,128,na,na,na,na,na,
1991,fireblk2,2,grass,n,1,3,98,disp,na,na,f,a,122,l,na,na,na,na,
1991,fireblk2,2,grass,n,1,4,97,pmle,na,na,m,a,na,na,na,na,na,na,escaped
1991,fireblk2,2,grass,n,2,1,110,spsp,na,na,f,a,97,na,na,na,na,na,
1991,fireblk2,2,grass,n,2,1,118,pmle,na,na,m,a,na,na,76,74,20,15,escaped
1991,fireblk2,2,grass,n,2,2,10,pmle,na,na,f,a,22,na,85,80,22,15,
1991,fireblk2,2,grass,n,2,2,121,onar,na,na,f,a,30,p,95,47,na,na,appears to be late in pregnacy- maybe lactating
1991,fireblk2,2,grass,n,2,2,78,spsp,na,na,f,a,106,na,na,na,na,na,
