Year,Month,Day,Site,Line,Trap,Order,Family,Genus,Species,Count,Comments
1992,3,11,C,A,1,AR,PHO,PSI,1,1,na
1992,3,11,C,A,1,OR,GRY,CYC,COM,1,na
1992,3,11,C,A,2,AR,THO,XYS,FAC,2,na
1992,3,11,C,A,2,CO,CAR,CYM,PUN,1,na
1992,3,11,C,A,2,HE,LYG,EMB,VIC,1,na
1992,3,11,C,A,2,HE,MIR,EUS,1,1,na
1992,3,11,C,A,2,SC,SCO,SCO,POL,1,na
1992,3,11,C,A,3,CO,ELA,CAR,1,29,na
1992,3,11,C,A,3,CO,TEN,ANE,1,1,na
1992,3,11,C,A,3,HE,LYG,EMB,VIC,1,na
1992,3,11,C,A,4,NS,NS,NS,NS,-888,na
1992,3,11,C,A,5,AR,GNA,1,NYM,1,na
1992,3,11,C,A,5,AR,THO,XYS,FAC,2,na
1992,3,11,C,A,5,CO,ELA,CAR,1,2,na
1992,3,11,C,A,5,HE,LYG,EMB,VIC,1,na
1992,3,11,C,A,6,AR,GNA,1,NYM,3,na
1992,3,11,C,A,6,AR,PHI,THA,COL,3,na
1992,3,11,C,A,6,AR,THO,XYS,FAC,2,na
1992,3,11,C,A,6,HE,THY,1,2,1,na
1992,3,11,C,A,6,OR,RHA,1,NYM,1,na
1992,3,11,C,B,1,AR,LIN,1,VSP,1,na
1992,3,11,C,B,1,AR,THO,XYS,FAC,3,na
1992,3,11,C,B,1,CO,ELA,CAR,1,2,na
1992,3,11,C,B,1,HE,LYG,EMB,VIC,4,na
1992,3,11,C,B,2,AR,GNA,1,NYM,1,na
1992,3,11,C,B,2,AR,PHI,THA,COL,1,na
1992,3,11,C,B,2,AR,PHO,PSI,1,1,na
1992,3,11,C,B,2,AR,THO,XYS,FAC,1,na
1992,3,11,C,B,2,HE,LYG,EMB,VIC,1,na
1992,3,11,C,B,3,HE,LYG,EMB,VIC,2,na
1992,3,11,C,B,4,AR,PHO,PSI,1,1,na
1992,3,11,C,B,4,HE,LYG,EMB,VIC,1,na
1992,3,11,C,B,4,HE,MIR,EUS,1,1,na
1992,3,11,C,B,5,AR,THO,XYS,FAC,1,na
1992,3,11,C,B,5,HE,LYG,EMB,VIC,1,na
1992,3,11,C,B,6,AR,GNA,1,NYM,2,na
1992,3,11,C,B,6,AR,PHI,THA,COL,1,na
1992,3,11,C,B,6,AR,THO,XYS,FAC,2,na
1992,3,11,C,B,6,CO,ELA,CAR,1,4,na
1992,3,11,C,C,1,AR,GNA,HAP,CHA,2,na
