YEAR,DATE,SITE,BLK,PLOT,TRT,SPECIES,NESTS
1995,10/04/95,C,1,1,C,APCO,1
1995,10/04/95,C,1,3,L,APCO,2
1995,10/04/95,C,1,3,L,PODE,3
1995,10/04/95,C,1,4,R,APCO,1
1995,10/04/95,C,2,1,C,PODE,4
1995,10/04/95,C,2,2,L,APCO,1
1995,10/04/95,C,2,3,R,APCO,1
1995,10/04/95,C,2,3,R,PODE,3
1995,10/04/95,C,3,2,R,APCO,3
1995,10/04/95,C,3,2,R,PODE,4
1995,10/04/95,C,3,3,C,PODE,3
1995,10/04/95,C,3,4,L,APCO,1
1995,10/04/95,C,4,1,L,PODE,3
1995,10/04/95,C,4,2,C,APCO,1
1995,10/04/95,C,4,3,R,PODE,3
1995,10/04/95,G,1,1,L,PORU,1
1995,10/04/95,G,1,2,R,NONE,0
1995,10/04/95,G,1,4,C,PORU,1
1995,10/04/95,G,2,1,L,NONE,0
1995,10/04/95,G,2,3,C,PORU,1
1995,10/04/95,G,2,4,R,NONE,0
1995,10/04/95,G,3,2,L,NONE,0
1995,10/04/95,G,3,3,R,NONE,0
1995,10/04/95,G,3,4,C,PORU,1
1995,10/04/95,G,4,1,R,PORU,2
1995,10/04/95,G,4,2,C,PORU,1
1995,10/04/95,G,4,3,L,PORU,2
1996,10/02/96,C,1,1,C,APCO,1
1996,10/02/96,C,1,1,C,PODE,4
1996,10/02/96,C,1,3,L,APCO,1
1996,10/02/96,C,1,3,L,PODE,8
1996,10/02/96,C,1,3,L,POIM,1
1996,10/02/96,C,1,4,R,APCO,1
1996,10/02/96,C,1,4,R,MYDE,2
1996,10/02/96,C,1,4,R,PODE,7
1996,10/02/96,C,2,1,C,PODE,1
1996,10/02/96,C,2,2,L,APCO,1
1996,10/02/96,C,2,2,L,PODE,5
1996,10/02/96,C,2,2,L,POIM,1
1996,10/02/96,C,2,3,R,MYDE,1
1996,10/02/96,C,2,3,R,PODE,2
1996,10/02/96,C,3,2,R,APCO,2
1996,10/02/96,C,3,2,R,MYDE,1
1996,10/02/96,C,3,2,R,PODE,12
1996,10/02/96,C,3,3,C,APCO,1
1996,10/02/96,C,3,3,C,PODE,9
1996,10/02/96,C,3,4,L,APCO,2
1996,10/02/96,C,3,4,L,PODE,5
1996,10/02/96,C,3,4,L,POIM,1
1996,10/02/96,C,4,1,L,APCO,1
1996,10/02/96,C,4,1,L,PODE,3
1996,10/02/96,C,4,1,L,POMA,1
1996,10/02/96,C,4,1,L,PORU,4
1996,10/02/96,C,4,2,C,APCO,1
1996,10/02/96,C,4,2,C,PODE,5
1996,10/02/96,C,4,2,C,PORU,1
1996,10/02/96,C,4,3,R,PODE,1
1996,09/24/96,G,1,1,L,PORU,3
1996,09/24/96,G,1,2,R,NONE,0
1996,09/24/96,G,1,3,C,PORU,3
1996,09/24/96,G,2,1,L,NONE,0
1996,09/24/96,G,2,3,C,PORU,1
1996,09/24/96,G,2,4,R,NONE,0
1996,09/25/96,G,3,2,L,NONE,0
1996,09/25/96,G,3,3,R,PORU,1
1996,09/25/96,G,3,4,C,PORU,1
1996,10/03/96,G,4,1,R,PORU,1
1996,10/01/96,G,4,2,C,PORU,1
1996,10/01/96,G,4,3,L,PORU,4
1997,10/09/97,C,1,1,C,APCO,2
1997,10/09/97,C,1,1,C,MYDE,1
1997,10/09/97,C,1,1,C,PODE,4
1997,10/09/97,C,1,3,L,APCO,2
1997,10/09/97,C,1,3,L,PODE,5
1997,10/09/97,C,1,3,L,POIM,1
1997,10/09/97,C,1,4,R,APCO,1
1997,10/09/97,C,1,4,R,PODE,17
1997,10/09/97,C,2,1,C,PODE,1
1997,10/09/97,C,2,1,C,POIM,1
1997,10/09/97,C,2,2,L,APCO,1
1997,10/09/97,C,2,2,L,PODE,6
1997,10/09/97,C,2,2,L,PORU,1
1997,10/09/97,C,2,3,R,PODE,2
1997,10/09/97,C,2,3,R,POIM,1
1997,10/09/97,C,3,2,R,APCO,4
1997,10/09/97,C,3,2,R,PODE,13
1997,10/09/97,C,3,3,C,APCO,1
1997,10/09/97,C,3,3,C,PODE,6
1997,10/09/97,C,3,4,L,PODE,3
1997,10/09/97,C,4,1,L,APCO,2
1997,10/09/97,C,4,1,L,PODE,3
1997,10/09/97,C,4,1,L,POMA,1
1997,10/09/97,C,4,1,L,PORU,4
1997,10/09/97,C,4,2,C,APCO,1
1997,10/09/97,C,4,2,C,PODE,1
1997,10/09/97,C,4,2,C,PORU,1
1997,10/09/97,C,4,3,R,PODE,2
1997,10/10/97,G,2,4,R,NONE,0
1997,10/10/97,G,2,3,C,NONE,0
1997,10/10/97,G,2,1,L,NONE,0
1997,10/10/97,G,1,4,C,PORU,3
1997,10/10/97,G,1,1,L,PORU,2
1997,10/10/97,G,1,2,R,PODE,1
1997,10/10/97,G,1,2,R,PORU,1
1997,10/10/97,G,3,4,C,PORU,1
1997,10/10/97,G,3,3,R,NONE,0
1997,10/10/97,G,3,2,L,PODE,1
1997,10/10/97,G,4,1,R,PORU,1
1997,10/10/97,G,4,2,C,PORU,1
1997,10/10/97,G,4,3,L,PORU,2
1998,10/01/98,C,1,1,C,APCO,2
1998,10/01/98,C,1,1,C,PODE,4
1998,10/01/98,C,1,3,L,APCO,4
1998,10/01/98,C,1,3,L,MYDE,1
1998,10/01/98,C,1,3,L,PODE,4
1998,10/01/98,C,1,4,R,APCO,1
1998,10/01/98,C,1,4,R,PODE,14
1998,10/01/98,C,2,1,C,APCO,1
1998,10/01/98,C,2,1,C,PODE,2
1998,10/01/98,C,2,2,L,APCO,1
1998,10/01/98,C,2,2,L,PODE,2
1998,10/01/98,C,2,3,R,APCO,1
1998,10/01/98,C,2,3,R,PODE,8
1998,10/01/98,C,3,2,R,APCO,3
1998,10/01/98,C,3,2,R,PODE,10
1998,10/01/98,C,3,3,C,APCO,1
1998,10/01/98,C,3,3,C,PODE,4
1998,10/01/98,C,3,4,L,APCO,1
1998,10/01/98,C,3,4,L,PODE,5
1998,10/01/98,C,4,1,L,APCO,3
1998,10/01/98,C,4,1,L,PODE,3
1998,10/01/98,C,4,1,L,PORU,1
1998,10/01/98,C,4,2,C,APCO,1
1998,10/01/98,C,4,2,C,PODE,4
1998,10/01/98,C,4,2,C,PORU,2
1998,10/01/98,C,4,3,R,MYDE,1
1998,10/01/98,C,4,3,R,PODE,13
1998,10/01/98,C,4,3,R,PORU,1
1998,10/09/98,G,2,4,R,NONE,0
1998,10/09/98,G,2,3,C,NONE,0
1998,10/09/98,G,2,1,L,NONE,0
1998,10/09/98,G,1,4,C,PORU,3
1998,10/09/98,G,1,1,L,PORU,2
1998,10/09/98,G,1,2,R,PODE,1
1998,10/09/98,G,1,2,R,PORU,1
1998,10/09/98,G,3,4,C,PORU,1
1998,10/09/98,G,3,3,R,NONE,0
1998,10/09/98,G,3,2,L,NONE,0
1998,10/09/98,G,4,1,R,PORU,1
1998,10/09/98,G,4,2,C,PORU,1
1998,10/09/98,G,4,3,L,PORU,2
1999,09/28/99,C,1,1,C,APCO,2
1999,09/28/99,C,1,1,C,PODE,2
1999,09/28/99,C,1,3,L,APCO,2
1999,09/28/99,C,1,3,L,MYDE,1
1999,09/28/99,C,1,3,L,PODE,2
1999,09/28/99,C,1,4,R,APCO,1
1999,09/28/99,C,1,4,R,MYDE,1
1999,09/28/99,C,1,4,R,PODE,14
1999,09/28/99,C,2,1,C,PODE,1
1999,09/28/99,C,2,2,L,APCO,1
1999,09/28/99,C,2,2,L,PODE,3
1999,09/28/99,C,2,3,R,APCO,1
1999,09/28/99,C,2,3,R,PODE,8
1999,09/28/99,C,3,2,R,APCO,3
1999,09/28/99,C,3,2,R,POAP,1
1999,09/28/99,C,3,2,R,PODE,10
1999,09/28/99,C,3,3,C,APCO,1
1999,09/28/99,C,3,3,C,PODE,1
1999,09/28/99,C,3,4,L,APCO,1
1999,09/28/99,C,3,4,L,PODE,3
1999,09/28/99,C,4,1,L,APCO,3
1999,09/28/99,C,4,1,L,PODE,1
1999,09/28/99,C,4,1,L,PORU,2
1999,09/28/99,C,4,2,C,APCO,1
1999,09/28/99,C,4,2,C,PORU,1
1999,09/28/99,C,4,3,R,APCO,2
1999,09/28/99,C,4,3,R,PODE,9
1999,09/27/99,G,2,4,R,NONE,0
1999,09/27/99,G,2,3,C,NONE,0
1999,09/27/99,G,2,1,L,NONE,0
1999,09/27/99,G,1,4,C,PORU,3
1999,09/27/99,G,1,2,R,PORU,1
1999,09/27/99,G,1,1,L,PORU,2
1999,09/27/99,G,3,4,C,PORU,1
1999,09/27/99,G,3,3,R,NONE,0
1999,09/27/99,G,3,3,L,PORU,1
1999,09/27/99,G,4,3,L,PORU,2
1999,09/27/99,G,4,1,R,PORU,1
1999,09/27/99,G,4,2,C,PORU,1
2000,10/15/00,C,1,1,C,APCO,2
2000,10/15/00,C,1,1,C,PODE,2
2000,10/15/00,C,1,3,L,APCO,2
2000,10/15/00,C,1,3,L,MYDE,1
2000,10/15/00,C,1,3,L,PODE,2
2000,10/15/00,C,1,4,R,APCO,1
2000,10/15/00,C,1,4,R,MYDE,1
2000,10/15/00,C,1,4,R,PODE,14
2000,10/15/00,C,2,1,C,PODE,1
2000,10/15/00,C,2,2,L,APCO,1
2000,10/15/00,C,2,2,L,PODE,3
2000,10/15/00,C,2,3,R,APCO,1
2000,10/15/00,C,2,3,R,PODE,9
2000,10/15/00,C,3,2,R,APCO,3
2000,10/15/00,C,3,2,R,POAP,1
2000,10/15/00,C,3,2,R,PODE,11
2000,10/15/00,C,3,3,C,APCO,1
2000,10/15/00,C,3,3,C,PODE,1
2000,10/15/00,C,3,4,L,APCO,1
2000,10/15/00,C,3,4,L,PODE,3
2000,10/15/00,C,4,1,L,APCO,3
2000,10/15/00,C,4,1,L,PODE,1
2000,10/15/00,C,4,1,L,PORU,2
2000,10/15/00,C,4,2,C,APCO,1
2000,10/15/00,C,4,2,C,PORU,1
2000,10/15/00,C,4,3,R,APCO,2
2000,10/15/00,C,4,3,R,PODE,10
2000,10/13/00,G,2,4,R,NONE,0
2000,10/13/00,G,2,3,C,NONE,0
2000,10/13/00,G,2,1,L,NONE,0
2000,10/13/00,G,1,4,C,PORU,3
2000,10/13/00,G,1,2,R,PORU,1
2000,10/13/00,G,1,1,L,PORU,2
2000,10/13/00,G,3,4,C,PORU,1
2000,10/13/00,G,3,3,R,NONE,0
2000,10/13/00,G,3,3,L,PORU,1
2000,10/13/00,G,4,3,L,PORU,2
2000,10/13/00,G,4,1,R,PORU,1
2000,10/13/00,G,4,2,C,PORU,1
2001,09/26/01,C,1,1,C,APCO,3
2001,09/26/01,C,1,1,C,PODE,5
2001,09/26/01,C,1,3,L,APCO,4
2001,09/26/01,C,1,3,L,PODE,1
2001,09/26/01,C,1,4,R,APCO,5
2001,09/26/01,C,1,4,R,PODE,10
2001,09/26/01,C,2,1,C,NONE,0
2001,09/26/01,C,2,2,L,PODE,2
2001,09/26/01,C,2,3,R,APCO,1
2001,09/26/01,C,2,3,R,PODE,12
2001,09/26/01,C,3,2,R,APCO,9
2001,09/26/01,C,3,2,R,PODE,13
2001,09/26/01,C,3,3,C,APCO,2
2001,09/26/01,C,3,3,C,PODE,3
2001,09/26/01,C,3,4,L,APCO,1
2001,09/26/01,C,3,4,L,PODE,3
2001,09/26/01,C,4,1,L,APCO,4
2001,09/26/01,C,4,1,L,PODE,4
2001,09/26/01,C,4,1,L,PORU,1
2001,09/26/01,C,4,2,C,APCO,1
2001,09/26/01,C,4,2,C,PODE,1
2001,09/26/01,C,4,2,C,PORU,1
2001,09/26/01,C,4,3,R,APCO,2
2001,09/26/01,C,4,3,R,PODE,12
2001,09/26/01,C,4,3,R,PORU,3
2001,09/24/01,G,1,1,L,PORU,1
2001,09/24/01,G,1,2,R,PORU,2
2001,09/24/01,G,1,4,C,PORU,2
2001,09/24/01,G,2,1,L,NONE,0
2001,09/24/01,G,2,3,C,NONE,0
2001,09/24/01,G,2,4,R,NONE,0
2001,09/24/01,G,3,2,L,NONE,0
2001,09/24/01,G,3,3,R,NONE,0
2001,09/24/01,G,3,4,C,PORU,1
2001,09/24/01,G,4,1,R,PORU,1
