day,month,year,#legs,#observed,density_estimate,s.d.,estimator_used
20,01,1992,ALL,11,0.0177,0.0053,UNIFORM/COSINE
20,04,1992,ALL,20,0.1512,0.0500,HALFNORM/COSINE
22,07,1992,ALL,12,0.0423,0.0143,UNIFORM/COSINE
26,10,1992,ALL,18,0.0321,0.0076,UNIFORM
12,01,1993,ALL,21,0.0341,0.0074,UNIFORM
20,04,1993,MEAN,47,0.6033,0.0886,HALFNORM/COSINE
20,07,1993,MEAN,35,0.2717,0.0745,HALFNORM/COSINE
27,10,1993,MEAN,31,0.1776,0.0459,HALFNORM/COSINE
26,01,1994,ALL,13,0.0244,0.0068,UNIFORM
19,04,1994,MEAN,54,0.2278,0.0791,HALFNORM/COSINE
01,08,1994,ALL,22(part),0.0898,0.0191,UNIFORM/COSINE
18,10,1994,ALL,21,0.1571,0.0450,UNIFORM/COSINE
23,01,1995,ALL,17,0.0664,0.0161,UNIFORM
24,04,1995,MEAN,57,0.3294,0.0572,UNIFORM/COSINE
08,08,1995,MEAN,43,0.3941,0.0816,HALFNORM/COSINE
17,10,1995,MEAN,51,0.1921,0.0443,UNIFORM/COSINE
29,01,1996,ALL,18,0.0338,0.0080,UNIFORM/COSINE
07,05,1996,ALL,44,0.1810,0.0320,UNIFORM/COSINE
10,07,1996,ALL,31,0.1020,0.0183,UNIFORM/COSINE
23,10,1996,ALL,27,0.0993,0.0200,UNIFORM/COSINE
28,01,1997,ALL,16,0.0532,0.0183,UNIFORM/COSINE
06,05,1997,ALL,46,0.3249,0.0720,HALFNORM/COSINE
04,08,1997,ALL,27,0.1094,0.0239,UNIFORM/COSINE
27,10,1997,ALL,41,0.1844,0.0423,UNIFORM/COSINE
13,01,1998,ALL,22,0.0551,0.0158,UNIFORM/COSINE
28,04,1998,ALL,40,0.3677,0.0753,UNIFORM/COSINE
06,08,1998,ALL,46,0.1539,0.0314,UNIFORM/COSINE
05,10,1998,ALL,22,0.1053,0.0273,UNIFORM/COSINE
01,02,1999,ALL,15,0.021,0.005,UNIFORM/COSINE
06,05,1999,ALL,63,0.379,0.068,UNIFORM/COSINE
27,07,1999,ALL,42,0.118,0.024,UNIFORM/COSINE
25,10,1999,ALL,14,0.032,0.008,UNIFORM/KEY
20,01,2000,ALL,3,0.004,0.000,N/A
13,04,2000,ALL,39,0.135,0.026,UNIFORM/COSINE
17,07,2000,ALL,31,0.153,0.042,UNIFORM/COSINE
16,10,2000,ALL,18,0.046,0.014,UNIFORM/COSINE
5,02,2001,ALL,6,0.008,0.000,N/A
9,04,2001,ALL,20,0.120,0.040,UNIFORM/COSINE
5,07,2001,ALL,20,0.060,0.017,UNIFORM/COSINE
1,10,2001,ALL,19,0.044,0.013,UNIFORM/COSINE
28,01,2002,ALL,12,0.026,0.007,UNIFORM/KEY
30,04,2002,ALL,41,0.152,0.029,UNIFORM/COSINE
23,07,2002,ALL,26,0.037,0.007,UNIFORM/KEY
