year,season,date,site,treatment,quad,species,obs,cover,height,count,comment
2004,2,5/3/2004,G,B,1,BOER4,1,0.25,3,1,NA
2004,2,5/3/2004,G,B,1,BOER4,2,0.1,3,3,NA
2004,2,5/3/2004,G,B,1,BOER4,3,0.05,2,2,NA
2004,2,5/3/2004,G,B,1,BOER4,4,0.01,2,11,NA
2004,2,5/3/2004,G,B,1,CRCR3,1,3,13,1,NA
2004,2,5/3/2004,G,B,1,CRCR3,2,1,7,1,NA
2004,2,5/3/2004,G,B,1,CRCR3,3,1.5,9,1,NA
2004,2,5/3/2004,G,B,1,CRCR3,4,0.5,7,2,NA
2004,2,5/3/2004,G,B,1,CRCR3,5,0.25,6,3,NA
2004,2,5/3/2004,G,B,1,GUSA2,1,0.1,7,1,NA
2004,2,5/3/2004,G,B,1,GUSA2,2,0.05,4,1,NA
2004,2,5/3/2004,G,B,1,HYFIC,1,0.25,6,1,NA
2004,2,5/3/2004,G,B,1,PHIN,1,1,12,3,NA
2004,2,5/3/2004,G,B,1,PHIN,2,0.1,3,2,NA
2004,2,5/3/2004,G,B,2,BOER4,1,0.1,3,2,NA
2004,2,5/3/2004,G,B,2,BOER4,2,0.05,2,3,NA
2004,2,5/3/2004,G,B,2,CRCR3,1,1.5,11,1,NA
2004,2,5/3/2004,G,B,2,CRCR3,2,2,11,1,NA
2004,2,5/3/2004,G,B,2,CRCR3,3,0.5,8,1,NA
2004,2,5/3/2004,G,B,2,CYACF,1,1.5,7,1,NA
2004,2,5/3/2004,G,B,2,CYACF,2,0.1,4,1,NA
2004,2,5/3/2004,G,B,2,DEPI,1,0.5,11,1,NA
2004,2,5/3/2004,G,B,2,MAFE,1,1.5,6,1,NA
2004,2,5/3/2004,G,B,2,OECA10,1,2,8,1,NA
2004,2,5/3/2004,G,B,2,OECA10,2,1.5,5,1,NA
2004,2,5/3/2004,G,B,2,OECA10,3,0.1,4,1,NA
2004,2,5/3/2004,G,B,2,SOEL,1,0.25,3,2,NA
2004,2,5/3/2004,G,B,2,SOEL,2,0.1,3,2,NA
2004,2,5/3/2004,G,B,3,BOER4,1,0.1,4,2,NA
2004,2,5/3/2004,G,B,3,BOER4,2,0.05,3,2,NA
2004,2,5/3/2004,G,B,3,CRCR3,1,2,12,1,NA
2004,2,5/3/2004,G,B,3,CRCR3,2,1.5,11,1,NA
2004,2,5/3/2004,G,B,3,CRCR3,3,1,10,6,NA
2004,2,5/3/2004,G,B,3,CRCR3,4,0.75,10,1,NA
2004,2,5/3/2004,G,B,3,CRCR3,5,0.1,6,1,NA
2004,2,5/3/2004,G,B,3,CRCR3,6,0.05,4,2,NA
2004,2,5/3/2004,G,B,3,CYACF,1,1,6,1,NA
2004,2,5/3/2004,G,B,3,OECA10,1,4,11,1,NA
2004,2,5/3/2004,G,B,3,OECA10,2,2,8,1,NA
2004,2,5/3/2004,G,B,3,OECA10,3,0.25,5,3,NA
2004,2,5/3/2004,G,B,3,PHIN,1,1.5,11,1,NA
2004,2,5/3/2004,G,B,3,PHIN,2,0.5,10,1,NA
2004,2,5/3/2004,G,B,3,PLPA2,1,0.05,4,2,NA
2004,2,5/3/2004,G,B,3,SATR12,1,0.1,5,1,NA
2004,2,5/3/2004,G,B,3,SOEL,1,0.25,4,1,NA
2004,2,5/3/2004,G,B,3,SPCR,1,0.5,6,1,WAS_SPCR
2004,2,5/3/2004,G,B,3,SPCR,2,0.1,3,3,WAS_SPCR
2004,2,5/3/2004,G,B,3,SPHA,1,1,7,1,NA
2004,2,5/3/2004,G,B,4,ASNU4,1,0.1,4,1,NA
2004,2,5/3/2004,G,B,4,BOER4,1,0.05,2,6,NA
2004,2,5/3/2004,G,B,4,BOER4,2,0.1,3,1,NA
2004,2,5/3/2004,G,B,4,BOER4,3,0.01,2,2,NA
2004,2,5/3/2004,G,B,4,CRCR3,1,2,12,1,NA
2004,2,5/3/2004,G,B,4,CRCR3,2,1,9,7,NA
2004,2,5/3/2004,G,B,4,CRCR3,3,1.5,9,2,NA
2004,2,5/3/2004,G,B,4,CRCR3,4,0.5,7,3,NA
2004,2,5/3/2004,G,B,4,CYACF,1,0.5,3,1,NA
2004,2,5/3/2004,G,B,4,OECA10,1,1,9,1,NA
2004,2,5/3/2004,G,B,4,OECA10,2,4,7,1,NA
2004,2,5/3/2004,G,B,4,SOEL,1,0.25,4,2,NA
2004,2,5/3/2004,G,B,4,SOEL,2,0.5,5,1,NA
2004,2,5/3/2004,G,B,4,SPCR,1,0.05,4,1,WAS_SPCR
2004,2,5/3/2004,G,B,4,SPHA,1,0.1,4,1,NA
2004,2,5/3/2004,G,B,5,BOER4,1,0.05,4,3,NA
2004,2,5/3/2004,G,B,5,BOER4,2,0.01,2,1,NA
2004,2,5/3/2004,G,B,5,CRCR3,1,3.5,10,2,NA
2004,2,5/3/2004,G,B,5,CRCR3,2,3,10,1,NA
2004,2,5/3/2004,G,B,5,CRCR3,3,2,9,1,NA
2004,2,5/3/2004,G,B,5,CRCR3,4,1.5,9,3,NA
2004,2,5/3/2004,G,B,5,CRCR3,5,0.5,7,7,NA
2004,2,5/3/2004,G,B,5,CRCR3,6,0.25,5,2,NA
2004,2,5/3/2004,G,B,5,CRCR3,7,0.05,3,2,NA
2004,2,5/3/2004,G,B,5,OECA10,1,0.5,6,2,NA
2004,2,5/3/2004,G,B,5,SPCR,1,0.75,7,1,WAS_SPCR
2004,2,5/3/2004,G,B,5,SPPO6,1,2.5,17,1,NA
2004,2,5/3/2004,G,B,6,BOER4,1,0.25,4,2,NA
2004,2,5/3/2004,G,B,6,BOER4,2,0.5,4,2,NA
2004,2,5/3/2004,G,B,6,BOER4,3,0.1,3,2,NA
2004,2,5/3/2004,G,B,6,CRCR3,1,0.5,6,4,NA
2004,2,5/3/2004,G,B,6,CRCR3,2,0.25,5,3,NA
2004,2,5/3/2004,G,B,6,DEPI,1,0.25,13,1,NA
2004,2,5/3/2004,G,B,6,DEPI,2,0.1,5,1,NA
2004,2,5/3/2004,G,B,6,GUSA2,1,0.05,3,1,NA
2004,2,5/3/2004,G,B,6,HYFIC,1,1,8,1,NA
2004,2,5/3/2004,G,B,6,OECA10,1,10,9,1,NA
2004,2,5/3/2004,G,B,6,OECA10,2,6,8,1,NA
