Code,Growth,SppType,Season,Month,Year,Site,Plot,Quad,Cover
PLPA2,A,H,1,May,2004,G,1,6,10
CRCR3,A,H,1,May,2004,G,1,8,5
PLPA2,A,H,1,May,2004,G,1,8,15
ASNU4,A,H,1,May,2004,G,1,10,1
PLPA2,A,H,1,May,2004,G,1,10,2
CRCR3,A,H,1,May,2004,G,1,12,1
ASNU4,A,H,1,May,2004,G,1,12,2
PLPA2,A,H,1,May,2004,G,1,12,15
SPHA,P,H,1,May,2004,G,1,18,1
ASNU4,A,H,1,May,2004,G,1,18,2
CRCR3,A,H,1,May,2004,G,1,18,2
PLPA2,A,H,1,May,2004,G,1,18,20
DEPI,A,H,1,May,2004,G,1,20,1
ERRO2,A,H,1,May,2004,G,1,20,1
CRCR3,A,H,1,May,2004,G,1,20,3
PLPA2,A,H,1,May,2004,G,1,20,15
OECAC2,P,H,1,May,2004,G,1,22,1
DEPI,A,H,1,May,2004,G,1,22,2
ASNU4,A,H,1,May,2004,G,1,22,3
CRCR3,A,H,1,May,2004,G,1,22,5
PLPA2,A,H,1,May,2004,G,1,22,15
ASNU4,A,H,1,May,2004,G,1,24,1
PLPA2,A,H,1,May,2004,G,1,24,7
ASNU4,A,H,1,May,2004,G,1,30,1
CHLA10,A,H,1,May,2004,G,1,30,3
PLPA2,A,H,1,May,2004,G,1,30,5
GUSA2,P,S,1,May,2004,G,1,30,10
CRCR3,A,H,1,May,2004,G,1,32,1
GUSA2,P,S,1,May,2004,G,1,32,1
OECAC2,P,H,1,May,2004,G,1,32,1
PLPA2,A,H,1,May,2004,G,1,32,15
SOEL,P,H,1,May,2004,G,1,34,1
ASNU4,A,H,1,May,2004,G,1,34,2
GACO5,P,H,1,May,2004,G,1,34,4
PLPA2,A,H,1,May,2004,G,1,34,10
SOEL,P,H,1,May,2004,G,1,36,1
ASNU4,A,H,1,May,2004,G,1,36,2
SPHA,P,H,1,May,2004,G,1,36,2
PLPA2,A,H,1,May,2004,G,1,36,10
ASNU4,A,H,1,May,2004,G,1,42,1
CRCR3,A,H,1,May,2004,G,1,42,1
NONE,NA,NA,1,May,2004,G,1,44,0
PLPA2,A,H,1,May,2004,G,1,42,10
ASNU4,A,H,1,May,2004,G,1,46,1
CHLA10,A,H,1,May,2004,G,1,46,3
CRCR3,A,H,1,May,2004,G,1,46,4
PLPA2,A,H,1,May,2004,G,1,46,10
ASNU4,A,H,1,May,2004,G,1,48,2
PLPA2,A,H,1,May,2004,G,1,48,40
ALMA4,P,H,1,May,2004,G,1,54,1
ASNU4,A,H,1,May,2004,G,1,54,2
CHLA10,A,H,1,May,2004,G,1,54,2
PLPA2,A,H,1,May,2004,G,1,54,2
CRCR3,A,H,1,May,2004,G,1,56,1
ASNU4,A,H,1,May,2004,G,1,56,1
PLPA2,A,H,1,May,2004,G,1,56,5
ASNU4,A,H,1,May,2004,G,1,58,2
CRCR3,A,H,1,May,2004,G,1,58,2
PLPA2,A,H,1,May,2004,G,1,58,5
CHLA10,A,H,1,May,2004,G,1,58,20
ASNU4,A,H,1,May,2004,G,1,60,3
PLPA2,A,H,1,May,2004,G,1,60,15
ERRO2,A,H,1,May,2004,G,1,66,1
ASNU4,A,H,1,May,2004,G,1,66,2
PLPA2,A,H,1,May,2004,G,1,66,10
APRAH,P,H,1,May,2004,G,1,68,6
PLPA2,A,H,1,May,2004,G,1,68,8
CRCR3,A,H,1,May,2004,G,1,68,10
CRCR3,A,H,1,May,2004,G,1,70,2
HOGL2,P,H,1,May,2004,G,1,70,2
SPHA,P,H,1,May,2004,G,1,70,2
PLPA2,A,H,1,May,2004,G,1,70,15
HOGL2,P,H,1,May,2004,G,1,72,2
PLPA2,A,H,1,May,2004,G,1,72,3
ZIGR,P,H,1,May,2004,G,1,72,6
CRCR3,A,H,1,May,2004,G,1,78,3
ASNU4,A,H,1,May,2004,G,1,78,5
PLPA2,A,H,1,May,2004,G,1,78,20
ASNU4,A,H,1,May,2004,G,1,80,2
PLPA2,A,H,1,May,2004,G,1,80,3
CRCR3,A,H,1,May,2004,G,1,80,3
GUSA2,P,S,1,May,2004,G,1,80,5
HOGL2,P,H,1,May,2004,G,1,80,4
APRAH,P,H,1,May,2004,G,1,82,2
ASNU4,A,H,1,May,2004,G,1,82,1
PLPA2,A,H,1,May,2004,G,1,82,1
CRCR3,A,H,1,May,2004,G,1,82,1
SOEL,P,H,1,May,2004,G,1,82,2
GUSA2,P,S,1,May,2004,G,1,84,5
ASNU4,A,H,1,May,2004,G,1,84,2
PLPA2,A,H,1,May,2004,G,1,84,10
GUSA2,P,S,1,May,2004,G,1,90,1
OECAC2,P,H,1,May,2004,G,1,90,1
CRCR3,A,H,1,May,2004,G,1,90,2
ASNU4,A,H,1,May,2004,G,1,90,3
APRAH,P,H,1,May,2004,G,1,90,5
PLPA2,A,H,1,May,2004,G,1,90,8
GUSA2,P,S,1,May,2004,G,1,92,3
ASNU4,A,H,1,May,2004,G,1,92,5
SPHA,P,H,1,May,2004,G,1,92,10
PLPA2,A,H,1,May,2004,G,1,92,10
ASNU4,A,H,1,May,2004,G,1,94,2
CRCR3,A,H,1,May,2004,G,1,94,2
PLPA2,A,H,1,May,2004,G,1,94,20
CRCR3,A,H,1,May,2004,G,1,96,2
PLPA2,A,H,1,May,2004,G,1,96,25
ASNU4,A,H,1,May,2004,G,1,102,1
CRCR3,A,H,1,May,2004,G,1,102,1
PLPA2,A,H,1,May,2004,G,1,102,3
CHLA10,A,H,1,May,2004,G,1,104,1
CRCR3,A,H,1,May,2004,G,1,104,2
ASNU4,A,H,1,May,2004,G,1,104,8
PLPA2,A,H,1,May,2004,G,1,104,20
CRCR3,A,H,1,May,2004,G,1,106,1
SPHA,P,H,1,May,2004,G,1,106,1
PLPA2,A,H,1,May,2004,G,1,106,5
NONE,NA,NA,1,May,2004,G,1,108,0
CRCR3,A,H,1,May,2004,G,1,114,2
PLPA2,A,H,1,May,2004,G,1,114,2
SPHA,P,H,1,May,2004,G,1,114,4
CRCR3,A,H,1,May,2004,G,1,116,1
APRAH,P,H,1,May,2004,G,1,116,2
ASNU4,A,H,1,May,2004,G,1,116,2
PLPA2,A,H,1,May,2004,G,1,116,3
CRCR3,A,H,1,May,2004,G,1,118,1
SPHA,P,H,1,May,2004,G,1,118,1
PLPA2,A,H,1,May,2004,G,1,118,10
PLPA2,A,H,1,May,2004,G,1,120,15
CHLA10,A,H,1,May,2004,G,1,126,2
ASNU4,A,H,1,May,2004,G,1,126,4
PLPA2,A,H,1,May,2004,G,1,126,15
ASNU4,A,H,1,May,2004,G,1,128,1
CHLA10,A,H,1,May,2004,G,1,128,1
PLPA2,A,H,1,May,2004,G,1,128,4
CRCR3,A,H,1,May,2004,G,1,130,1
PLPA2,A,H,1,May,2004,G,1,130,15
SOEL,P,H,1,May,2004,G,1,132,1
PLPA2,A,H,1,May,2004,G,1,132,4
ASNU4,A,H,1,May,2004,G,1,138,2
GUSA2,P,S,1,May,2004,G,1,138,5
PLPA2,A,H,1,May,2004,G,1,138,8
SPHA,P,H,1,May,2004,G,1,138,10
CRCR3,A,H,1,May,2004,G,1,140,1
GUSA2,P,S,1,May,2004,G,1,140,2
ASNU4,A,H,1,May,2004,G,1,140,3
SOEL,P,H,1,May,2004,G,1,140,4
PLPA2,A,H,1,May,2004,G,1,140,15
HYFIC,P,H,1,May,2004,G,1,142,1
ASNU4,A,H,1,May,2004,G,1,142,2
CRCR3,A,H,1,May,2004,G,1,142,2
PLPA2,A,H,1,May,2004,G,1,142,25
ASNU4,A,H,1,May,2004,G,1,144,1
APRAH,P,H,1,May,2004,G,1,144,2
CRCR3,A,H,1,May,2004,G,1,144,3
PLPA2,A,H,1,May,2004,G,1,144,10
APRAH,P,H,1,May,2004,G,2,6,1
SOEL,P,H,1,May,2004,G,2,6,1
CRCR3,A,H,1,May,2004,G,2,6,2
ASNU4,A,H,1,May,2004,G,2,6,5
PLPA2,A,H,1,May,2004,G,2,6,7
