year	season	site	web	plot	quad	species	obs	cover	height	count	comments	phen
1999	1	J	1	E	1	BOCU	1	3	7	1	NA	V
1999	1	J	1	E	1	BOCU	2	1.5	8	1	NA	V
1999	1	J	1	E	1	BOCU	3	2	7	1	NA	V
1999	1	J	1	E	1	BOCU	4	1.5	8	1	NA	V
1999	1	J	1	E	1	BOER4	1	1	9	1	NA	V
1999	1	J	1	E	1	BOHI2	1	3	8	1	NA	V
1999	1	J	1	E	1	BOHI2	2	2.5	6	1	NA	V
1999	1	J	1	E	1	BOHI2	3	1	8	1	NA	V
1999	1	J	1	E	1	BOHI2	4	2	8	1	NA	V
1999	1	J	1	E	1	BOHI2	5	2.5	8	1	NA	V
1999	1	J	1	E	1	BOHI2	6	2	8	1	NA	V
1999	1	J	1	E	1	BOHI2	7	1	6	1	NA	V
1999	1	J	1	E	1	BOHI2	8	1.5	7	1	NA	V
1999	1	J	1	E	1	BOHI2	9	1	7	1	NA	V
1999	1	J	1	E	2	BOGR2	1	4	9	1	NA	V
1999	1	J	1	E	2	BOGR2	2	5	12	1	NA	V
1999	1	J	1	E	2	BOGR2	3	3	10	1	NA	V
1999	1	J	1	E	2	BOGR2	4	2	10	1	NA	V
1999	1	J	1	E	2	BOHI2	1	3	7	1	NA	V
1999	1	J	1	E	2	BOHI2	2	1.5	6	1	NA	V
1999	1	J	1	E	2	BOHI2	3	2	8	1	NA	V
1999	1	J	1	E	2	BOHI2	4	2.5	8	1	NA	V
1999	1	J	1	E	2	BOHI2	5	3	11	1	NA	V
1999	1	J	1	E	2	BOHI2	6	0.75	8	1	NA	V
1999	1	J	1	E	2	ECIN2	1	6	8	1	NA	V
1999	1	J	1	E	2	KRLA2	1	2	19	1	NA	V
1999	1	J	1	E	3	BOGR2	1	2.5	12	1	NA	V
1999	1	J	1	E	3	BOGR2	2	1.5	8	1	NA	V
1999	1	J	1	E	3	BOGR2	3	0.5	12	1	NA	V
1999	1	J	1	E	3	BOHI2	1	1.5	9	1	NA	V
1999	1	J	1	E	3	BOHI2	10	1.5	10	1	NA	V
1999	1	J	1	E	3	BOHI2	11	2	14	1	NA	V
1999	1	J	1	E	3	BOHI2	12	0.5	12	1	NA	V
1999	1	J	1	E	3	BOHI2	2	1	9	1	NA	V
1999	1	J	1	E	3	BOHI2	3	3	9	1	NA	V
1999	1	J	1	E	3	BOHI2	4	1.5	11	1	NA	V
1999	1	J	1	E	3	BOHI2	5	0.5	8	1	NA	V
1999	1	J	1	E	3	BOHI2	6	2	10	1	NA	V
1999	1	J	1	E	3	BOHI2	7	2	8	1	NA	V
1999	1	J	1	E	3	BOHI2	8	4	10	1	NA	V
1999	1	J	1	E	3	BOHI2	9	1	9	1	NA	V
1999	1	J	1	E	4	ARDI5	1	1	10	2	NA	V
1999	1	J	1	E	4	ARDI5	2	1.5	12	2	NA	V
1999	1	J	1	E	4	BOHI2	1	1	8	1	NA	V
1999	1	J	1	E	4	BOHI2	2	0.75	7	1	NA	V
1999	1	J	1	E	4	BOHI2	3	0.5	3	3	NA	V
1999	1	J	1	E	4	BOHI2	4	3	6	1	NA	V
1999	1	J	1	E	4	BOHI2	5	2.5	8	1	NA	V
1999	1	J	1	E	4	BOHI2	6	3	7	1	NA	V
1999	1	J	1	E	4	MUTO2	1	0.75	6	1	NA	V
1999	1	J	1	E	4	MUTO2	2	0.05	4	1	NA	V
1999	1	J	1	N	1	BOER4	1	0.5	12	13	NA	V
1999	1	J	1	N	1	BOER4	2	0.25	9	4	NA	V
1999	1	J	1	N	1	BOGR2	1	0.5	13	2	NA	V
1999	1	J	1	N	1	BOGR2	2	0.1	7	2	NA	V
1999	1	J	1	N	1	BOHI2	1	0.25	7	2	NA	V
1999	1	J	1	N	1	BOHI2	2	0.5	13	2	NA	V
1999	1	J	1	N	2	BOER4	1	0.5	11	1	NA	V
1999	1	J	1	N	2	BOER4	2	0.25	12	7	NA	V
1999	1	J	1	N	2	BOER4	3	0.1	11	3	NA	V
1999	1	J	1	N	2	BOER4	4	1	15	2	NA	V
1999	1	J	1	N	2	BOGR2	1	0.5	12	4	NA	V
1999	1	J	1	N	2	BOGR2	2	0.25	10	10	NA	V
1999	1	J	1	N	2	BOGR2	3	0.1	6	13	NA	V
1999	1	J	1	N	2	BOHI2	1	0.25	11	1	NA	V
1999	1	J	1	N	2	GACO5	1	0.1	4	1	NA	V
1999	1	J	1	N	3	BOER4	1	3	12	1	NA	V
1999	1	J	1	N	3	BOER4	2	2.5	7	1	NA	V
1999	1	J	1	N	3	BOER4	3	3	14	1	NA	V
1999	1	J	1	N	3	BOER4	4	4	12	1	NA	V
1999	1	J	1	N	3	BOHI2	1	2	9	1	NA	V
1999	1	J	1	N	3	BOHI2	2	1.5	11	1	NA	V
1999	1	J	1	N	3	QUGR3	1	6	81	1	WAS_QUTU2	V
1999	1	J	1	N	3	QUGR3	2	8	38	1	WAS_QUTU2	V
1999	1	J	1	N	3	QUGR3	3	5	33	1	WAS_QUTU2	V
1999	1	J	1	N	3	QUGR3	4	2	38	1	WAS_QUTU2	V
1999	1	J	1	N	4	BOER4	1	1.5	10	1	NA	V
1999	1	J	1	N	4	BOER4	2	3	11	1	NA	V
1999	1	J	1	N	4	BOHI2	1	0.5	9	1	NA	V
1999	1	J	1	N	4	BOHI2	2	1.5	12	1	NA	V
1999	1	J	1	N	4	BOHI2	3	4	8	1	NA	V
1999	1	J	1	N	4	BOHI2	4	3	6	1	NA	V
1999	1	J	1	N	4	BOHI2	5	2	3	1	NA	V
1999	1	J	1	N	4	BOHI2	6	1.5	5	1	NA	V
1999	1	J	1	S	1	BOER4	1	5	18	1	NA	V
1999	1	J	1	S	1	BOER4	2	9	20	1	NA	V
1999	1	J	1	S	1	BOER4	3	4	17	2	NA	V
1999	1	J	1	S	1	BOER4	4	2	18	2	NA	V
1999	1	J	1	S	1	BOHI2	1	2	18	2	NA	V
1999	1	J	1	S	1	BOHI2	2	1	16	2	NA	V
1999	1	J	1	S	1	DAJA	1	0.5	7	1	NA	V
1999	1	J	1	S	1	DAPU7	1	0.1	4	3	NA	V
1999	1	J	1	S	1	GUSA2	1	1	19	1	NA	V
1999	1	J	1	S	1	GUSA2	2	0.1	6	1	NA	V
1999	1	J	1	S	1	MUTO2	1	0.25	6	1	NA	V
1999	1	J	1	S	1	SPCR	1	3	22	1	WAS_SPCR	V
1999	1	J	1	S	2	BOER4	1	2	16	4	NA	V
1999	1	J	1	S	2	BOHI2	1	1	16	3	NA	V
1999	1	J	1	S	2	DAPU7	1	0.1	4	2	NA	V
1999	1	J	1	S	2	DAPU7	2	0.25	4	1	NA	V
1999	1	J	1	S	2	DEPI	1	0.05	4	3	NA	V
1999	1	J	1	S	2	MAPIP	1	0.05	2	4	NA	V
1999	1	J	1	S	2	MAPIP	2	0.1	4	1	NA	V
1999	1	J	1	S	2	SPCR	1	0.5	19	13	WAS_SPCR	V
1999	1	J	1	S	3	ARDI5	1	0.75	7	1	NA	V
1999	1	J	1	S	3	BOCU	1	0.75	8	1	NA	V
1999	1	J	1	S	3	BOGR2	1	1	6	3	NA	V
1999	1	J	1	S	3	BOGR2	2	1.5	7	1	NA	V
1999	1	J	1	S	3	BOGR2	3	2	8	1	NA	V
1999	1	J	1	S	3	DANAN	1	0.03	1	1	NA	V
1999	1	J	1	S	3	DAPU7	1	0.4	8	1	NA	V
1999	1	J	1	S	3	MUTO2	1	0.5	6	1	NA	V
1999	1	J	1	S	3	SPCR	1	0.5	5	2	WAS_SPCR	V
1999	1	J	1	S	4	BOGR2	1	1.5	8	1	NA	V
1999	1	J	1	S	4	BOGR2	2	3	10	1	NA	V
1999	1	J	1	S	4	BOHI2	1	2	14	1	NA	V
1999	1	J	1	S	4	BOHI2	2	3	12	1	NA	V
1999	1	J	1	S	4	BOHI2	3	0.5	9	3	NA	V
1999	1	J	1	S	4	DAPU7	1	0.5	2	3	NA	V
1999	1	J	1	S	4	DAPU7	2	0.25	2	5	NA	V
1999	1	J	1	S	4	DAPU7	3	0.1	2	4	NA	V
1999	1	J	1	S	4	GUSA2	1	10	26	1	NA	V
1999	1	J	1	S	4	MUTO2	1	1.5	6	1	NA	V
1999	1	J	1	W	1	BOER4	1	2	18	5	NA	V
1999	1	J	1	W	1	BOER4	2	1	18	4	NA	V
1999	1	J	1	W	1	BOER4	3	0.25	8	5	NA	V
1999	1	J	1	W	1	BOHI2	1	1	9	7	NA	V
1999	1	J	1	W	1	BOHI2	2	0.5	9	3	NA	V
1999	1	J	1	W	1	ECIN2	1	3	3	1	NA	V
1999	1	J	1	W	2	BOER4	1	2	19	3	NA	V
1999	1	J	1	W	2	BOER4	2	6	19	2	NA	V
1999	1	J	1	W	2	BOER4	3	3	19	2	NA	V
1999	1	J	1	W	2	BOER4	4	0.2	9	14	NA	V
1999	1	J	1	W	2	BOHI2	1	0.25	8	7	NA	V
1999	1	J	1	W	2	BOHI2	2	0.5	8	4	NA	V
1999	1	J	1	W	2	DAJA	1	0.25	6	2	NA	V
1999	1	J	1	W	3	BOCU	1	0.5	23	1	NA	V
1999	1	J	1	W	3	BOER4	1	4	16	1	NA	V
1999	1	J	1	W	3	BOER4	2	1	15	9	NA	V
1999	1	J	1	W	3	BOER4	3	0.25	9	5	NA	V
1999	1	J	1	W	3	BOGR2	1	0.5	10	2	NA	V
1999	1	J	1	W	3	BOHI2	1	0.5	10	7	NA	V
1999	1	J	1	W	3	BOHI2	2	1	10	2	NA	V
1999	1	J	1	W	3	DAJA	1	0.1	4	3	NA	V
1999	1	J	1	W	4	GUSA2	1	1	24	4	NA	V
1999	1	J	1	W	4	GUSA2	2	2	31	2	NA	V
1999	1	J	1	W	4	GUSA2	3	0.1	8	3	NA	V
1999	1	J	2	E	1	BOER4	1	2	1	0	NA	NA
1999	1	J	2	E	1	BOGR2	1	5	9	1	NA	V
1999	1	J	2	E	1	BOGR2	2	1	5	1	NA	V
1999	1	J	2	E	1	BOGR2	3	0.25	5	2	NA	V
1999	1	J	2	E	1	BOGR2	4	2	7	1	NA	V
1999	1	J	2	E	1	BOGR2	5	3	9	2	NA	V
1999	1	J	2	E	1	BOGR2	6	5	9	2	NA	V
1999	1	J	2	E	1	BOGR2	7	1.5	9	1	NA	V
1999	1	J	2	E	1	GUSA2	1	1.5	15	1	NA	V
1999	1	J	2	E	1	GUSA2	2	4.5	16	1	NA	V
1999	1	J	2	E	2	BOHI2	1	1.5	10	1	NA	V
1999	1	J	2	E	2	BOHI2	2	2	11	1	NA	V
1999	1	J	2	E	2	BOHI2	3	4	7	2	NA	V
1999	1	J	2	E	2	BOHI2	4	2	9	1	NA	V
1999	1	J	2	E	2	BOHI2	5	3	4	1	NA	V
1999	1	J	2	E	2	BOHI2	6	3	8	1	NA	V
1999	1	J	2	E	2	BOHI2	7	2	6	1	NA	V
1999	1	J	2	E	2	FAPA	1	0.25	7	1	NA	V
1999	1	J	2	E	2	FAPA	2	0.05	6	1	NA	V
1999	1	J	2	E	2	LYPH	1	1	10	1	NA	V
1999	1	J	2	E	2	MUMO	1	3	13	1	NA	V
1999	1	J	2	E	2	MUTO2	1	3	3	1	NA	V
1999	1	J	2	E	3	BOGR2	1	0.3	3	1	NA	V
1999	1	J	2	E	3	FAPA	1	0.75	4	1	NA	V
1999	1	J	2	E	3	LYPH	1	0.5	5	1	NA	V
1999	1	J	2	E	3	MUMO	1	4	17	1	NA	V
1999	1	J	2	E	3	MUMO	2	1	9	3	NA	V
1999	1	J	2	E	3	MUMO	3	2	12	1	NA	V
1999	1	J	2	E	3	MUMO	4	0.75	9	1	NA	V
1999	1	J	2	E	3	MUMO	5	2	8	1	NA	V
1999	1	J	2	E	3	MUMO	6	5	13	1	NA	V
1999	1	J	2	E	3	OPPH	1	14	12	2	NA	V
1999	1	J	2	E	4	BOGR2	1	5	5	5	NA	V
1999	1	J	2	E	4	BOGR2	2	3	6	4	NA	V
1999	1	J	2	E	4	BOGR2	3	2	4	3	NA	V
1999	1	J	2	E	4	LYPH	1	0.5	8	1	NA	V
1999	1	J	2	E	4	MUMO	1	3	14	1	NA	V
1999	1	J	2	E	4	MUMO	2	0.5	9	1	NA	V
1999	1	J	2	N	1	BOER4	1	2	18	2	NA	V
1999	1	J	2	N	1	BOER4	2	1	15	1	NA	V
1999	1	J	2	N	1	BOER4	3	0.25	17	1	NA	V
1999	1	J	2	N	1	BOGR2	1	0.75	15	1	NA	V
1999	1	J	2	N	1	BOGR2	2	1	15	13	NA	V
1999	1	J	2	N	1	BOHI2	1	1	19	3	NA	V
1999	1	J	2	N	1	BOHI2	2	0.5	16	4	NA	V
1999	1	J	2	N	1	BOHI2	3	1	15	1	NA	V
1999	1	J	2	N	1	CYIMI	1	3	18	3	NA	V
1999	1	J	2	N	1	CYIMI	2	3	16	1	NA	V
1999	1	J	2	N	1	CYIMI	3	3	20	3	NA	V
1999	1	J	2	N	1	CYIMI	4	3	11	3	NA	V
1999	1	J	2	N	1	CYIMI	5	3	10	3	NA	V
1999	1	J	2	N	1	CYIMI	6	3	9	1	NA	V
1999	1	J	2	N	2	BOER4	1	0.5	12	3	NA	V
1999	1	J	2	N	2	MUPO2	1	0.5	10	1	NA	V
1999	1	J	2	N	2	MUTO2	1	0.25	5	2	NA	V
1999	1	J	2	N	2	QUGR3	1	13	65	1	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	10	12	70	2	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	11	12	40	1	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	12	13	25	1	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	13	3	18	1	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	14	4	25	1	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	2	11	40	1	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	3	15	60	1	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	4	3	60	1	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	5	8	65	1	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	6	6	26	1	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	7	3	15	1	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	8	12	40	2	WAS_QUTU2	V
1999	1	J	2	N	2	QUGR3	9	10	18	2	WAS_QUTU2	V
1999	1	J	2	N	3	ARPUP6	1	0.5	16	1	NA	V
1999	1	J	2	N	3	BOER4	1	2	12	1	NA	V
1999	1	J	2	N	3	BOER4	2	0.5	10	2	NA	V
1999	1	J	2	N	3	BOER4	3	0.25	9	3	NA	V
1999	1	J	2	N	3	BOER4	4	0.1	5	2	NA	V
1999	1	J	2	N	3	BOER4	5	2	5	6	NA	V
1999	1	J	2	N	3	BOGR2	1	0.5	19	10	NA	V
1999	1	J	2	N	3	BOHI2	1	0.5	11	2	NA	V
1999	1	J	2	N	3	BOHI2	2	0.25	9	2	NA	V
1999	1	J	2	N	3	CHER2	1	0.1	4	4	NA	V
1999	1	J	2	N	4	BOER4	1	1	17	2	NA	V
1999	1	J	2	N	4	BOER4	2	0.5	12	7	NA	V
1999	1	J	2	N	4	BOGR2	1	0.5	11	10	NA	V
1999	1	J	2	N	4	BOGR2	2	0.1	7	2	NA	V
1999	1	J	2	N	4	BOHI2	1	0.5	14	3	NA	V
1999	1	J	2	N	4	BOHI2	2	0.25	15	3	NA	V
1999	1	J	2	N	4	LYPH	1	0.5	25	6	NA	V
1999	1	J	2	N	4	LYPH	2	0.25	16	1	NA	V
1999	1	J	2	S	1	BOCU	1	2.5	20	1	NA	V
1999	1	J	2	S	1	BOCU	2	0.5	22	1	NA	V
1999	1	J	2	S	1	BOCU	3	2	10	1	NA	V
1999	1	J	2	S	1	BOCU	4	1.5	11	1	NA	V
1999	1	J	2	S	1	MUTO2	1	3	13	1	NA	V
1999	1	J	2	S	1	MUTO2	2	2	9	1	NA	V
1999	1	J	2	S	1	MUTO2	3	0.75	6	1	NA	V
1999	1	J	2	S	1	MUTO2	4	2	7	1	NA	V
1999	1	J	2	S	2	BOCU	1	1.5	11	1	NA	V
1999	1	J	2	S	2	BOCU	2	1	10	1	NA	V
1999	1	J	2	S	2	BOER4	1	1	5	1	NA	V
1999	1	J	2	S	2	BOHI2	1	0.5	8	6	NA	V
1999	1	J	2	S	2	BOHI2	2	0.25	3	5	NA	V
1999	1	J	2	S	3	ARPUP6	1	1	15	1	NA	V
1999	1	J	2	S	3	BOCU	1	2.5	7	1	NA	V
1999	1	J	2	S	3	BOER4	1	1	9	1	NA	V
1999	1	J	2	S	3	BOER4	2	0.25	6	1	NA	V
1999	1	J	2	S	3	BOER4	3	2	14	1	NA	V
1999	1	J	2	S	3	BOER4	4	1.5	7	1	NA	V
1999	1	J	2	S	3	BOER4	5	0.5	9	1	NA	V
1999	1	J	2	S	3	BOER4	6	1	7	1	NA	V
1999	1	J	2	S	3	BOHI2	1	0.25	6	3	NA	V
1999	1	J	2	S	4	ARPUP6	1	1	6	1	NA	V
1999	1	J	2	S	4	ARPUP6	2	0.75	6	1	NA	V
1999	1	J	2	S	4	BOCU	1	0.05	3	2	NA	V
1999	1	J	2	S	4	GUSA2	1	0.1	7	2	NA	V
1999	1	J	2	S	4	GUSA2	2	0.75	10	1	NA	V
1999	1	J	2	W	1	BOER4	1	3	22	3	NA	V
1999	1	J	2	W	1	BOER4	2	5	22	2	NA	V
1999	1	J	2	W	1	BOER4	3	6	24	1	NA	V
1999	1	J	2	W	1	BOER4	4	5	25	4	NA	V
1999	1	J	2	W	1	BOER4	5	3	24	1	NA	V
1999	1	J	2	W	1	BOGR2	1	1	15	6	NA	V
1999	1	J	2	W	1	BOGR2	2	3	16	1	NA	V
1999	1	J	2	W	1	CYIMI	1	3	12	1	NA	V
1999	1	J	2	W	2	BOER4	1	10	26	4	NA	V
1999	1	J	2	W	2	BOER4	2	3	22	1	NA	V
1999	1	J	2	W	2	BOER4	3	2	20	1	NA	V
1999	1	J	2	W	2	BOGR2	1	4	25	1	NA	V
1999	1	J	2	W	2	BOGR2	2	2	24	2	NA	V
1999	1	J	2	W	2	DEPI	1	0.01	1	2	NA	V
1999	1	J	2	W	2	ELEL5	1	0.25	18	3	NA	V
1999	1	J	2	W	3	BOER4	1	2	21	1	NA	V
1999	1	J	2	W	3	BOER4	2	1	20	1	NA	V
1999	1	J	2	W	3	BOER4	3	0.25	8	2	NA	V
1999	1	J	2	W	3	BOGR2	1	1	15	17	NA	V
1999	1	J	2	W	3	BOGR2	2	2	16	1	NA	V
1999	1	J	2	W	3	BOHI2	1	1	16	4	NA	V
1999	1	J	2	W	3	BOHI2	2	0.25	9	3	NA	V
1999	1	J	2	W	4	BOER4	1	2	23	2	NA	V
1999	1	J	2	W	4	BOER4	2	1.5	18	1	NA	V
1999	1	J	2	W	4	BOER4	3	0.5	14	1	NA	V
1999	1	J	2	W	4	BOER4	4	4	23	2	NA	V
1999	1	J	2	W	4	BOER4	5	0.25	6	4	NA	V
1999	1	J	2	W	4	BOGR2	1	2	16	1	NA	V
1999	1	J	2	W	4	BOGR2	2	1	14	1	NA	V
1999	1	J	2	W	4	BOGR2	3	0.25	7	1	NA	V
1999	1	J	2	W	4	BOHI2	1	0.5	10	2	NA	V
1999	1	J	3	E	1	ARPUP6	1	0.5	18	2	NA	V
1999	1	J	3	E	1	ARPUP6	2	0.25	14	1	NA	V
1999	1	J	3	E	1	BOCU	1	0.25	25	15	NA	V
1999	1	J	3	E	1	BOCU	2	0.5	26	1	NA	V
1999	1	J	3	E	1	BOCU	3	0.1	12	3	NA	V
1999	1	J	3	E	1	BOHI2	1	0.5	22	2	NA	V
1999	1	J	3	E	1	BOHI2	2	0.25	12	6	NA	V
1999	1	J	3	E	2	BOCU	1	0.25	15	12	NA	V
1999	1	J	3	E	2	BOCU	2	1	12	30	NA	V
1999	1	J	3	E	2	BOCU	3	0.05	10	4	NA	V
1999	1	J	3	E	2	BOCU	4	0.1	11	2	NA	V
1999	1	J	3	E	2	MUTO2	1	0.25	12	3	NA	V
1999	1	J	3	E	2	MUTO2	2	0.1	11	1	NA	V
1999	1	J	3	E	3	BOCU	1	0.25	34	11	NA	V
1999	1	J	3	E	3	BOCU	2	0.5	27	1	NA	V
1999	1	J	3	E	3	BOCU	3	0.05	19	2	NA	V
1999	1	J	3	E	3	BOHI2	1	0.5	16	2	NA	V
1999	1	J	3	E	3	BOHI2	2	0.25	11	1	NA	V
1999	1	J	3	E	3	FAPA	1	2.5	34	1	NA	V
1999	1	J	3	E	3	FAPA	2	0.25	25	1	NA	V
1999	1	J	3	E	4	BOCU	1	0.5	30	7	NA	V
1999	1	J	3	E	4	BOCU	2	0.25	26	14	NA	V
1999	1	J	3	E	4	BOCU	3	0.05	4	4	NA	V
1999	1	J	3	E	4	BOHI2	1	0.01	4	1	NA	V
1999	1	J	3	E	4	FAPA	1	0.25	6	2	NA	V
1999	1	J	3	E	4	FAPA	2	1.5	9	1	NA	V
1999	1	J	3	N	1	BOGR2	1	1	9	4	NA	V
1999	1	J	3	N	1	BOHI2	1	0.25	26	1	NA	V
1999	1	J	3	N	1	QUGR3	1	6	27	1	WAS_QUTU2	V
1999	1	J	3	N	2	GACO5	1	0.1	9	1	NA	V
1999	1	J	3	N	2	GUSA2	1	0.25	19	1	NA	V
1999	1	J	3	N	2	QUGR3	1	10	45	1	WAS_QUTU2	V
1999	1	J	3	N	2	QUGR3	2	9	32	1	WAS_QUTU2	V
1999	1	J	3	N	2	QUGR3	3	6	20	1	WAS_QUTU2	V
1999	1	J	3	N	2	QUGR3	4	12	48	2	WAS_QUTU2	V
1999	1	J	3	N	2	QUGR3	5	0.5	8	1	WAS_QUTU2	V
1999	1	J	3	N	2	QUGR3	6	1	12	1	WAS_QUTU2	V
1999	1	J	3	N	3	BOER4	1	0.1	8	1	NA	V
1999	1	J	3	N	3	BOGR2	1	0.25	4	3	NA	V
1999	1	J	3	N	3	BOHI2	1	0.1	4	1	NA	V
1999	1	J	3	N	3	QUGR3	1	15	42	1	WAS_QUTU2	V
1999	1	J	3	N	3	QUGR3	2	3	30	1	WAS_QUTU2	V
1999	1	J	3	N	3	QUGR3	3	10	38	1	WAS_QUTU2	V
1999	1	J	3	N	3	QUGR3	4	15	44	1	WAS_QUTU2	V
1999	1	J	3	N	3	QUGR3	5	13	39	1	WAS_QUTU2	V
1999	1	J	3	N	3	QUGR3	6	10	42	1	WAS_QUTU2	V
1999	1	J	3	N	3	QUGR3	7	2	15	2	WAS_QUTU2	V
1999	1	J	3	N	3	QUGR3	8	4	23	1	WAS_QUTU2	V
1999	1	J	3	N	4	QUGR3	1	5	57	1	WAS_QUTU2	V
1999	1	J	3	N	4	QUGR3	2	3	30	1	WAS_QUTU2	V
1999	1	J	3	N	4	QUGR3	3	5	46	1	WAS_QUTU2	V
1999	1	J	3	N	4	QUGR3	4	8	42	1	WAS_QUTU2	V
1999	1	J	3	N	4	YUBA	1	4	85	65	NA	V
1999	1	J	3	S	1	BOER4	1	3	15	1	NA	V
1999	1	J	3	S	1	BOER4	2	0.5	8	1	NA	V
1999	1	J	3	S	1	BOER4	3	2	9	1	NA	V
1999	1	J	3	S	1	BOER4	4	1	10	2	NA	V
1999	1	J	3	S	1	BOER4	5	1	8	1	NA	V
1999	1	J	3	S	1	BOHI2	1	0.5	8	1	NA	V
1999	1	J	3	S	1	BOHI2	2	0.25	5	1	NA	V
1999	1	J	3	S	1	QUGR3	1	8	11	1	WAS_QUTU2	V
1999	1	J	3	S	1	QUGR3	2	6	26	1	WAS_QUTU2	V
1999	1	J	3	S	1	QUGR3	3	4	20	1	WAS_QUTU2	V
1999	1	J	3	S	1	QUGR3	4	6	30	1	WAS_QUTU2	V
1999	1	J	3	S	1	QUGR3	5	3	18	1	WAS_QUTU2	V
1999	1	J	3	S	2	BOHI2	1	3.5	9	1	NA	V
1999	1	J	3	S	2	BOHI2	2	2	7	1	NA	V
1999	1	J	3	S	2	BOHI2	3	1	9	2	NA	V
1999	1	J	3	S	2	BOHI2	4	0.5	6	11	NA	V
1999	1	J	3	S	2	BOHI2	5	1.5	11	1	NA	V
1999	1	J	3	S	2	BOHI2	6	2	10	1	NA	V
1999	1	J	3	S	2	BOHI2	7	1.5	7	3	NA	V
1999	1	J	3	S	3	BOER4	1	1	16	1	NA	V
1999	1	J	3	S	3	BOER4	2	0.75	14	1	NA	V
1999	1	J	3	S	3	BOGR2	1	4	14	1	NA	V
1999	1	J	3	S	3	BOGR2	2	3	12	1	NA	V
1999	1	J	3	S	3	BOHI2	1	1	3	3	NA	V
1999	1	J	3	S	3	BOHI2	2	0.5	6	4	NA	V
1999	1	J	3	S	3	BOHI2	3	0.5	8	2	NA	V
1999	1	J	3	S	3	BOHI2	4	2	8	1	NA	V
1999	1	J	3	S	3	BOHI2	5	3	11	1	NA	V
1999	1	J	3	S	3	BOHI2	6	3.5	10	1	NA	V
1999	1	J	3	S	4	BOER4	1	2	13	1	NA	V
1999	1	J	3	S	4	BOER4	2	3	14	1	NA	V
1999	1	J	3	S	4	BOER4	3	1.5	12	1	NA	V
1999	1	J	3	S	4	BOER4	4	2	13	1	NA	V
1999	1	J	3	S	4	BOHI2	1	1.5	11	1	NA	V
1999	1	J	3	S	4	BOHI2	2	0.5	6	5	NA	V
1999	1	J	3	S	4	BOHI2	3	3	6	1	NA	V
1999	1	J	3	S	4	BOHI2	4	3.5	7	1	NA	V
1999	1	J	3	S	4	BOHI2	5	2	10	1	NA	V
1999	1	J	3	S	4	BOHI2	6	2.5	5	1	NA	V
1999	1	J	3	S	4	BOHI2	7	4	4	1	NA	V
1999	1	J	3	W	1	BOER4	1	1.5	16	1	NA	V
1999	1	J	3	W	1	BOER4	2	1	9	2	NA	V
1999	1	J	3	W	1	BOER4	3	2	12	1	NA	V
1999	1	J	3	W	1	BOER4	4	0.75	10	1	NA	V
1999	1	J	3	W	1	BOER4	5	0.5	8	1	NA	V
1999	1	J	3	W	1	BOER4	6	0.75	6	1	NA	V
1999	1	J	3	W	1	BOHI2	1	0.5	10	11	NA	V
1999	1	J	3	W	1	BOHI2	2	0.25	5	15	NA	V
1999	1	J	3	W	1	BOHI2	3	2	8	1	NA	V
1999	1	J	3	W	1	CHER2	1	0.1	1	3	NA	V
1999	1	J	3	W	1	LYPH	1	0.1	6	1	NA	V
1999	1	J	3	W	2	BOCU	1	0.25	8	4	NA	V
1999	1	J	3	W	2	QUGR3	1	4	20	1	WAS_QUTU2	V
1999	1	J	3	W	2	QUGR3	2	2	10	1	WAS_QUTU2	V
1999	1	J	3	W	3	BOCU	1	2.5	13	1	NA	V
1999	1	J	3	W	3	BOCU	2	1.5	14	1	NA	V
1999	1	J	3	W	3	BOCU	3	3	17	1	NA	V
1999	1	J	3	W	3	BOCU	4	0.5	17	1	NA	V
1999	1	J	3	W	3	BOCU	5	2	14	1	NA	V
1999	1	J	3	W	3	BOER4	1	2	13	1	NA	V
1999	1	J	3	W	3	LYPH	1	0.4	12	1	NA	V
1999	1	J	3	W	3	QUGR3	1	6	33	1	WAS_QUTU2	V
1999	1	J	3	W	3	QUGR3	2	3	24	1	WAS_QUTU2	V
1999	1	J	3	W	4	BOCU	1	0.5	18	1	NA	V
1999	1	J	3	W	4	BOCU	2	4	22	1	NA	V
1999	1	J	3	W	4	BOCU	3	0.5	7	3	NA	V
1999	1	J	3	W	4	BOCU	4	0.1	6	1	NA	V
1999	1	J	3	W	4	BOCU	5	1.5	12	1	NA	V
1999	1	J	3	W	4	BOCU	6	1	11	1	NA	V
1999	1	J	3	W	4	BOGR2	1	0.75	16	1	NA	V
