year,season,date,site,plot,subplot,quad,treatment,species,obs,cover,height,count,comment
2000,3,10/22/2000,M,3,A,1,S,ASTRA,1,0.1,3,1,NA
2000,3,10/22/2000,M,3,A,1,S,BOER4,1,1.5,17,1,NA
2000,3,10/22/2000,M,3,A,1,S,BOER4,2,3,18,1,NA
2000,3,10/22/2000,M,3,A,1,S,BOER4,3,6,17,1,NA
2000,3,10/22/2000,M,3,A,1,S,BOER4,4,4,19,1,NA
2000,3,10/22/2000,M,3,A,1,S,BOER4,5,5,16,1,NA
2000,3,10/22/2000,M,3,A,1,S,BOER4,6,7,20,1,NA
2000,3,10/22/2000,M,3,A,1,S,BOER4,7,4.5,17,1,NA
2000,3,10/22/2000,M,3,A,1,S,BOER4,8,12,25,1,NA
2000,3,10/22/2000,M,3,A,1,S,CHSE7,1,1,7,1,NA
2000,3,10/22/2000,M,3,A,1,S,CHSE7,2,2,13,1,NA
2000,3,10/22/2000,M,3,A,1,S,CHSES,1,0.5,6,3,NA
2000,3,10/22/2000,M,3,A,1,S,CHSES,2,1,14,5,NA
2000,3,10/22/2000,M,3,A,1,S,CHSES,3,1,10,6,NA
2000,3,10/22/2000,M,3,A,1,S,CHSES,4,0.5,9,9,NA
2000,3,10/22/2000,M,3,A,1,S,CHSES,5,0.25,7,1,NA
2000,3,10/22/2000,M,3,A,1,S,CHSES,6,0.5,12,2,NA
2000,3,10/22/2000,M,3,A,1,S,CHSES,7,2,5,1,NA
2000,3,10/22/2000,M,3,A,1,S,CHSES,8,1.5,8,1,NA
2000,3,10/22/2000,M,3,A,1,S,EUEX4,1,0.25,17,1,NA
2000,3,10/22/2000,M,3,A,1,S,GUSA2,1,3,19,1,NA
2000,3,10/22/2000,M,3,A,1,S,GUSA2,2,3.5,23,1,NA
2000,3,10/22/2000,M,3,A,1,S,GUSA2,3,1,15,1,NA
2000,3,10/22/2000,M,3,A,1,S,HODR,1,0.75,7,1,NA
2000,3,10/22/2000,M,3,A,1,S,SPORO,1,0.25,9,1,NA
2000,3,10/22/2000,M,3,A,1,S,SPPO6,1,1,39,1,NA
2000,3,10/22/2000,M,3,A,1,S,SPPO6,2,0.05,1,3,NA
2000,3,10/22/2000,M,3,A,2,S,ASTRA,1,0.1,4,2,NA
2000,3,10/22/2000,M,3,A,2,S,ASTRA,2,0.25,5,1,NA
2000,3,10/22/2000,M,3,A,2,S,BOER4,1,11,23,1,NA
2000,3,10/22/2000,M,3,A,2,S,BOER4,2,16,21,1,NA
2000,3,10/22/2000,M,3,A,2,S,BOER4,3,1.5,19,1,NA
2000,3,10/22/2000,M,3,A,2,S,BOER4,4,3,18,1,NA
2000,3,10/22/2000,M,3,A,2,S,BOER4,5,5,23,1,NA
2000,3,10/22/2000,M,3,A,2,S,BOER4,6,2,20,1,NA
2000,3,10/22/2000,M,3,A,2,S,BOER4,7,0.25,14,1,NA
2000,3,10/22/2000,M,3,A,2,S,CHRE4,1,0.5,11,3,NA
2000,3,10/22/2000,M,3,A,2,S,CHRE4,2,0.5,15,2,NA
2000,3,10/22/2000,M,3,A,2,S,CHRE4,3,1,17,1,NA
2000,3,10/22/2000,M,3,A,2,S,CHSE7,1,0.25,3,1,NA
2000,3,10/22/2000,M,3,A,2,S,CHSE7,2,0.25,6,1,NA
2000,3,10/22/2000,M,3,A,2,S,CHSE7,3,0.5,7,1,NA
2000,3,10/22/2000,M,3,A,2,S,CHSE7,4,1.5,6,3,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,1,1,10,8,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,2,0.5,11,12,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,3,0.75,6,1,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,4,1,8,6,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,5,0.75,13,5,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,6,2,9,1,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,7,0.5,6,2,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,8,1.5,15,1,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,9,0.25,9,3,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,10,1,12,2,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,11,1,3,3,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,12,2,8,1,NA
2000,3,10/22/2000,M,3,A,2,S,CHSES,13,1.5,5,1,NA
2000,3,10/22/2000,M,3,A,2,S,DAPU7,1,0.1,2,1,NA
2000,3,10/22/2000,M,3,A,2,S,SPPO6,1,1.5,46,1,NA
2000,3,10/22/2000,M,3,B,1,SF,ALIN,1,1.5,9,1,NA
2000,3,10/22/2000,M,3,B,1,SF,BOBA2,1,3,23,1,NA
2000,3,10/22/2000,M,3,B,1,SF,BOBA2,2,2,28,6,NA
2000,3,10/22/2000,M,3,B,1,SF,BOER4,1,4,19,1,NA
2000,3,10/22/2000,M,3,B,1,SF,BOER4,2,1,16,1,NA
2000,3,10/22/2000,M,3,B,1,SF,BOER4,3,5,21,1,NA
2000,3,10/22/2000,M,3,B,1,SF,BOER4,4,0.25,12,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHER2,1,0.75,8,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHER2,2,0.25,10,5,NA
2000,3,10/22/2000,M,3,B,1,SF,CHER2,3,0.25,7,4,NA
2000,3,10/22/2000,M,3,B,1,SF,CHER2,4,0.25,14,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHER2,5,0.1,3,2,NA
2000,3,10/22/2000,M,3,B,1,SF,CHER2,6,0.75,12,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHER2,7,0.5,12,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHER2,8,2,15,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHER2,9,1.5,13,2,NA
2000,3,10/22/2000,M,3,B,1,SF,CHER2,10,0.1,6,3,NA
2000,3,10/22/2000,M,3,B,1,SF,CHER2,11,0.05,2,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHER2,12,1,15,2,NA
2000,3,10/22/2000,M,3,B,1,SF,CHRE4,1,1.5,15,2,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSE7,1,2,3,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSE7,2,1,5,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSES,1,0.5,9,5,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSES,2,0.5,3,2,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSES,3,3,6,2,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSES,4,5,6,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSES,5,1.5,4,4,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSES,6,4,8,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSES,7,1,5,2,NA
