PERIOD,DATE,PLOT,LN,QUAD,PSPP,PCOV,PHT,PF,KRF,RBF,SDUNK,SDP,SDKR,SDRD,SDAN,BY
F99,09/26/99,PK,1,1,ARAD,0.8,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,3,ARAD,0.5,11,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,4,ARAD,0.3,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,1,ARAD,3.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,2,ARAD,4.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,4,ARAD,17.0,11,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,5,ARAD,3.0,8,11,0,5,0.0,3.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,1,ARAD,11.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,2,ARAD,6.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,3,ARAD,5.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,5,ARAD,0.5,11,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,1,ARAD,0.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,4,ARAD,1.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,6,ARAD,1.5,11,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,7,ARAD,0.1,4,2,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,1,ARAD,7.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,2,ARAD,4.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,3,ARAD,3.5,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,4,ARAD,4.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,6,ARAD,6.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,1,ARAD,3.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,2,ARAD,3.5,10,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,3,ARAD,1.2,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,4,ARAD,0.3,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,6,ARAD,5.5,3,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,7,ARAD,13.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,3,ARAD,0.5,10,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,4,ARAD,2.5,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,6,ARAD,1.5,6,14,0,7,0.0,0.0,0.0,3.5,0.0,NA
F99,09/26/99,PK,1,1,ARHA3,6.0,19,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,5,ARHA3,2.0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,7,ARHA3,1.5,10,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,5,ARHA3,3.0,16,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,6,ARHA3,1.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,1,ARHA3,3.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,5,ARHA3,12.0,26,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,6,ARHA3,0.1,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,7,ARHA3,1.0,18,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,4,ARHA3,4.0,16,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,6,ARHA3,0.5,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,1,ARHA3,6.0,19,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,4,ARHA3,2.5,19,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,5,ARHA3,5.0,17,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,1,ARPU6,3.5,16,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
