PERIOD,DATE,PLOT,MND ID,LN,QUAD,PSPP,PCOV,PHT,PF,KRF,RBF,SDUNK,SDP,SDKR,SDRD,SDAN,BY
F00,09/19/00,K,KM10,E,1,NONE,0.0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,NA
F00,09/19/00,K,KM10,E,2,DAPU7,0.5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,E,2,MUAR,0.2,3,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,E,2,SPCO4,1.0,22,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,E,3,MUAR,1.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,E,3,SAKA,1.3,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,E,4,MUAR,3.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,E,4,SCBR2,0.3,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,E,5,MUAR,1.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,E,5,SAKA,2.5,10,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,N,1,SPCR,1.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,N,1,TILA2,0.4,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,N,2,MUAR,0.5,3,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,N,3,DAPU7,0.5,3,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,N,3,MUAR,0.8,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,N,4,DAPU7,0.3,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,N,4,MUAR,0.5,2,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,N,4,SAKA,1.5,19,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,N,4,SPCR,2.5,14,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,N,5,MUAR,0.5,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,N,5,SAKA,3.0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,S,1,NONE,0.0,0,0,0,0,0.0,0.0,8.0,0.0,0.0,NA
F00,09/19/00,K,KM10,S,2,NONE,0.0,0,0,0,0,0.0,0.0,0.5,0.0,0.0,NA
F00,09/19/00,K,KM10,S,3,MUAR,0.5,5,0,2,0,0.0,0.0,1.0,0.0,0.0,NA
F00,09/19/00,K,KM10,S,3,SAKA,0.1,15,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,S,4,DAPU7,0.3,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,S,4,MUAR,0.3,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,S,4,SPCO4,3.0,18,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,S,5,DAPU7,0.4,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,S,5,MUAR,0.2,6,0,1,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,W,1,TILA2,6.0,10,0,0,0,0.0,0.0,3.0,0.0,0.0,NA
F00,09/19/00,K,KM10,W,2,TILA2,0.1,2,0,0,0,0.0,0.0,5.0,0.0,0.0,NA
F00,09/19/00,K,KM10,W,3,MUAR,0.5,7,0,1,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,W,3,SAKA,0.5,10,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,W,4,DAPU7,2.5,4,0,2,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/19/00,K,KM10,W,5,DAPU7,2.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F00,09/21/00,K,KM11,E,1,NONE,0.0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,NA
