PERIOD,DATE,PLOT,MND,ID No,SPP,AGE,SEX,SUB,CNT
F00,10/03/00,K,KM,KM1,MELA,A,M,TILA2,2
F00,10/03/00,K,KM,KM12,TRPA,A,F,GRND,3
F00,10/03/00,K,KM,KM13,TRPA,A,F,GRND,2
F00,10/03/00,K,KM,KM13,TRPA,A,M,GRND,4
F00,10/03/00,K,KM,KM19,PSSP,2,N,ERPU,2
F00,10/03/00,K,KM,KM19,TRPA,A,M,GRND,2
F00,10/03/00,K,KM,KM2,TRPA,A,M,GRND,3
F00,10/03/00,K,KM,KM5,TRPA,A,M,GRND,2
F00,10/03/00,K,KM,KM5,TRPA,A,F,GRND,3
F00,10/03/00,K,KM,KM55,MEAZ,A,F,SPCR,1
F00,10/03/00,K,KM,KM55,MEAZ,A,F,SPCR,1
F00,10/03/00,K,KM,KM55,MELA,A,F,KAPA,1
F00,10/03/00,K,KM,KM55,MELA,A,M,KAPA,2
F00,10/03/00,K,KM,KM55,PSSP,2,N,GRND,1
F00,10/03/00,K,KM,KM55,PSSP,2,N,SCBR2,1
F00,10/03/00,K,KM,KM55,TRPA,A,F,GRND,1
F00,10/03/00,K,KM,KM55,TRPA,A,M,GRND,1
F00,10/03/00,K,KM,KM56,MELA,A,F,MOSQ,1
F00,10/03/00,K,KM,KM56,TRKI,A,F,GRND,1
F00,10/03/00,K,KM,KM56,TRKI,A,M,GRND,1
F00,10/03/00,K,KM,KM56,TRPA,A,F,GRND,1
F00,10/03/00,K,KM,KM56,TRPA,A,M,GRND,1
F00,10/03/00,K,KM,KM56,TRPA,A,M,GRND,2
F00,10/03/00,K,KM,KM57,AUFE,A,F,SCBR2,1
F00,10/03/00,K,KM,KM57,AUFE,A,F,TILA2,1
F00,10/03/00,K,KM,KM57,ERSI,A,M,SCBR2,1
F00,10/03/00,K,KM,KM57,MEAZ,A,F,SPCR,1
F00,10/03/00,K,KM,KM57,PAPA,A,F,BOER4,1
F00,10/03/00,K,KM,KM57,PSSP,2,N,SCBR2,1
F00,10/03/00,K,KM,KM57,PSSP,2,N,SCBR2,1
F00,10/03/00,K,KM,KM57,TRPA,A,M,GRND,1
F00,10/03/00,K,KM,KM57,TRPA,A,F,GRND,1
F00,10/03/00,K,KM,KM57,TRPA,A,F,GRND,3
F00,10/03/00,K,KM,KM6,MEAZ,A,F,MOSQ,1
F00,10/03/00,K,KM,KM6,PSSP,2,N,GRND,1
F00,10/03/00,K,KM,KM6,TRKI,A,F,GRND,1
F00,10/03/00,K,KM,KM6,TRPA,A,F,GRND,1
F00,10/03/00,K,KM,KM7,AUFE,A,F,SCBR2,1
F00,10/03/00,K,KM,KM7,AUFE,A,F,SCBR2,1
F00,10/03/00,K,KM,KM7,ERSI,A,F,SCBR2,1
F00,10/03/00,K,KM,KM7,PSSP,2,N,SCBR2,1
F00,10/03/00,K,KM,KM7,PSSP,2,N,SCBR2,1
F00,10/03/00,K,KM,KM7,PSSP,2,N,SPCR,1
F00,10/03/00,K,KM,KM7,TRKI,A,F,GRND,1
F00,10/03/00,K,KM,KM7,TRKI,A,F,GRND,1
F00,10/03/00,K,KM,KM7,TRKI,A,F,SCBR2,1
F00,10/03/00,K,KM,KM7,TRPA,A,M,GRND,1
F00,10/03/00,K,KM,KM9,AUFE,A,F,SCBR2,1
F00,10/03/00,K,KM,KM9,AUFE,A,F,SCBR2,1
F00,10/03/00,K,KM,KM9,MEAZ,A,F,SPCR,1
F00,10/03/00,K,KM,KM9,MEAZ,A,M,ERPU,1
F00,10/03/00,K,KM,KM9,PSSP,2,N,SCBR2,1
F00,10/03/00,K,KM,KM9,PSSP,2,N,ERPU,1
F00,10/03/00,K,KM,KM9,TRKI,A,M,GRND,2
F00,10/03/00,K,KM,KM9,TRPA,A,M,GRND,1
F00,10/03/00,K,KM,KM9,TRPA,A,M,GRND,1
F00,10/03/00,K,KM,KM9,TRPA,A,M,GRND,1
F00,10/03/00,K,KM,KM9,TRPA,A,F,GRND,3
F00,10/03/00,K,KN,KN1,DABI,A,F,SCBR2,1
F00,10/03/00,K,KN,KN1,PAPA,A,F,BOER4,1
F00,10/03/00,K,KN,KN1,PSSP,2,N,GRND,1
F00,10/03/00,K,KN,KN1,PSSP,2,N,SCBR2,1
F00,10/03/00,K,KN,KN10,COSP,3,N,SCBR2,1
F00,10/03/00,K,KN,KN10,COSP,2,N,SCBR2,1
F00,10/03/00,K,KN,KN10,COSP,3,N,SCBR2,1
F00,10/03/00,K,KN,KN10,PSDE,A,M,GRND,1
F00,10/03/00,K,KN,KN10,PSDE,A,M,GRND,1
F00,10/03/00,K,KN,KN10,XACO,A,M,GRND,1
F00,10/03/00,K,KN,KN11,COSP,3,N,ARPU,1
F00,10/03/00,K,KN,KN11,PSDE,A,M,GRND,1
F00,10/03/00,K,KN,KN11,PSDE,A,F,GRND,1
F00,10/03/00,K,KN,KN12,AGDE,1,N,SCBR2,1
F00,10/03/00,K,KN,KN12,COSP,2,N,SCBR2,1
F00,10/03/00,K,KN,KN12,COSP,2,N,SCBR2,1
F00,10/03/00,K,KN,KN12,PSDE,A,M,SCBR2,1
F00,10/03/00,K,KN,KN12,PSDE,A,M,GRND,1
F00,10/03/00,K,KN,KN12,PSDE,A,M,SCBR2,1
F00,10/03/00,K,KN,KN12,PSDE,A,M,GRND,1
F00,10/03/00,K,KN,KN12,PSDE,A,F,GRND,1
F00,10/03/00,K,KN,KN13,AGDE,1,N,SCBR2,1
F00,10/03/00,K,KN,KN13,ARCO,A,M,GRND,1
F00,10/03/00,K,KN,KN13,PSDE,A,M,GRND,1
F00,10/03/00,K,KN,KN13,PSDE,A,M,GRND,1
F00,10/03/00,K,KN,KN13,PSDE,A,M,GRND,1
F00,10/03/00,K,KN,KN13,PSDE,A,M,GRND,1
F00,10/03/00,K,KN,KN13,PSTE,A,M,LITT,1
F00,10/03/00,K,KN,KN13,PSTE,A,M,SCBR2,1
F00,10/03/00,K,KN,KN19,PSDE,A,F,GRND,1
F00,10/03/00,K,KN,KN19,PSDE,A,M,GRND,1
F00,10/03/00,K,KN,KN19,PSDE,A,M,LITT,1
F00,10/03/00,K,KN,KN19,PSTE,A,M,GRND,1
F00,10/03/00,K,KN,KN2,PSDE,A,F,GRND,1
F00,10/03/00,K,KN,KN2,PSDE,A,F,GRND,1
F00,10/03/00,K,KN,KN2,XACO,A,F,GRND,1
F00,10/03/00,K,KN,KN20,COSP,2,N,SCBR2,1
F00,10/03/00,K,KN,KN20,PAPA,2,N,HIJA,1
F00,10/03/00,K,KN,KN20,PSDE,A,F,SCBR2,1
F00,10/03/00,K,KN,KN21,COSP,3,N,ERPU,1
F00,10/03/00,K,KN,KN21,ERSI,2,N,ERPU,1
F00,10/03/00,K,KN,KN21,ERSI,A,M,ARPU,1
F00,10/03/00,K,KN,KN21,ERSI,A,M,ARPU,1
