DATE,YEAR,SEASON,PLOT,QUAD,SPECIES_CODE,COVER,HEIGHT,COMMENTS
4/24/2005,2005,S,MC,1,BOER4,4,-888,NA
4/24/2005,2005,S,MC,1,BOGR2,8,-888,NA
4/24/2005,2005,S,MC,1,GACO5,1,-888,NA
4/24/2005,2005,S,MC,1,HYFIC,10,-888,NA
4/24/2005,2005,S,MC,1,PLPA2,8,-888,NA
4/24/2005,2005,S,MC,2,ASMIM,20,-888,NA
4/24/2005,2005,S,MC,2,BOGR2,15,-888,NA
4/24/2005,2005,S,MC,2,CYIMI,8,-888,NA
4/24/2005,2005,S,MC,2,PLJA,40,-888,NA
4/24/2005,2005,S,MC,2,PLPA2,1,-888,NA
4/24/2005,2005,S,MC,3,ASMIM,35,-888,NA
4/24/2005,2005,S,MC,3,BOGR2,15,-888,NA
4/24/2005,2005,S,MC,3,PLPA2,3,-888,NA
4/24/2005,2005,S,MC,4,BOER4,2,-888,NA
4/24/2005,2005,S,MC,4,BOGR2,15,-888,NA
4/24/2005,2005,S,MC,4,CRCR3,1,-888,NA
4/24/2005,2005,S,MC,4,DEPI,1,-888,NA
4/24/2005,2005,S,MC,4,PLPA2,15,-888,NA
4/24/2005,2005,S,MC,5,BOER4,8,-888,NA
4/24/2005,2005,S,MC,5,BOGR2,3,-888,NA
4/24/2005,2005,S,MC,5,CRCR3,1,-888,NA
4/24/2005,2005,S,MC,5,DEPI,3,-888,NA
4/24/2005,2005,S,MC,5,PLPA2,12,-888,NA
4/24/2005,2005,S,MC,6,SPHA,1,-888,O. SPWR
4/24/2005,2005,S,MC,6,BOGR2,10,-888,NA
4/24/2005,2005,S,MC,6,CRCR3,2,-888,NA
4/24/2005,2005,S,MC,6,DEPI,8,-888,NA
4/24/2005,2005,S,MC,6,MAFE,2,-888,NA
4/24/2005,2005,S,MC,6,PLPA2,20,-888,NA
4/24/2005,2005,S,MC,7,BOGR2,4,-888,NA
4/24/2005,2005,S,MC,7,PLPA2,20,-888,NA
4/24/2005,2005,S,MC,7,SEFLF,1,-888,NA
4/24/2005,2005,S,MC,8,BOGR2,3,-888,NA
4/24/2005,2005,S,MC,8,LEDED,2,-888,NA
4/24/2005,2005,S,MC,8,PLPA2,15,-888,NA
4/24/2005,2005,S,MC,9,BOBA2,1,-888,ADDED_COVER FROM DATASHEET
4/24/2005,2005,S,MC,9,BOGR2,10,-888,NA
4/24/2005,2005,S,MC,9,CRCR3,1,-888,NA
4/24/2005,2005,S,MC,9,PLPA2,7,-888,NA
4/24/2005,2005,S,MC,10,BOER4,4,-888,NA
4/24/2005,2005,S,MC,10,BOGR2,10,-888,NA
4/24/2005,2005,S,MC,10,CRCR3,2,-888,NA
4/24/2005,2005,S,MC,10,PLPA2,6,-888,NA
4/24/2005,2005,S,MC,11,BOGR2,10,-888,NA
4/24/2005,2005,S,MC,11,CRCR3,3,-888,NA
4/24/2005,2005,S,MC,11,PLPA2,15,-888,NA
4/24/2005,2005,S,MC,12,BOER4,10,-888,NA
4/24/2005,2005,S,MC,12,BOGR2,7,-888,NA
4/24/2005,2005,S,MC,12,PLPA2,15,-888,NA
4/24/2005,2005,S,MC,12,SEBA3,1,-888,NA
4/24/2005,2005,S,MC,13,SPHA,1,-888,ADDED_COVER FROM DATASHEET
4/24/2005,2005,S,MC,13,BOER4,6,-888,NA
4/24/2005,2005,S,MC,13,BOGR2,4,-888,NA
4/24/2005,2005,S,MC,13,PLPA2,10,-888,NA
4/24/2005,2005,S,MC,14,BOER4,6,-888,NA
4/24/2005,2005,S,MC,14,BOGR2,8,-888,NA
4/24/2005,2005,S,MC,14,CRCR3,2,-888,NA
4/24/2005,2005,S,MC,14,PLPA2,2,-888,NA
4/24/2005,2005,S,MC,14,SATR12,2,-888,NA
4/24/2005,2005,S,MC,14,SEFLF,1,-888,NA
4/24/2005,2005,S,MC,15,ARPUP6,1,-888,ADDED_COVER FROM DATASHEET
4/24/2005,2005,S,MC,15,BOGR2,10,-888,NA
4/24/2005,2005,S,MC,15,PLPA2,6,-888,NA
4/24/2005,2005,S,MC,16,BOGR2,10,-888,NA
4/24/2005,2005,S,MC,16,CHAL11,1,-888,NA
4/24/2005,2005,S,MC,16,PLPA2,1,-888,NA
4/24/2005,2005,S,MC,17,ALIN,2,-888,NA
4/24/2005,2005,S,MC,17,ARPUP6,1,-888,NA
4/24/2005,2005,S,MC,17,BOGR2,4,-888,NA
4/24/2005,2005,S,MC,17,CHAL11,2,-888,NA
4/24/2005,2005,S,MC,17,GLBI2,2,-888,NA
4/24/2005,2005,S,MC,17,PLPA2,10,-888,NA
4/24/2005,2005,S,MC,18,BOGR2,20,-888,NA
4/24/2005,2005,S,MC,18,PLPA2,7,-888,NA
4/24/2005,2005,S,MC,19,BOGR2,3,-888,NA
4/24/2005,2005,S,MC,19,CRCR3,1,-888,NA
4/24/2005,2005,S,MC,19,ECIN2,2,-888,NA
4/24/2005,2005,S,MC,19,PLPA2,20,-888,NA
4/24/2005,2005,S,MC,19,SATR12,2,-888,NA
4/24/2005,2005,S,MC,19,SEFLF,6,-888,NA
4/24/2005,2005,S,MC,20,BOER4,2,-888,NA
4/24/2005,2005,S,MC,20,BOGR2,1,-888,NA
4/24/2005,2005,S,MC,20,CHER2,3,-888,NA
4/24/2005,2005,S,MC,20,CRCR3,3,-888,NA
4/24/2005,2005,S,MC,20,DEPI,1,-888,NA
4/24/2005,2005,S,MC,20,PLPA2,2,-888,NA
4/24/2005,2005,S,MC,21,SPHA,1,-888,O. SPWR
4/24/2005,2005,S,MC,21,BOER4,8,-888,NA
4/24/2005,2005,S,MC,21,BOGR2,20,-888,NA
4/24/2005,2005,S,MC,21,CRCR3,6,-888,NA
4/24/2005,2005,S,MC,21,DEPI,3,-888,NA
4/24/2005,2005,S,MC,21,GLBI2,1,-888,NA
4/24/2005,2005,S,MC,21,PLPA2,8,-888,NA
4/24/2005,2005,S,MC,21,SPCR,2,-888,NA
4/24/2005,2005,S,MC,22,BOGR2,8,-888,NA
4/24/2005,2005,S,MC,22,CHAL11,8,-888,NA
4/24/2005,2005,S,MC,22,CRCR3,2,-888,NA
4/24/2005,2005,S,MC,22,GLBI2,1,-888,NA
4/24/2005,2005,S,MC,22,PLPA2,20,-888,NA
4/24/2005,2005,S,MC,23,ASMIM,20,-888,NA
4/24/2005,2005,S,MC,23,BOER4,8,-888,NA
4/24/2005,2005,S,MC,23,BOGR2,20,-888,NA
4/24/2005,2005,S,MC,23,PLPA2,1,-888,NA
4/24/2005,2005,S,MC,23,SATR12,3,-888,NA
4/24/2005,2005,S,MC,24,BOER4,8,-888,NA
4/24/2005,2005,S,MC,24,BOGR2,8,-888,NA
4/24/2005,2005,S,MC,24,HYFIC,8,-888,NA
4/24/2005,2005,S,MC,24,PLPA2,7,-888,NA
4/24/2005,2005,S,MC,25,BOER4,7,-888,NA
4/24/2005,2005,S,MC,25,BOGR2,35,-888,NA
4/24/2005,2005,S,MC,25,CRCR3,1,-888,NA
4/24/2005,2005,S,MC,25,GLBI2,2,-888,NA
4/24/2005,2005,S,MC,25,PLPA2,1,-888,NA
4/24/2005,2005,S,MC,26,BOER4,15,-888,NA
4/24/2005,2005,S,MC,26,CRCR3,7,-888,NA
4/24/2005,2005,S,MC,26,GACO5,1,-888,NA
4/24/2005,2005,S,MC,26,PLPA2,10,-888,NA
4/24/2005,2005,S,MC,27,BOGR2,15,-888,NA
4/24/2005,2005,S,MC,27,GLBI2,7,-888,NA
4/24/2005,2005,S,MC,27,PLPA2,15,-888,NA
4/24/2005,2005,S,MC,27,SEFLF,8,-888,NA
