Bee_Species,SiteRepSeason,bees
HAHALTRIF,C1SP08,635
HAAGAANGF,C1SP08,7
HAAGAFEMF,C1SP08,15
HAAGAMELF,C1SP08,0
HAAGASPLF,C1SP08,0
HAAUGAURF,C1SP08,0
HADUFMARF,C1SP08,0
HADUF001F,C1SP08,0
HAHALCONF,C1SP08,0
HAHALLIGF,C1SP08,1
HAHALPARF,C1SP08,0
HALASPRUF,C1SP08,6
HALASCOAF,C1SP08,1
HALASHUDF,C1SP08,13
HALASPARF,C1SP08,0
HALASPERF,C1SP08,1
HALASPOTF,C1SP08,0
HALASSISF,C1SP08,1
HALAS00CF,C1SP08,1
HALAS007F,C1SP08,0
HALAS012F,C1SP08,2
HALAS015F,C1SP08,1
HALAS017F,C1SP08,5
HALAS018F,C1SP08,0
HALAS019F,C1SP08,0
HALAS020F,C1SP08,0
HALAS021F,C1SP08,0
HALASODDF,C1SP08,2
HALASEV1F,C1SP08,1
HALASEV2F,C1SP08,0
HALASEV3F,C1SP08,0
HALASEV4F,C1SP08,0
HALASEV5F,C1SP08,8
HALASEV6F,C1SP08,0
HALASNOCF,C1SP08,0
HANOMTRIF,C1SP08,0
HASPH001F,C1SP08,0
HASPH002F,C1SP08,0
MEANTEMAF,C1SP08,0
MEANTPORF,C1SP08,0
MEASHBIGF,C1SP08,0
MEASHMELF,C1SP08,1
MEDIACURF,C1SP08,0
MEDIAIMPF,C1SP08,0
MEDIOPACF,C1SP08,0
MEDIOPOMF,C1SP08,1
MEHOP003F,C1SP08,0
MELITAPIF,C1SP08,0
MEMEGSIDF,C1SP08,0
MEMEGUMAF,C1SP08,0
MEOSMCERF,C1SP08,0
MEOSMLATF,C1SP08,0
MEOSMLIOF,C1SP08,1
MEOSMPRUF,C1SP08,1
MEOSMTITF,C1SP08,1
MEOSMWATF,C1SP08,0
ANANDCAPF,C1SP08,0
ANANDCREF,C1SP08,0
ANANDHELF,C1SP08,0
ANANDILLF,C1SP08,0
ANANDMON,C1SP08,0
ANANDPRFF,C1SP08,1
ANANDPRIF,C1SP08,0
ANHETPERF,C1SP08,0
ANHET002F,C1SP08,0
ANCAL001F,C1SP08,0
ANPER001F,C1SP08,0
ANPER002F,C1SP08,1
ANPER003F,C1SP08,0
ANPER005F,C1SP08,0
ANPER006F,C1SP08,0
ANPER009F,C1SP08,0
ANPER012F,C1SP08,0
ANPER014F,C1SP08,0
ANPER015F,C1SP08,0
ANPER016F,C1SP08,0
ANPER018F,C1SP08,0
ANPERALBF,C1SP08,0
ANPERAST,C1SP08,0
ANPERCALF,C1SP08,1
ANPERCORF,C1SP08,1
ANPERDOLF,C1SP08,0
ANPERFALF,C1SP08,0
ANPERIGNF,C1SP08,0
ANPERMENF,C1SP08,0
ANPERPULF,C1SP08,0
ANPERVERF,C1SP08,0
APANDCOMF,C1SP08,0
APANPCOMF,C1SP08,0
APANTAFFF,C1SP08,0
APANTCALF,C1SP08,0
APANTLESF,C1SP08,2
APANTMONF,C1SP08,1
APANTPHEF,C1SP08,0
APANTPORF,C1SP08,1
APAPIMELF,C1SP08,0
APBOMHUNF,C1SP08,0
APBOMPENF,C1SP08,0
APCERACAF,C1SP08,0
APCERNANF,C1SP08,0
APDIAAUSF,C1SP08,3
APDIADIMF,C1SP08,0
APDIAENAF,C1SP08,0
APDIAMEGF,C1SP08,0
APDIAOCHF,C1SP08,0
APDIARINF,C1SP08,11
APDIASPHF,C1SP08,0
APDIAVALF,C1SP08,0
APEUCLYCF,C1SP08,2
APEUCTERF,C1SP08,0
APEXOSOLF,C1SP08,0
APHABMORF,C1SP08,1
APHABNS1F,C1SP08,1
APHOLCALF,C1SP08,0
APMELBOHF,C1SP08,0
