Date,Mound ID,Animal ID,Capture Type,Sex,Repro,Animal Mass
2/19/2005,305,172,N,F,PL,140
2/19/2005,6505,173,N,F,NR,75
2/19/2005,5505,174,N,M,NS,93
2/19/2005,3105,175,N,F,PL,146
2/19/2005,6005,176,N,F,NR,150
2/19/2005,4505,177,N,M,SC,150
2/19/2005,205,178,N,F,RL,132
2/19/2005,4205,179,N,F,RL,130
2/19/2005,7205,180,N,F,RL,116
2/19/2005,7705,182,N,F,RL,123
2/19/2005,5905,184,N,F,PL,155
2/19/2005,2305,185,N,F,PL,140
2/19/2005,705,187,N,F,RL,132
2/19/2005,3605,188,N,F,P,169
2/19/2005,2405,189,N,M,SC,144
2/19/2005,7605,191,N,F,RL,148
2/19/2005,6705,192,N,F,PL,136
2/20/2005,5205,181,N,F,NR,32
2/20/2005,5805,183,N,F,RL,142
2/20/2005,6805,186,N,M,NS,63
2/20/2005,3705,190,N,F,P,164
3/17/2005,6005,176,RC,F,RL,161
3/17/2005,205,178,RC,F,P,168
3/17/2005,3905,179,RC,F,RL,151
3/17/2005,7705,182,RC,F,NR,130
3/17/2005,5805,183,RC,F,RL,149
3/17/2005,5905,184,RC,F,PL,170
3/17/2005,2205,187,RC,F,RL,150
3/17/2005,2405,189,RC,M,SC,148
3/17/2005,7605,191,RC,F,RL,152
3/17/2005,6505,192,RC,F,RL,134
3/17/2005,4105,194,N,F,RL,147
3/17/2005,7305,195,N,F,RL,127
3/17/2005,13605,198,N,M,SC,164
3/17/2005,11205,202,N,M,NS,100
3/17/2005,7305,204,N,M,SC,164
3/17/2005,1405,205,N,F,PL,151
3/17/2005,6905,210,N,F,PL,124
3/17/2005,12505,212,N,F,NR,72
3/17/2005,5205,213,N,F,RL,141
3/17/2005,6205,214,N,M,SC,154
3/17/2005,12805,217,N,F,PL,156
3/17/2005,1505,218,N,M,NS,105
3/17/2005,105,220,N,M,SC,146
3/17/2005,2305,221,N,F,NR,89
3/17/2005,12405,222,N,F,NR,108
3/17/2005,13505,225,N,F,NR,103
3/17/2005,2705,226,N,M,NS,85
3/17/2005,8505,227,N,F,NR,108
3/17/2005,6805,228,N,F,NR,92
3/17/2005,12505,229,N,F,RL,169
3/17/2005,305,230,N,M,UNK,102
3/17/2005,705,231,N,M,SC,160
3/17/2005,2305,232,N,M,NS,100
3/17/2005,4505,233,N,M,SC,158
3/17/2005,13005,234,N,M,NS,108
3/17/2005,10105,235,N,M,NS,118
3/18/2005,5505,174,RC,M,-888,-888
3/18/2005,7505,176,RC,F,-888,-888
3/18/2005,205,178,RC,F,-888,-888
3/18/2005,3905,179,RC,F,-888,-888
3/18/2005,7705,182,RC,F,-888,-888
3/18/2005,2405,183,RC,F,-888,-888
3/18/2005,6505,186,RC,M,-888,-888
3/18/2005,2405,189,RC,M,-888,-888
3/18/2005,3705,190,RC,F,RL,135
3/18/2005,7605,191,RC,F,-888,-888
3/18/2005,6505,192,RC,F,-888,-888
3/18/2005,12405,193,N,F,RL,150
3/18/2005,7205,195,RC,F,-888,-888
3/18/2005,13605,198,RC,M,-888,-888
3/18/2005,6905,200,N,F,NR,63
3/18/2005,11005,202,RC,M,-888,-888
3/18/2005,7405,204,RC,M,-888,-888
3/18/2005,1405,205,RC,F,-888,-888
3/18/2005,7805,206,N,F,NR,91
3/18/2005,13505,208,N,M,NS,97
3/18/2005,11205,209,N,M,SC,148
3/18/2005,6905,210,RC,F,-888,-888
3/18/2005,5905,211,N,F,NR,102
3/18/2005,5205,213,RC,F,-888,-888
3/18/2005,1505,218,RC,M,-888,-888
3/18/2005,105,220,RC,M,-888,-888
3/18/2005,8505,223,N,F,RL,152
3/18/2005,2705,224,N,M,SC,90
3/18/2005,13505,225,RC,F,-888,-888
3/18/2005,12505,229,RC,F,-888,-888
3/18/2005,705,231,RC,M,-888,-888
3/18/2005,2305,232,RC,M,-888,-888
3/18/2005,10105,235,RC,M,-888,-888
3/19/2005,305,172,RC,F,RL,145
3/19/2005,5505,174,RC,M,NS,114
3/19/2005,3105,175,RC,F,RL,146
3/19/2005,205,178,RC,F,-888,-888
3/19/2005,8905,182,RC,F,-888,-888
3/19/2005,5805,183,RC,F,-888,-888
3/19/2005,5905,184,RC,F,-888,-888
3/19/2005,6505,186,RC,M,NS,105
3/19/2005,705,187,RC,F,-888,-888
3/19/2005,2405,189,RC,M,-888,-888
3/19/2005,3705,190,RC,F,-888,-888
3/19/2005,7605,191,RC,F,-888,-888
3/19/2005,7205,195,RC,F,-888,-888
3/19/2005,205,196,N,M,NS,100
3/19/2005,13605,197,N,F,RL,149
3/19/2005,13605,198,RC,M,-888,-888
3/19/2005,1605,199,N,F,NR,111
3/19/2005,2705,201,N,F,PL,144
3/19/2005,8105,203,N,M,SC,152
3/19/2005,7305,204,RC,M,-888,-888
3/19/2005,1405,205,RC,F,-888,-888
3/19/2005,7805,206,RC,F,-888,-888
3/19/2005,6505,207,N,F,RL,131
3/19/2005,6905,210,RC,F,-888,-888
3/19/2005,1405,215,N,F,NR,77
3/19/2005,9405,216,N,F,PL,130
3/19/2005,12805,217,RC,F,-888,-888
3/19/2005,5905,219,N,M,NS,144
3/19/2005,105,220,RC,M,-888,-888
3/19/2005,13505,225,RC,F,-888,-888
3/19/2005,2705,226,RC,M,-888,-888
3/19/2005,6805,228,RC,F,-888,-888
3/19/2005,12505,229,RC,F,-888,-888
3/19/2005,305,230,RC,M,-888,-888
3/19/2005,705,231,RC,M,-888,-888
4/22/2005,305,172,RC,F,RL,152
4/22/2005,6005,176,RC,F,PL,152
4/22/2005,7505,182,RC,F,PL,137
4/22/2005,2205,187,RC,F,RL,126
4/22/2005,2405,189,RC,M,SC,146
