year,season,date,site,quad,treatment,species,obs,cover,height,count,comment
2008,2,5/13/2008,N,1,K,BOER4,1,0.5,0,1,W
2008,2,5/13/2008,N,1,K,BOER4,2,1,0,2,W
2008,2,5/13/2008,N,1,K,BOER4,3,0.75,0,2,W
2008,2,5/13/2008,N,1,K,BOER4,4,0.1,0,1,W
2008,2,5/13/2008,N,1,K,BOER4,5,4,0,2,W
2008,2,5/13/2008,N,1,K,BOER4,6,3.5,0,1,W
2008,2,5/13/2008,N,1,K,HODR,1,0.05,2,1,NA
2008,2,5/13/2008,N,1,K,HODR,2,0.1,3,1,NA
2008,2,5/13/2008,N,2,K,ARPU9,1,0.75,0,1,W
2008,2,5/13/2008,N,2,K,BOER4,1,0.75,0,2,W
2008,2,5/13/2008,N,2,K,BOER4,2,2,0,2,W
2008,2,5/13/2008,N,2,K,BOER4,3,0.1,0,11,W
2008,2,5/13/2008,N,2,K,BOER4,4,0.05,0,2,W
2008,2,5/13/2008,N,2,K,BOER4,5,1,0,2,W
2008,2,5/13/2008,N,2,K,BOER4,6,0.25,0,7,W
2008,2,5/13/2008,N,2,K,BOER4,7,3,0,1,W
2008,2,5/13/2008,N,2,K,BOER4,8,0.5,0,1,W
2008,2,5/13/2008,N,2,K,BOER4,9,5,0,1,W
2008,2,5/13/2008,N,2,K,BOER4,10,4,0,1,W
2008,2,5/13/2008,N,2,K,HODR,1,0.5,3,1,NA
2008,2,5/13/2008,N,2,K,HODR,2,0.1,3,2,NA
2008,2,5/13/2008,N,2,K,HODR,3,0.25,4,1,NA
2008,2,5/13/2008,N,2,K,MAPIP,1,0.25,3,1,NA
2008,2,5/13/2008,N,3,P,BOER4,1,0.25,0,6,W
2008,2,5/13/2008,N,3,P,BOER4,2,2.5,0,2,W
2008,2,5/13/2008,N,3,P,BOER4,3,0.5,0,5,W
2008,2,5/13/2008,N,3,P,BOER4,4,1,0,2,W
2008,2,5/13/2008,N,3,P,BOER4,5,0.75,0,2,W
2008,2,5/13/2008,N,3,P,BOER4,6,0.1,0,5,W
2008,2,5/13/2008,N,3,P,BOER4,7,1.5,0,1,W
2008,2,5/13/2008,N,3,P,BOER4,8,15,0,1,W
2008,2,5/13/2008,N,3,P,BOER4,9,5,0,1,W
2008,2,5/13/2008,N,3,P,BOER4,10,0.05,0,2,W
2008,2,5/13/2008,N,3,P,HYFIC,1,0.1,0,1,W
2008,2,5/13/2008,N,4,PK,BOER4,1,6,0,1,W
2008,2,5/13/2008,N,4,PK,BOER4,2,0.5,0,6,W
2008,2,5/13/2008,N,4,PK,BOER4,3,0.75,0,3,W
2008,2,5/13/2008,N,4,PK,BOER4,4,0.1,0,9,W
2008,2,5/13/2008,N,4,PK,BOER4,5,0.25,0,5,W
2008,2,5/13/2008,N,4,PK,BOER4,6,0.5,2,1,NA
2008,2,5/13/2008,N,4,PK,BOER4,7,1,0,1,W
2008,2,5/13/2008,N,4,PK,BOER4,8,2,0,1,W
2008,2,5/13/2008,N,4,PK,BOER4,9,5,0,1,W
2008,2,5/13/2008,N,4,PK,BOER4,10,2,4,1,NA
2008,2,5/13/2008,N,4,PK,GACO5,1,0.1,8,1,NA
2008,2,5/13/2008,N,4,PK,GACO5,2,0.05,4,1,NA
2008,2,5/13/2008,N,4,PK,GACO5,3,0.01,7,1,NA
2008,2,5/13/2008,N,4,PK,GACO5,4,0.01,5,1,NA
2008,2,5/13/2008,N,4,PK,GACO5,5,0.01,4,2,NA
2008,2,5/13/2008,N,4,PK,GACO5,6,0.01,1,1,NA
2008,2,5/13/2008,N,4,PK,GACO5,7,0.05,6,4,NA
2008,2,5/13/2008,N,4,PK,HODR,1,0.05,4,1,NA
2008,2,5/13/2008,N,4,PK,HODR,2,0.05,2,1,NA
2008,2,5/13/2008,N,4,PK,HOGL2,1,0.05,2,1,NA
2008,2,5/13/2008,N,4,PK,HYFIC,1,0.25,3,1,NA
2008,2,5/13/2008,N,4,PK,MAPIP,1,0.05,2,1,NA
2008,2,5/13/2008,N,5,P,BOER4,1,1,0,3,W
2008,2,5/13/2008,N,5,P,BOER4,2,2.5,0,4,W
2008,2,5/13/2008,N,5,P,BOER4,3,0.5,0,2,W
2008,2,5/13/2008,N,5,P,BOER4,4,4,0,1,W
2008,2,5/13/2008,N,5,P,BOER4,5,0.1,0,6,W
2008,2,5/13/2008,N,5,P,BOER4,6,0.25,0,4,W
2008,2,5/13/2008,N,5,P,BOER4,7,0.75,0,2,W
2008,2,5/13/2008,N,5,P,BOER4,8,13,0,1,W
2008,2,5/13/2008,N,5,P,BOER4,9,3.5,0,1,W
2008,2,5/13/2008,N,5,P,GACO5,1,0.05,8,1,NA
2008,2,5/13/2008,N,5,P,GACO5,2,0.05,5,1,NA
2008,2,5/13/2008,N,6,NPK,BOER4,1,1,0,2,W
2008,2,5/13/2008,N,6,NPK,BOER4,2,0.05,0,4,W
2008,2,5/13/2008,N,6,NPK,BOER4,3,5,0,2,W
2008,2,5/13/2008,N,6,NPK,BOER4,4,0.25,0,4,W
2008,2,5/13/2008,N,6,NPK,BOER4,5,0.1,0,5,W
2008,2,5/13/2008,N,6,NPK,BOER4,6,10,0,1,W
2008,2,5/13/2008,N,6,NPK,BOER4,7,7,0,1,W
2008,2,5/13/2008,N,6,NPK,BOER4,8,0.75,0,1,W
2008,2,5/13/2008,N,6,NPK,GUSA2,1,1,2,1,NA
2008,2,5/13/2008,N,6,NPK,GUSA2,2,1,9,1,NA
2008,2,5/13/2008,N,7,PK,BOER4,1,1,0,1,W
2008,2,5/13/2008,N,7,PK,BOER4,2,0.1,0,7,W
2008,2,5/13/2008,N,7,PK,BOER4,3,5,0,2,W
2008,2,5/13/2008,N,7,PK,BOER4,4,0.5,0,1,W
2008,2,5/13/2008,N,7,PK,BOER4,5,6,0,2,W
2008,2,5/13/2008,N,7,PK,BOER4,6,14,0,1,W
2008,2,5/13/2008,N,7,PK,BOER4,7,2.5,0,1,W
2008,2,5/13/2008,N,7,PK,BOER4,8,1.5,0,1,W
2008,2,5/13/2008,N,8,C,BOER4,1,0.5,0,12,W
2008,2,5/13/2008,N,8,C,BOER4,2,0.25,0,12,W
2008,2,5/13/2008,N,8,C,BOER4,3,0.75,0,2,W
2008,2,5/13/2008,N,8,C,BOER4,4,2,0,1,W
2008,2,5/13/2008,N,8,C,BOER4,5,0.05,0,3,W
2008,2,5/13/2008,N,8,C,BOER4,6,3,0,1,W
2008,2,5/13/2008,N,8,C,BOER4,7,0.1,0,8,W
2008,2,5/13/2008,N,8,C,BOER4,8,4,0,1,W
2008,2,5/13/2008,N,8,C,BOER4,9,3.5,0,1,W
2008,2,5/13/2008,N,8,C,BOER4,10,1.5,0,1,W
2008,2,5/13/2008,N,8,C,BOER4,11,1,0,1,W
2008,2,5/13/2008,N,8,C,MAPIP,1,0.05,3,1,NA
2008,2,5/13/2008,N,8,C,MAPIP,2,0.01,5,1,NA
2008,2,5/13/2008,N,8,C,MAPIP,3,0.05,4,1,NA
2008,2,5/13/2008,N,9,PK,BOER4,1,0.75,0,4,W
2008,2,5/13/2008,N,9,PK,BOER4,2,2,0,1,W
2008,2,5/13/2008,N,9,PK,BOER4,3,0.1,0,5,W
2008,2,5/13/2008,N,9,PK,BOER4,4,0.25,0,12,W
2008,2,5/13/2008,N,9,PK,BOER4,5,2,0,1,W
2008,2,5/13/2008,N,9,PK,BOER4,6,3,0,2,W
2008,2,5/13/2008,N,9,PK,BOER4,7,1.5,0,1,W
2008,2,5/13/2008,N,9,PK,BOER4,8,0.5,0,5,W
2008,2,5/13/2008,N,9,PK,BOER4,9,1,0,1,W
2008,2,5/13/2008,N,9,PK,GACO5,1,0.25,7,1,NA
2008,2,5/13/2008,N,9,PK,GUSA2,1,6,17,1,NA
2008,2,5/13/2008,N,9,PK,MAPIP,1,0.05,4,2,NA
2008,2,5/13/2008,N,10,K,BOER4,1,1,0,3,W
2008,2,5/13/2008,N,10,K,BOER4,2,2,0,2,W
2008,2,5/13/2008,N,10,K,BOER4,3,0.25,0,10,W
2008,2,5/13/2008,N,10,K,BOER4,4,1.5,0,2,W
2008,2,5/13/2008,N,10,K,BOER4,5,0.1,0,5,W
2008,2,5/13/2008,N,10,K,BOER4,6,0.75,0,2,W
2008,2,5/13/2008,N,10,K,BOER4,7,7,0,1,W
2008,2,5/13/2008,N,10,K,BOER4,8,0.05,0,1,W
2008,2,5/13/2008,N,10,K,BOER4,9,0.5,0,2,W
2008,2,5/13/2008,N,10,K,PLJA,1,0.25,0,3,W
2008,2,5/13/2008,N,10,K,PLJA,2,0.5,0,1,W
2008,2,5/13/2008,N,11,P,BOER4,1,0.75,0,2,W
2008,2,5/13/2008,N,11,P,BOER4,2,0.05,0,9,W
2008,2,5/13/2008,N,11,P,BOER4,3,0.1,0,4,W
2008,2,5/13/2008,N,11,P,BOER4,4,0.5,0,3,W
2008,2,5/13/2008,N,11,P,BOER4,5,0.25,0,3,W
2008,2,5/13/2008,N,11,P,BOER4,6,4.5,0,1,W
2008,2,5/13/2008,N,11,P,BOER4,7,1.5,0,1,W
2008,2,5/13/2008,N,11,P,BOER4,8,3,0,1,W
2008,2,5/13/2008,N,11,P,BOER4,9,1,0,1,W
2008,2,5/13/2008,N,11,P,BOER4,10,10,0,1,W
2008,2,5/13/2008,N,11,P,GACO5,1,0.01,3,2,NA
2008,2,5/13/2008,N,11,P,GACO5,2,0.05,9,1,NA
2008,2,5/13/2008,N,11,P,GACO5,3,0.01,5,3,NA
2008,2,5/13/2008,N,11,P,GACO5,4,0.01,2,1,NA
2008,2,5/13/2008,N,11,P,GACO5,5,0.05,10,1,NA
2008,2,5/13/2008,N,12,C,BOER4,1,1,0,1,W
2008,2,5/13/2008,N,12,C,BOER4,2,0.75,0,1,W
2008,2,5/13/2008,N,12,C,BOER4,3,4,0,1,W
2008,2,5/13/2008,N,12,C,BOER4,4,0.25,0,6,W
2008,2,5/13/2008,N,12,C,BOER4,5,7,0,1,W
2008,2,5/13/2008,N,12,C,BOER4,6,9,0,2,W
2008,2,5/13/2008,N,12,C,BOER4,7,0.01,0,1,W
2008,2,5/13/2008,N,12,C,BOER4,8,0.05,0,2,W
2008,2,5/13/2008,N,12,C,GACO5,1,0.01,6,1,NA
2008,2,5/13/2008,N,12,C,HODR,1,0.25,4,1,NA
2008,2,5/13/2008,N,12,C,HODR,2,0.1,4,1,NA
2008,2,5/13/2008,N,12,C,MAPIP,1,0.1,1,1,NA
2008,2,5/13/2008,N,13,N,BOER4,1,0.5,0,5,W
2008,2,5/13/2008,N,13,N,BOER4,2,2.5,0,2,W
2008,2,5/13/2008,N,13,N,BOER4,3,1,0,2,W
2008,2,5/13/2008,N,13,N,BOER4,4,0.25,0,4,W
2008,2,5/13/2008,N,13,N,BOER4,5,0.1,0,4,W
2008,2,5/13/2008,N,13,N,BOER4,6,0.05,0,4,W
2008,2,5/13/2008,N,13,N,BOER4,7,3.5,0,1,W
2008,2,5/13/2008,N,13,N,BOER4,8,1.5,0,1,W
2008,2,5/13/2008,N,13,N,BOER4,9,0.75,0,1,W
2008,2,5/13/2008,N,13,N,BOER4,10,3.5,0,1,W
2008,2,5/13/2008,N,13,N,BOER4,11,6,0,1,W
2008,2,5/13/2008,N,13,N,HOGL2,1,0.1,2,1,NA
2008,2,5/13/2008,N,14,PK,BOER4,1,5,0,1,W
2008,2,5/13/2008,N,14,PK,BOER4,2,2,0,3,W
2008,2,5/13/2008,N,14,PK,BOER4,3,1,0,2,W
2008,2,5/13/2008,N,14,PK,BOER4,4,0.5,0,3,W
2008,2,5/13/2008,N,14,PK,BOER4,5,0.25,0,3,W
2008,2,5/13/2008,N,14,PK,BOER4,6,13,0,1,W
2008,2,5/13/2008,N,14,PK,BOER4,7,0.01,0,1,W
2008,2,5/13/2008,N,14,PK,BOER4,8,0.1,0,5,W
2008,2,5/13/2008,N,14,PK,BOER4,9,0.05,0,1,W
2008,2,5/13/2008,N,14,PK,GUSA2,1,1.5,12,1,NA
2008,2,5/13/2008,N,14,PK,GUSA2,2,0.75,11,1,NA
2008,2,5/13/2008,N,14,PK,GUSA2,3,1,12,1,NA
