DATE,SEASON,YEAR,PLOT,TRAP,RECAP,TAG_1_LT,TAG_2_RT,PIT_TAG,SEX,AGE,MASS,Comments,Capture_Site
06/18/10,SUMMER,2010,B,NA,RELEASE,349,249,,M,A,1085,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,348,248,,M,A,1580,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,347,246,,M,A,1350,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,245,346,,M,A,1130,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,244,,,M,A,1480,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,,224,,M,A,1140,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,,243,,M,A,1465,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,,242,,M,A,1370,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,,241,,M,A,1230,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,226,,,M,A,1700,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,223,,,F,A,1070,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,222,,,F,A,1190,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,221,,,F,A,810,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,295,,,F,A,1510,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,294,,,F,A,1520,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,,293,,F,A,1380,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,292,,,F,A,1070,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,291,,,F,A,1090,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,290,,,F,A,1050,,Las Colinas
06/18/10,SUMMER,2010,B,NA,RELEASE,289,,,F,A,1110,,Las Colinas
