DATE,YEAR,SEASON,PLOT,QUAD,SPECIES_CODE,COVER,HEIGHT,COMMENTS
9/26/2011,2011,F,A,11,BOGR2,35,9,NA
9/26/2011,2011,F,A,11,DIST,0,-888,NA
9/26/2011,2011,F,A,11,FECES,0,-888,NA
9/26/2011,2011,F,A,12,BOGR2,30,-999,NA
9/26/2011,2011,F,A,12,DIST,0,-888,NA
9/26/2011,2011,F,A,12,FECES,0,-888,NA
9/26/2011,2011,F,A,13,BOER4,10,14,NA
9/26/2011,2011,F,A,13,BOGR2,10,14,NA
9/26/2011,2011,F,A,13,SPHA,1,6,NA
9/26/2011,2011,F,A,13,EUEX4,1,10,NA
9/26/2011,2011,F,A,13,LIPU4,0.1,4,NA
9/26/2011,2011,F,A,13,DIST,0,-888,NA
9/26/2011,2011,F,A,13,FECES,0,-888,NA
9/26/2011,2011,F,A,14,BOGR2,10,9,NA
9/26/2011,2011,F,A,14,BOER4,2,7,NA
9/26/2011,2011,F,A,14,ASNU4,0.1,4,NA
9/26/2011,2011,F,A,14,EUEX4,0.1,2,NA
9/26/2011,2011,F,A,14,PAOB,0.1,4,NA
9/26/2011,2011,F,A,14,DIST,0,-888,NA
9/26/2011,2011,F,A,14,FECES,0,-888,NA
9/26/2011,2011,F,A,15,BOGR2,6,9,NA
9/26/2011,2011,F,A,15,BOER4,6,10,NA
9/26/2011,2011,F,A,15,SOEL,2,8,NA
9/26/2011,2011,F,A,15,SPHA,2,19,NA
9/26/2011,2011,F,A,15,EUEX4,3,7,NA
9/26/2011,2011,F,A,15,PAOB,0.1,8,NA
9/26/2011,2011,F,A,15,UDIST,1,-888,NA
9/26/2011,2011,F,A,15,FECES,0,-888,NA
9/26/2011,2011,F,A,16,BOGR2,8,4,NA
9/26/2011,2011,F,A,16,BOBA2,0.1,6,NA
9/26/2011,2011,F,A,16,BOER4,0.1,10,NA
9/26/2011,2011,F,A,16,KAPA,0.1,4,NA
9/26/2011,2011,F,A,16,CHSES,0.1,6,NA
9/26/2011,2011,F,A,16,DIST,0,-888,NA
9/26/2011,2011,F,A,16,FECES,0,-888,NA
9/26/2011,2011,F,A,17,BOGR2,25,8,NA
9/26/2011,2011,F,A,17,CHSES,4,7,NA
9/26/2011,2011,F,A,17,DIST,0,-888,NA
9/26/2011,2011,F,A,17,FECES,0,-888,NA
9/26/2011,2011,F,A,20,BOGR2,20,6,NA
9/26/2011,2011,F,A,20,SPCR,10,16,NA
9/26/2011,2011,F,A,20,COEQ,8,15,NA
9/26/2011,2011,F,A,20,CHSES,0.1,6,NA
9/26/2011,2011,F,A,20,AMPA,0.1,7,NA
9/26/2011,2011,F,A,20,DIST,0,-888,NA
9/26/2011,2011,F,A,20,FECES,0,-888,NA
9/26/2011,2011,F,A,21,BOGR2,8,4,NA
9/26/2011,2011,F,A,21,BOER4,0.1,7,NA
9/26/2011,2011,F,A,21,DIST,0,-888,NA
9/26/2011,2011,F,A,21,FECES,0,-888,NA
9/26/2011,2011,F,A,22,BOER4,25,8,NA
9/26/2011,2011,F,A,22,DIST,0,-888,NA
9/26/2011,2011,F,A,22,FECES,0,-888,NA
9/26/2011,2011,F,A,23,BOGR2,10,12,NA
9/26/2011,2011,F,A,23,BOER4,1,6,NA
9/26/2011,2011,F,A,23,DIST,0,-888,NA
9/26/2011,2011,F,A,23,FECES,0,-888,NA
9/26/2011,2011,F,A,24,BOGR2,10,10,NA
9/26/2011,2011,F,A,24,SPORO,3,10,NA
9/26/2011,2011,F,A,24,SPHA,0.1,6,NA
9/26/2011,2011,F,A,24,EUEX4,0.1,6,NA
9/26/2011,2011,F,A,24,DIST,0,-888,NA
9/26/2011,2011,F,A,24,FECES,0,-888,NA
9/26/2011,2011,F,A,25,BOGR2,6,18,NA
9/26/2011,2011,F,A,25,CHSES,10,5,NA
9/26/2011,2011,F,A,25,EUEX4,6,6,NA
9/26/2011,2011,F,A,25,ROD,4,-888,NA
9/26/2011,2011,F,A,25,FECES,0,-888,NA
9/26/2011,2011,F,A,26,BOGR2,15,6,NA
9/26/2011,2011,F,A,26,EUEX4,1,8,NA
9/26/2011,2011,F,A,26,KAPA,1,4,NA
9/26/2011,2011,F,A,26,ARAD,1,9,NA
9/26/2011,2011,F,A,26,DIST,0,-888,NA
